Quantity,Symbol,Analytical (Ha),Analytical (eV),Numerical INQ (Ha),Difference (Ha),Formula,Reference,Notes
Wigner-Seitz radius,r_s,7.255565,N/A,N/A,N/A,"r_s = (3/(4πn₀))^(1/3)  with  n₀ = N/L³","Standard definition; Ashcroft & Mermin Ch.1","Exact for N=40 L=40.0 bohr. Low-density regime (metallic typical range r_s=2-6)."
Mean electron density,n₀,6.250000e-04,N/A,N/A,N/A,"n₀ = N/L³","Standard","bohr⁻³. Low density compared to Al-like r_s≈2.07."
Fermi wavevector,k_F,0.264505,N/A,N/A,N/A,"k_F = (3π²n₀)^(1/3)","Standard free-electron result; Ashcroft & Mermin Ch.2","bohr⁻¹. Not directly measured — sets the energy scale."
Fermi energy (continuum),E_F,0.034981,0.9519,N/A,N/A,"E_F = k_F²/2","Standard free-electron result; Ashcroft & Mermin Ch.2","Continuum HEG value. Lower than at r_s=2.52 because k_F ∝ n₀^(1/3) ∝ 1/r_s."
Shell kinetic energy |n|²=0,ε_k(0),0.000000,0.0000,N/A,N/A,"ε_k = 0.5×|n|²×(2π/L)²  with |n|²=0","Free-electron dispersion","k=(0,0,0): Gamma point."
Shell kinetic energy |n|²=1,ε_k(1),0.012337,0.3356,N/A,N/A,"ε_k = 0.5×|n|²×(2π/L)²  with |n|²=1","Free-electron dispersion","6-fold degenerate. 12 electrons fill this shell."
Shell kinetic energy |n|²=2,ε_k(2),0.024674,0.6712,N/A,N/A,"ε_k = 0.5×|n|²×(2π/L)²  with |n|²=2","Free-electron dispersion","12-fold degenerate. 24 electrons fill this shell."
Shell kinetic energy |n|²=3,ε_k(3),0.037011,1.0068,N/A,N/A,"ε_k = 0.5×|n|²×(2π/L)²  with |n|²=3","Free-electron dispersion","8-fold degenerate. Partially filled: 2 of 16 possible electrons at T=0."
Exchange energy per electron,ε_x,−0.063148,−1.7183,run inq-run,,ε_x = −0.4582/r_s  (= −(3/4)(3/π)^(1/3) n₀^(1/3)),"Perdew & Zunger PRB 23 5048 (1981) — Eq.(1)  [PZ81]","Coefficient 0.4582 = (3/4)(3/π)^(1/3). Smaller magnitude than at r_s=2.52 (exchange weakens at low density)."
Correlation energy per electron,ε_c,−0.022749,−0.6190,run inq-run,,ε_c = γ/(1+β₁√r_s+β₂r_s) with γ=−0.1423 β₁=1.0529 β₂=0.3334,"PZ81 Eq.(5) — metallic regime (r_s ≥ 1)","At r_s=7.26 the low-density correction is non-negligible. Parameters from PZ81 Table I."
XC energy per electron,ε_xc,−0.085897,−2.3373,run inq-run,,ε_xc = ε_x + ε_c,"PZ81 Eqs.(1)+(5)","Total LDA XC energy density."
Total XC energy,E_xc,−3.435880,−93.491,run inq-run,,E_xc = N × ε_xc(r_s)  [valid for uniform density],"LDA applied to uniform gas: E_xc = ∫n ε_xc dr = n₀ Ω ε_xc = N ε_xc","For jellium the LDA is exact by construction."
Exchange potential,V_x,−0.084197,−2.2910,run inq-run,,"V_x = (4/3)ε_x  [from d(nε_x)/dn]","PZ81 Eq.(2)","Spatially constant. Shifts all KS eigenvalues."
Correlation potential,V_c,−0.027402,−0.7455,run inq-run,,"V_c = ε_c × (1+(7/6)β₁√r_s+(4/3)β₂r_s) / (1+β₁√r_s+β₂r_s)","PZ81 Eq.(6)","Note |V_c| > |ε_c| because the potential includes the n-dependence of ε_c."
Total XC potential,V_xc,−0.111599,−3.0365,run inq-run,,V_xc = V_x + V_c,"PZ81 Eqs.(2)+(6)","The XC offset verification plot should recover this as the intercept of ε_i vs k²/2."
Non-interacting kinetic energy,T_s,0.814242,22.156,run inq-run,,T_s = 2×0 + 12×ε_k(1) + 24×ε_k(2) + 2×ε_k(3) — discrete T=0 shell sum,"Free-electron shell structure; Ashcroft & Mermin Ch.2","Thomas-Fermi bulk limit T_TF=(3/5)NE_F=0.8396 Ha. Our T_s is slightly lower because |n|²=3 is only 12.5% filled."
Hartree energy,E_H,0.000000,0.0000,run inq-run,,E_H = (Ω/2)Σ_{G≠0}|ρ_G|²4π/G² = 0 for uniform ρ,"Parseval's theorem applied to the Hartree kernel","For ρ=n₀=const all G≠0 Fourier components vanish. G=0 excluded (cancelled by positive background)."
External (pseudopotential local) energy,E_ext,0.000000,0.0000,run inq-run,,E_ext = ∫ρ V_ext dr = 0 (no ions → V_ext=0),"Standard; no ions implies no ionic pseudopotential","Exact zero in INQ when no ions are inserted."
Non-local pseudopotential energy,E_NL,0.000000,0.0000,run inq-run,,E_NL = Σ_{lm}⟨ψ|β_lm⟩D_lm⟨β_lm|ψ⟩ = 0 (no Kleinman-Bylander projectors),"Kleinman & Bylander PRL 48 1425 (1982)","Exact zero. No ions → no projectors β_lm → V_NL=0."
Ion-ion (Ewald) energy,E_ion,0.000000,0.0000,run inq-run,,E_ion = Ewald sum over empty nuclear list = 0,"de Leeuw et al. Proc.Roy.Soc.A 373 27 (1980)","Exact zero. Sum over empty set of nuclei."
Total DFT energy,E_total,−2.621638,−71.335,run inq-run,,E_total = T_s + E_H + E_xc + E_ext + E_ion = T_s + E_xc = 0.814242 + (−3.435880),"HEG identity; follows from the five zeroes above","Tolerance in test: ±0.5 Ha (grid discretisation + finite-T smearing)."
