# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  fft_forward_3d                                    	           7023	    175.71	    175.71
  fft_backward_3d                                   	           6378	    157.80	    157.80
  operations::rotate(2arg)                          	           1278	     72.92	     72.39
  steepest_descent                                  	            633	    445.39	     44.72
  shift                                             	           3810	     39.19	     39.19
  scalar_potential                                  	           3798	     39.11	     38.40
  overlap_diagonal(2arg)                            	          20925	     37.40	     37.17
  update_hamiltonian                                	            657	     31.13	     28.53
  scalar_potential_add                              	           1278	     13.41	     13.41
  laplacian                                         	           4443	     12.65	     11.82
  laplacian_add                                     	           3798	     11.43	     11.43
  preconditioner_apply                              	           3165	     10.22	     10.22
  overlap_diagonal_normalized                       	           3165	      7.14	      7.09
  fft_normalize                                     	           5709	      6.07	      6.07
  allocate                                          	         132030	      5.52	      5.52
  normalize                                         	            645	      4.95	      4.84
  inq_environment                                   	              1	    689.04	      3.43
  scf_iteration                                     	            633	    681.10	      2.95
  laplacian_expectation_value                       	            645	      2.26	      2.25
  overlap(2arg)                                     	           1278	      2.24	      2.22
  matrix::scatter                                   	           1923	      1.89	      1.89
  matrix::gather                                    	           3201	      1.77	      1.76
  evaluate_functional                               	           1314	      1.88	      1.65
  to_fourier                                        	           7023	    178.25	      1.30
  to_real                                           	           6378	    166.12	      1.19
  diagonalize_raw                                   	            633	      0.95	      0.95
  energy::calculate                                 	            645	     77.12	      0.91
  density::calculate                                	            657	      0.85	      0.82
  broyden_extrapolation                             	            633	      0.71	      0.65
  cuda_zpotrf                                       	            645	      0.60	      0.60
  operations::rotate_trs                            	            645	     37.70	      0.30
  broyden_mixing                                    	            633	      0.96	      0.25
  occ_sum                                           	           1290	      0.24	      0.24
  sum(1arg)                                         	           3906	      0.22	      0.22
  initial_guess                                     	             12	      1.08	      0.20
  poisson_apply_kernel                              	            669	      0.11	      0.11
  integral_product                                  	           2628	      0.28	      0.11
  total                                             	           1983	      0.11	      0.10
  poisson(real)                                     	            669	      0.55	      0.08
  fill(field_set)                                   	           2007	      0.06	      0.06
  least_squares                                     	            621	      0.07	      0.06
  subspace_diagonalization                          	            633	     84.30	      0.05
  compute_nvxc                                      	            657	      0.04	      0.04
  hamiltonian_fourier                               	           3798	    267.38	      0.04
  integral_partial_sum                              	            645	      0.10	      0.04
  deallocate                                        	         211832	      0.04	      0.04
  electrons                                         	             12	      0.05	      0.04
  energy::calculate::eigenvalues                    	            645	     54.36	      0.03
  integral_sum_absdiff                              	            633	      0.08	      0.03
  state_convergence                                 	            633	      0.02	      0.02
  operator()                                        	             12	    684.24	      0.02
  allocate_with_hint                                	          79802	      0.02	      0.02
  orthogonalize                                     	            645	     40.65	      0.02
  hamiltonian_real                                  	           1278	     90.09	      0.02
  preconditioner_reduction                          	           3165	     16.15	      0.02
  mixing                                            	            633	     36.08	      0.01
  to_real_array                                     	           6378	    163.87	      0.00
  kinetic_expectation_value                         	           1290	     22.55	      0.00
  to_fourier_array                                  	           7023	    175.71	      0.00
  projector::gather                                 	           5721	      0.00	      0.00
  overlap_diagonal(1arg)                            	           3810	      6.54	      0.00
  interaction_energy                                	             12	      0.00	      0.00
  poisson_solve_3d                                  	            669	      0.46	      0.00
  multiply_by_coefficients                          	           5076	      0.00	      0.00
  update_ionic_fields                               	             24	      0.20	      0.00
  projector_all::apply                              	           5076	      0.00	      0.00
  dipole                                            	             12	      0.00	      0.00
  mgga_term                                         	           5076	      0.00	      0.00
  non_local_energy                                  	            645	      0.00	      0.00
  overlap(1arg)                                     	            645	      1.15	      0.00
  poisson(complex)                                  	            669	      0.46	      0.00
  reduce_nrm2                                       	            621	      0.00	      0.00
  ionic_density                                     	             12	      0.00	      0.00
  kpoint_index                                      	            645	      0.00	      0.00
  atomic_potential::local_potential                 	             12	      0.00	      0.00
  nlcc_density                                      	             12	      0.00	      0.00
  update_projectors                                 	             12	      0.00	      0.00
  atomic_potential                                  	             12	      0.00	      0.00
  constructor                                       	             12	      0.00	      0.00
