# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  fft_forward_3d                                    	            594	     41.87	     41.87
  fft_backward_3d                                   	            543	     37.83	     37.83
  operations::rotate(2arg)                          	            101	     19.28	     19.23
  overlap_diagonal(2arg)                            	           1653	     13.28	     13.17
  steepest_descent                                  	             50	    104.30	      7.04
  scalar_potential                                  	            300	      6.08	      5.42
  allocate                                          	          14847	      5.36	      5.36
  shift                                             	            301	      4.77	      4.77
  update_hamiltonian                                	             52	      6.04	      3.53
  laplacian                                         	            351	      3.91	      3.12
  laplacian_add                                     	            300	      2.74	      2.74
  overlap_diagonal_normalized                       	            250	      2.06	      2.05
  preconditioner_apply                              	            250	      1.86	      1.86
  fft_normalize                                     	            453	      1.72	      1.72
  scalar_potential_add                              	            101	      1.64	      1.64
  laplacian_expectation_value                       	             51	      1.64	      1.64
  scf_iteration                                     	             50	    160.63	      1.59
  evaluate_functional                               	            104	      1.52	      1.48
  to_fourier                                        	            594	     44.47	      1.23
  overlap(2arg)                                     	            101	      1.10	      1.10
  inq_environment                                   	              1	    165.61	      0.88
  to_real                                           	            543	     41.27	      0.85
  normalize                                         	             51	      0.62	      0.60
  projector::gather                                 	            454	      0.61	      0.49
  energy::calculate                                 	             51	     19.44	      0.47
  diagonalize_raw                                   	             50	      0.45	      0.44
  density::calculate                                	             51	      0.38	      0.37
  matrix::scatter                                   	            152	      0.35	      0.35
  projector_all::apply                              	            401	      0.30	      0.30
  matrix::gather                                    	            253	      0.26	      0.26
  projector_gemm_1                                  	            453	      0.22	      0.22
  cuda_zpotrf                                       	             51	      0.20	      0.20
  enlarge                                           	            180	      0.44	      0.16
  broyden_extrapolation                             	             50	      0.17	      0.15
  poisson_solve_0d                                  	             90	      1.25	      0.13
  projector_gemm_2                                  	            402	      0.10	      0.10
  hamiltonian_fourier                               	            300	     63.36	      0.08
  poisson_apply_kernel                              	             90	      0.08	      0.08
  shrink                                            	             90	      0.10	      0.08
  pseudopod::filter                                 	              9	      0.07	      0.07
  sum(1arg)                                         	            309	      0.07	      0.07
  spherical_grid::reextent                          	            264	      0.07	      0.07
  fill(field_set)                                   	            412	      0.06	      0.06
  nlcc_density                                      	              1	      0.06	      0.06
  calculate                                         	              1	      0.92	      0.05
  spherical_grid::compact                           	            264	      0.05	      0.05
  occ_sum                                           	            102	      0.05	      0.05
  poisson(real)                                     	             90	      1.31	      0.04
  projector::build                                  	             36	      0.04	      0.04
  broyden_mixing                                    	             50	      0.20	      0.03
  gradient                                          	              4	      0.47	      0.03
  operations::rotate_trs                            	             51	      9.98	      0.03
  deallocate                                        	          21952	      0.03	      0.03
  multiply_by_coefficients                          	            402	      0.04	      0.03
  integral_product                                  	            208	      0.08	      0.02
  initial_guess                                     	              1	      0.49	      0.02
  density::calculate_gradient                       	              1	      0.02	      0.02
  subspace_diagonalization                          	             50	     20.94	      0.02
  atomic_electronic_density                         	              1	      0.05	      0.02
  pseudopod::pseudopotential                        	              2	      0.09	      0.02
  least_squares                                     	             49	      0.02	      0.02
  nlcc_forces                                       	              1	      0.02	      0.01
  hamiltonian_real                                  	            101	     21.05	      0.01
  constructor                                       	              1	      0.01	      0.01
  total                                             	            158	      0.02	      0.01
  integral_partial_sum                              	             51	      0.02	      0.01
  atomic_potential::local_potential                 	             37	      0.06	      0.01
  spherical_grid::initialize                        	            264	      0.14	      0.01
  preconditioner_reduction                          	            250	      4.84	      0.01
  compute_nvxc                                      	             52	      0.01	      0.01
  to_real_array                                     	            543	     39.56	      0.01
  mixing                                            	             50	      5.72	      0.01
  non_local_energy                                  	             51	      0.05	      0.01
  allocate_with_hint                                	           7105	      0.01	      0.01
  integral_sum_absdiff                              	             50	      0.02	      0.01
  operator()                                        	              1	    163.60	      0.01
  forces_local                                      	              1	      0.38	      0.01
  energy::calculate::eigenvalues                    	             51	     12.28	      0.00
  electrons                                         	              1	      0.01	      0.00
  orthogonalize                                     	             51	     11.08	      0.00
  to_fourier_array                                  	            594	     41.87	      0.00
  kinetic_expectation_value                         	            102	      7.64	      0.00
  ionic_density                                     	             37	      0.05	      0.00
  state_convergence                                 	             50	      0.00	      0.00
  update_projectors                                 	              1	      0.09	      0.00
  projector_force_sum                               	              1	      0.00	      0.00
  overlap_diagonal(1arg)                            	            301	      2.25	      0.00
  mgga_term                                         	            401	      0.00	      0.00
  update_ionic_fields                               	              2	      0.37	      0.00
  dipole                                            	              1	      0.00	      0.00
  poisson(complex)                                  	             90	      1.25	      0.00
  periodic_replicas                                 	            264	      0.00	      0.00
  overlap(1arg)                                     	             51	      0.67	      0.00
  reduce_nrm2                                       	             49	      0.00	      0.00
  interaction_forces                                	              1	      0.00	      0.00
  interaction_energy                                	              1	      0.00	      0.00
  kpoint_index                                      	             51	      0.00	      0.00
  atomic_potential                                  	              1	      0.09	      0.00
  force_stress                                      	              1	      0.00	      0.00
