# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  fft_forward_3d                                    	           5116	    626.07	    626.07
  fft_backward_3d                                   	           4646	    556.75	    556.75
  operations::rotate(2arg)                          	            931	    346.94	    346.30
  allocate                                          	         131916	    156.18	    156.18
  overlap_diagonal(2arg)                            	          15240	    154.99	    154.12
  steepest_descent                                  	            461	   1599.07	    106.59
  scalar_potential                                  	           2766	    126.63	     86.94
  shift                                             	           2775	     72.90	     72.90
  update_hamiltonian                                	            479	     72.79	     53.33
  laplacian                                         	           3236	     67.22	     48.37
  fft_normalize                                     	           4158	     34.76	     34.76
  laplacian_add                                     	           2766	     31.36	     31.36
  overlap_diagonal_normalized                       	           2305	     26.51	     26.36
  to_fourier                                        	           5116	    709.50	     25.99
  scalar_potential_add                              	            931	     24.85	     24.85
  preconditioner_apply                              	           2305	     24.50	     24.50
  to_real                                           	           4646	    635.88	     24.40
  scf_iteration                                     	            461	   2498.28	     23.39
  laplacian_expectation_value                       	            470	     22.29	     22.24
  overlap(2arg)                                     	            931	     12.37	     12.31
  inq_environment                                   	              1	   2536.12	      9.51
  normalize                                         	            470	      9.89	      9.50
  energy::calculate                                 	            470	    289.36	      6.81
  diagonalize_raw                                   	            461	      4.63	      4.61
  density::calculate                                	            470	      4.50	      4.32
  cuda_zpotrf                                       	            470	      4.01	      4.01
  matrix::scatter                                   	           1401	      4.00	      3.98
  evaluate_functional                               	            958	      4.46	      3.80
  projector_all::apply                              	           3697	      3.74	      3.74
  projector::gather                                 	           4167	      4.19	      3.58
  matrix::gather                                    	           2332	      3.32	      3.32
  broyden_mixing                                    	            461	      5.61	      2.62
  broyden_extrapolation                             	            461	      2.98	      2.49
  enlarge                                           	            976	      5.44	      1.56
  projector_gemm_1                                  	           4167	      1.14	      1.14
  fill(field_set)                                   	           2440	      1.08	      1.08
  poisson_solve_0d                                  	            488	     18.47	      1.05
  poisson_apply_kernel                              	            488	      0.97	      0.97
  spherical_grid::reextent                          	           1512	      0.86	      0.82
  integral_sum_absdiff                              	            461	      0.86	      0.71
  pseudopod::filter                                 	             81	      0.71	      0.71
  projector_gemm_2                                  	           3697	      0.68	      0.68
  sum(1arg)                                         	           2847	      0.63	      0.63
  hamiltonian_fourier                               	           2766	   1013.03	      0.52
  least_squares                                     	            452	      0.48	      0.45
  atomic_electronic_density                         	              9	      0.99	      0.45
  projector::build                                  	            324	      0.42	      0.42
  occ_sum                                           	            940	      0.37	      0.37
  pseudopod::pseudopotential                        	             18	      1.13	      0.33
  initial_guess                                     	              9	      8.75	      0.31
  hamiltonian_real                                  	            931	    331.72	      0.27
  total                                             	           1446	      0.35	      0.26
  integral_product                                  	           1916	      0.79	      0.25
  operations::rotate_trs                            	            470	    165.75	      0.22
  orthogonalize                                     	            470	    179.26	      0.21
  integral_partial_sum                              	            470	      0.39	      0.20
  subspace_diagonalization                          	            461	    365.77	      0.19
  poisson(real)                                     	            488	     18.76	      0.19
  nlcc_density                                      	              9	      0.22	      0.18
  deallocate                                        	         196376	      0.18	      0.18
  multiply_by_coefficients                          	           3697	      0.23	      0.18
  shrink                                            	            488	      0.30	      0.17
  spherical_grid::compact                           	           1512	      0.16	      0.16
  update_projectors                                 	              9	      0.86	      0.12
  preconditioner_reduction                          	           2305	     71.42	      0.11
  compute_nvxc                                      	            479	      0.11	      0.11
  electrons                                         	              9	      1.06	      0.09
  to_fourier_array                                  	           5116	    626.16	      0.09
  constructor                                       	              9	      0.08	      0.08
  allocate_with_hint                                	          64460	      0.08	      0.08
  spherical_grid::initialize                        	           1512	      1.12	      0.08
  non_local_energy                                  	            470	      0.49	      0.07
  kinetic_expectation_value                         	            940	    111.87	      0.07
  to_real_array                                     	           4646	    591.57	      0.06
  operator()                                        	              9	   2514.20	      0.06
  energy::calculate::eigenvalues                    	            470	    184.02	      0.05
  state_convergence                                 	            461	      0.05	      0.05
  ionic_density                                     	              9	      0.37	      0.04
  mixing                                            	            461	     88.35	      0.02
  overlap_diagonal(1arg)                            	           2775	     26.87	      0.02
  atomic_potential::local_potential                 	              9	      0.17	      0.02
  periodic_replicas                                 	           1512	      0.02	      0.02
  update_ionic_fields                               	             18	     11.23	      0.01
  mgga_term                                         	           3697	      0.00	      0.00
  dipole                                            	              9	      0.00	      0.00
  reduce_nrm2                                       	            452	      0.00	      0.00
  overlap(1arg)                                     	            470	      6.33	      0.00
  poisson(complex)                                  	            488	     18.47	      0.00
  kpoint_index                                      	            470	      0.00	      0.00
  interaction_energy                                	              9	      0.00	      0.00
  atomic_potential                                  	              9	      1.13	      0.00
