# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  fft_forward_3d                                    	           6839	    673.11	    673.11
  fft_backward_3d                                   	           6263	    605.84	    605.84
  time_step                                         	            516	   1863.52	    140.62
  shift_const_factor                                	           6192	    129.03	    129.03
  scalar_potential_add                              	           4762	    103.08	    103.08
  update_hamiltonian                                	           1093	    112.30	     94.95
  exponential_2_for_1                               	            516	    741.76	     79.53
  allocate                                          	          75674	     43.60	     43.60
  laplacian                                         	           5052	     51.06	     39.53
  operations::rotate(2arg)                          	            117	     31.00	     30.95
  overlap_diagonal(2arg)                            	           3468	     22.70	     22.46
  fft_normalize                                     	           5168	     21.28	     21.28
  shift                                             	            866	     18.50	     18.50
  to_fourier                                        	           6839	    699.26	     13.14
  to_real                                           	           6263	    650.42	     11.50
  laplacian_expectation_value                       	            576	     10.15	     10.11
  steepest_descent                                  	             58	    153.36	      9.88
  scalar_potential                                  	            348	      8.88	      8.09
  exponential_in_place                              	            516	    626.82	      7.24
  density::calculate                                	           1092	      5.81	      5.67
  energy::calculate                                 	            576	    270.52	      3.86
  projector_all::apply                              	           5110	      3.22	      3.22
  evaluate_functional                               	           2186	      4.08	      3.11
  projector::gather                                 	           5686	      3.67	      3.09
  laplacian_add                                     	            348	      2.70	      2.70
  etrs:restore                                      	            516	      2.36	      2.36
  overlap_diagonal_normalized                       	            290	      2.36	      2.34
  preconditioner_apply                              	            290	      2.11	      2.11
  inq_environment                                   	              1	   2107.85	      1.36
  enlarge                                           	           2190	      4.18	      1.32
  overlap(2arg)                                     	            117	      1.30	      1.30
  poisson_solve_0d                                  	           1095	     11.74	      1.20
  scf_iteration                                     	             58	    238.73	      1.13
  poisson_apply_kernel                              	           1095	      1.03	      1.03
  projector_gemm_1                                  	           5686	      1.00	      1.00
  normalize                                         	             59	      1.01	      0.98
  hamiltonian_real                                  	           4762	   1330.12	      0.73
  fill(field_set)                                   	           4443	      0.66	      0.66
  sum(1arg)                                         	           5005	      0.65	      0.65
  projector_gemm_2                                  	           5110	      0.58	      0.58
  total                                             	           3280	      0.51	      0.38
  etrs                                              	            516	   1481.61	      0.38
  integral_product                                  	           4372	      1.05	      0.36
  propagate                                         	              1	   1864.76	      0.34
  poisson(real)                                     	           1095	     12.12	      0.28
  shrink                                            	           1095	      0.42	      0.27
  diagonalize_raw                                   	             58	      0.26	      0.26
  occ_sum                                           	           1152	      0.25	      0.25
  matrix::gather                                    	            293	      0.23	      0.23
  compute_nvxc                                      	           1093	      0.22	      0.22
  matrix::scatter                                   	            176	      0.19	      0.19
  multiply_by_coefficients                          	           5110	      0.26	      0.18
  cuda_zpotrf                                       	             59	      0.15	      0.15
  broyden_extrapolation                             	             58	      0.15	      0.14
  spherical_grid::reextent                          	            300	      0.13	      0.13
  non_local_energy                                  	            576	      0.54	      0.12
  deallocate                                        	          93707	      0.09	      0.09
  pseudopod::filter                                 	              9	      0.09	      0.09
  hamiltonian_fourier                               	            348	    100.98	      0.08
  to_real_array                                     	           6263	    627.18	      0.07
  projector::build                                  	             72	      0.07	      0.07
  spherical_grid::compact                           	            300	      0.06	      0.06
  energy::calculate::eigenvalues                    	            576	    181.06	      0.06
  constructor                                       	              2	      0.06	      0.06
  integral_sum_absdiff                              	            574	      0.18	      0.05
  to_fourier_array                                  	           6839	    673.17	      0.05
  operations::rotate_trs                            	             59	     15.87	      0.05
  broyden_mixing                                    	             58	      0.20	      0.05
  spherical_grid::initialize                        	            300	      0.24	      0.04
  nlcc_density                                      	              2	      0.06	      0.04
  kinetic_expectation_value                         	           1152	     89.99	      0.04
  ionic_density                                     	              2	      0.09	      0.03
  initial_guess                                     	              1	      0.52	      0.03
  atomic_electronic_density                         	              1	      0.09	      0.03
  allocate_with_hint                                	          18033	      0.02	      0.02
  subspace_diagonalization                          	             58	     33.36	      0.02
  atomic_potential::local_potential                 	              2	      0.08	      0.02
  pseudopod::pseudopotential                        	              2	      0.11	      0.02
  integral_partial_sum                              	             59	      0.03	      0.01
  update_projectors                                 	              2	      0.18	      0.01
  least_squares                                     	             57	      0.01	      0.01
  preconditioner_reduction                          	            290	      5.34	      0.01
  electrons                                         	              1	      0.02	      0.01
  operator()                                        	              1	    240.68	      0.01
  orthogonalize                                     	             59	     16.87	      0.01
  state_convergence                                 	             58	      0.01	      0.01
  mgga_term                                         	           5110	      0.00	      0.00
  mixing                                            	             58	      7.66	      0.00
  poisson(complex)                                  	           1095	     11.74	      0.00
  overlap_diagonal(1arg)                            	            866	      5.44	      0.00
  etrs:save                                         	            516	      0.00	      0.00
  update_ionic_fields                               	              3	      0.56	      0.00
  overlap(1arg)                                     	             59	      0.70	      0.00
  dipole                                            	              1	      0.00	      0.00
  periodic_replicas                                 	            300	      0.00	      0.00
  reduce_nrm2                                       	             57	      0.00	      0.00
  interaction_energy                                	              2	      0.00	      0.00
  kpoint_index                                      	             59	      0.00	      0.00
  atomic_potential                                  	              1	      0.11	      0.00
