# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  fft_forward_3d                                    	           6960	    677.62	    677.62
  fft_backward_3d                                   	           6373	    609.89	    609.89
  shift_const_factor                                	           6192	    127.53	    127.53
  time_step                                         	            516	   1732.28	    108.27
  scalar_potential_add                              	           4784	    102.13	    102.13
  update_hamiltonian                                	           1104	    106.09	     93.65
  exponential_2_for_1                               	            516	    689.55	     54.32
  laplacian                                         	           5129	     35.03	     31.34
  operations::rotate(2arg)                          	            139	     26.77	     26.70
  overlap_diagonal(2arg)                            	           3831	     22.21	     22.16
  fft_normalize                                     	           5267	     20.46	     20.46
  shift                                             	            932	     19.41	     19.41
  allocate                                          	          78876	     14.67	     14.67
  steepest_descent                                  	             69	    162.62	     10.68
  scalar_potential                                  	            414	      8.78	      8.47
  laplacian_expectation_value                       	            587	      8.44	      8.43
  exponential_in_place                              	            516	    599.00	      6.75
  density::calculate                                	           1103	      5.43	      5.37
  to_fourier                                        	           6960	    686.09	      4.11
  to_real                                           	           6373	    638.00	      3.70
  laplacian_add                                     	            414	      3.06	      3.06
  energy::calculate                                 	            587	    259.69	      2.99
  overlap_diagonal_normalized                       	            345	      2.56	      2.56
  preconditioner_apply                              	            345	      2.41	      2.41
  overlap(2arg)                                     	            243	      2.29	      2.28
  etrs:restore                                      	            516	      2.24	      2.24
  evaluate_functional                               	           2208	      2.67	      2.17
  projector_all::apply                              	           5198	      1.68	      1.68
  projector::gather                                 	           5785	      1.52	      1.43
  normalize                                         	             70	      1.12	      1.10
  inq_environment                                   	              1	   1987.70	      1.01
  enlarge                                           	           2212	      3.04	      0.98
  poisson_apply_kernel                              	           1106	      0.93	      0.93
  poisson_solve_0d                                  	           1106	      8.99	      0.92
  scf_iteration                                     	             69	    251.39	      0.83
  cuda_zpotrf                                       	             70	      0.73	      0.73
  fill(field_set)                                   	           4498	      0.53	      0.53
  projector_gemm_1                                  	           5785	      0.37	      0.37
  sum(1arg)                                         	           5071	      0.34	      0.34
  propagate                                         	              1	   1733.37	      0.30
  projector_gemm_2                                  	           5198	      0.28	      0.28
  integral_product                                  	           4416	      0.63	      0.28
  matrix::gather                                    	            452	      0.26	      0.26
  total                                             	           3313	      0.24	      0.21
  shrink                                            	           1106	      0.27	      0.19
  diagonalize_raw                                   	             69	      0.19	      0.19
  occ_sum                                           	           1174	      0.18	      0.18
  poisson(real)                                     	           1106	      9.21	      0.18
  hamiltonian_real                                  	           4784	   1274.28	      0.17
  matrix::scatter                                   	            209	      0.15	      0.15
  etrs                                              	            516	   1394.70	      0.14
  broyden_extrapolation                             	             69	      0.12	      0.11
  multiply_by_coefficients                          	           5198	      0.14	      0.11
  compute_nvxc                                      	           1104	      0.10	      0.10
  pseudopod::filter                                 	              9	      0.07	      0.07
  non_local_energy                                  	            587	      0.24	      0.05
  projector::build                                  	             72	      0.05	      0.05
  integral_sum_absdiff                              	            585	      0.09	      0.04
  broyden_mixing                                    	             69	      0.16	      0.04
  operations::rotate_trs                            	             70	     13.51	      0.04
  orthogonalize                                     	             70	     15.08	      0.04
  initial_guess                                     	              1	      0.41	      0.03
  spherical_grid::reextent                          	            300	      0.03	      0.03
  deallocate                                        	          98717	      0.02	      0.02
  sum(2arg)                                         	           5928	      0.02	      0.02
  nlcc_density                                      	              2	      0.03	      0.02
  energy::calculate::eigenvalues                    	            587	    175.31	      0.02
  atomic_electronic_density                         	              1	      0.03	      0.02
  subspace_diagonalization                          	             69	     32.75	      0.02
  hamiltonian_fourier                               	            414	    110.45	      0.02
  spherical_grid::compact                           	            300	      0.01	      0.01
  pseudopod::pseudopotential                        	              2	      0.08	      0.01
  update_projectors                                 	              2	      0.08	      0.01
  spherical_grid::initialize                        	            300	      0.05	      0.01
  least_squares                                     	             68	      0.01	      0.01
  to_real_array                                     	           6373	    630.35	      0.01
  constructor                                       	              2	      0.01	      0.01
  integral_partial_sum                              	             70	      0.01	      0.01
  allocate_with_hint                                	          19841	      0.01	      0.01
  kinetic_expectation_value                         	           1174	     85.43	      0.01
  to_fourier_array                                  	           6960	    677.62	      0.01
  operator()                                        	              1	    252.54	      0.00
  electrons                                         	              1	      0.01	      0.00
  atomic_potential::local_potential                 	              2	      0.01	      0.00
  preconditioner_reduction                          	            345	      4.92	      0.00
  state_convergence                                 	             69	      0.00	      0.00
  ionic_density                                     	              2	      0.02	      0.00
  poisson(complex)                                  	           1106	      8.99	      0.00
  mixing                                            	             69	      8.21	      0.00
  mgga_term                                         	           5198	      0.00	      0.00
  overlap_diagonal(1arg)                            	            932	      5.13	      0.00
  etrs:save                                         	            516	      0.00	      0.00
  update_ionic_fields                               	              3	      0.14	      0.00
  dipole                                            	              1	      0.00	      0.00
  overlap(1arg)                                     	             70	      0.72	      0.00
  periodic_replicas                                 	            300	      0.00	      0.00
  interaction_energy                                	              2	      0.00	      0.00
  reduce_nrm2                                       	             68	      0.00	      0.00
  atomic_potential                                  	              1	      0.08	      0.00
  kpoint_index                                      	             70	      0.00	      0.00
