# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  time_step                                         	            516	  14601.00	  10589.49
  fft_backward_3d                                   	           6890	   2668.28	   2668.28
  fft_forward_3d                                    	           7477	    755.51	    755.51
  shift_const_factor                                	           6192	    187.19	    187.19
  scalar_potential_add                              	           4784	    141.69	    141.69
  propagate                                         	              1	  14710.15	    107.82
  update_hamiltonian                                	           1104	    112.18	     95.40
  exponential_2_for_1                               	            516	    810.77	     77.18
  allocate                                          	          83426	     61.00	     61.00
  inq_environment                                   	              1	  15018.23	     55.64
  laplacian                                         	           5129	     57.89	     44.79
  fft_normalize                                     	           5784	     27.13	     27.13
  operations::rotate(2arg)                          	            139	     26.65	     26.59
  shift                                             	            932	     24.67	     24.67
  overlap_diagonal(2arg)                            	           3831	     22.81	     22.69
  gradient                                          	           1034	   2170.52	     17.24
  current_density                                   	            517	   2165.46	     16.80
  steepest_descent                                  	             69	    161.80	     10.67
  to_real                                           	           6890	   2726.20	     10.60
  to_fourier                                        	           7477	    779.17	      9.98
  laplacian_expectation_value                       	            587	      9.24	      9.20
  scalar_potential                                  	            414	      8.76	      8.47
  exponential_in_place                              	            516	    666.27	      7.11
  density::calculate                                	           1103	      5.65	      5.49
  energy::calculate                                 	            587	    287.78	      4.49
  laplacian_add                                     	            414	      3.06	      3.06
  etrs:restore                                      	            516	      2.62	      2.62
  overlap_diagonal_normalized                       	            345	      2.56	      2.56
  evaluate_functional                               	           2208	      3.36	      2.55
  preconditioner_apply                              	            345	      2.41	      2.41
  projector_all::apply                              	           5198	      2.32	      2.32
  projector::gather                                 	           6302	      2.07	      1.77
  enlarge                                           	           2212	      5.39	      1.46
  overlap(2arg)                                     	            139	      1.35	      1.34
  fill(field_set)                                   	           5015	      1.25	      1.25
  poisson_solve_0d                                  	           1106	     11.99	      1.14
  normalize                                         	             70	      1.12	      1.10
  poisson_apply_kernel                              	           1106	      0.98	      0.98
  scf_iteration                                     	             69	    250.45	      0.84
  position_commutator::gather                       	            517	      0.69	      0.69
  projector_gemm_1                                  	           6302	      0.66	      0.66
  position_commutator_gemm_1                        	          18612	      0.61	      0.61
  hamiltonian_real                                  	           4784	   1391.33	      0.61
  sum(1arg)                                         	           5588	      0.60	      0.60
  position_commutator_gemm_2                        	          18612	      0.46	      0.46
  projector_gemm_2                                  	           5715	      0.40	      0.40
  etrs                                              	            516	   1590.17	      0.40
  integral_product                                  	           4416	      0.93	      0.37
  total                                             	           3313	      0.42	      0.33
  poisson(real)                                     	           1106	     12.34	      0.26
  multiply_by_coefficients                          	           6232	      0.30	      0.24
  shrink                                            	           1106	      0.36	      0.23
  occ_sum                                           	           1174	      0.22	      0.22
  diagonalize_raw                                   	             69	      0.19	      0.19
  matrix::gather                                    	            348	      0.17	      0.17
  compute_nvxc                                      	           1104	      0.16	      0.16
  matrix::scatter                                   	            209	      0.15	      0.15
  broyden_extrapolation                             	             69	      0.12	      0.11
  cuda_zpotrf                                       	             70	      0.09	      0.09
  non_local_energy                                  	            587	      0.31	      0.08
  pseudopod::filter                                 	              9	      0.07	      0.07
  deallocate                                        	         103992	      0.06	      0.06
  energy::calculate::eigenvalues                    	            587	    194.39	      0.05
  integral_sum_absdiff                              	            585	      0.13	      0.05
  orthogonalize                                     	             70	     14.44	      0.04
  broyden_mixing                                    	             69	      0.16	      0.04
  projector::build                                  	             72	      0.04	      0.04
  to_real_array                                     	           6890	   2695.45	      0.04
  operations::rotate_trs                            	             70	     13.51	      0.03
  initial_guess                                     	              1	      0.42	      0.03
  to_fourier_array                                  	           7477	    755.55	      0.03
  spherical_grid::reextent                          	            300	      0.03	      0.03
  kinetic_expectation_value                         	           1174	     92.53	      0.02
  nlcc_density                                      	              2	      0.03	      0.02
  atomic_electronic_density                         	              1	      0.03	      0.02
  subspace_diagonalization                          	             69	     32.62	      0.02
  allocate_with_hint                                	          20566	      0.01	      0.01
  hamiltonian_fourier                               	            414	    110.36	      0.01
  spherical_grid::compact                           	            300	      0.01	      0.01
  pseudopod::pseudopotential                        	              2	      0.08	      0.01
  update_projectors                                 	              2	      0.07	      0.01
  spherical_grid::initialize                        	            300	      0.05	      0.01
  least_squares                                     	             68	      0.01	      0.01
  constructor                                       	              2	      0.01	      0.01
  integral_partial_sum                              	             70	      0.01	      0.01
  electrons                                         	              1	      0.01	      0.00
  operator()                                        	              1	    251.65	      0.00
  mgga_term                                         	           5198	      0.00	      0.00
  state_convergence                                 	             69	      0.00	      0.00
  poisson(complex)                                  	           1106	     11.99	      0.00
  atomic_potential::local_potential                 	              2	      0.01	      0.00
  preconditioner_reduction                          	            345	      4.90	      0.00
  etrs:save                                         	            516	      0.00	      0.00
  overlap_diagonal(1arg)                            	            932	      5.29	      0.00
  ionic_density                                     	              2	      0.01	      0.00
  integral                                          	            517	      0.10	      0.00
  mixing                                            	             69	      8.20	      0.00
  update_ionic_fields                               	              3	      0.14	      0.00
  dipole                                            	              1	      0.00	      0.00
  reduce_nrm2                                       	             68	      0.00	      0.00
  periodic_replicas                                 	            300	      0.00	      0.00
  interaction_energy                                	              2	      0.00	      0.00
  overlap(1arg)                                     	             70	      0.72	      0.00
  kpoint_index                                      	             70	      0.00	      0.00
  atomic_potential                                  	              1	      0.08	      0.00
