# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  fft_backward_3d                                   	          19850	   4007.43	   4007.43
  fft_forward_3d                                    	          21524	   3400.13	   3400.13
  allocate                                          	         223545	   2187.32	   2187.32
  time_step                                         	           1561	  13877.68	   1825.44
  shift_const_factor                                	          18732	    694.24	    694.24
  overlap_diagonal(2arg)                            	           8352	    637.97	    637.72
  scalar_potential_add                              	          14273	    614.51	    614.51
  steepest_descent                                  	            111	   2115.62	    522.28
  current_density                                   	           1562	   2949.35	    456.94
  update_hamiltonian                                	           3236	    754.76	    452.69
  laplacian                                         	          14828	    613.66	    322.52
  exponential_2_for_1                               	           1561	   4463.75	    280.05
  operations::rotate(2arg)                          	            223	    280.67	    279.91
  shift                                             	           2229	    129.27	    129.27
  fft_normalize                                     	          16612	    128.31	    128.31
  scf_iteration                                     	            111	   3066.19	    122.63
  position_commutator::gather                       	           1562	    101.61	    101.61
  scalar_potential                                  	            666	    159.71	    101.57
  inq_environment                                   	              1	  17050.34	     86.96
  fill(field_set)                                   	          14630	     78.97	     78.97
  gradient                                          	           3124	   2454.85	     62.98
  laplacian_expectation_value                       	           1674	     55.26	     55.18
  enlarge                                           	           6476	    249.92	     52.73
  exponential_in_place                              	           1561	   2801.48	     35.42
  to_fourier                                        	          21524	   3544.31	     34.75
  energy::calculate                                 	           1674	   1432.78	     32.37
  projector::gather                                 	          18175	     32.69	     31.18
  to_real                                           	          19850	   5794.97	     28.55
  overlap_diagonal_normalized                       	            555	     28.45	     28.44
  density::calculate                                	           3235	     32.48	     27.21
  laplacian_add                                     	            666	     25.70	     25.70
  etrs:restore                                      	           1561	     20.63	     20.63
  evaluate_functional                               	           6472	     33.81	     17.23
  integral_product                                  	          12944	     22.00	     16.20
  overlap(2arg)                                     	            223	     16.03	     16.02
  projector_all::apply                              	          14939	     11.83	     11.83
  etrs                                              	           1561	   8018.85	     11.50
  preconditioner_apply                              	            555	     10.35	     10.35
  broyden_extrapolation                             	            111	     10.04	     10.02
  poisson_solve_0d                                  	           3238	    236.40	      9.45
  broyden_mixing                                    	            111	     16.57	      6.53
  projector_gemm_1                                  	          18175	      5.76	      5.76
  propagate                                         	              1	  13889.96	      5.16
  total                                             	           9709	      6.15	      5.07
  normalize                                         	            112	      5.71	      5.07
  multiply_by_coefficients                          	          18063	      5.24	      5.05
  cuda_zpotrf                                       	            112	      4.94	      4.94
  matrix::gather                                    	            558	      4.45	      4.45
  poisson_apply_kernel                              	           3238	      4.21	      4.21
  diagonalize_raw                                   	            111	      3.93	      3.93
  position_commutator_gemm_1                        	          56232	      3.51	      3.51
  sum(1arg)                                         	          16290	      3.45	      3.45
  poisson(real)                                     	           3238	    239.96	      3.02
  occ_sum                                           	           3348	      2.96	      2.96
  position_commutator_gemm_2                        	          56232	      2.66	      2.66
  hamiltonian_fourier                               	            666	    748.26	      2.58
  projector_gemm_2                                  	          16501	      2.55	      2.55
  integral_sum_absdiff                              	           1672	      2.52	      2.01
  hamiltonian_real                                  	          14273	   7256.23	      1.56
  operations::rotate_trs                            	            112	    146.35	      1.32
  shrink                                            	           3238	      1.65	      0.99
  non_local_energy                                  	           1674	      3.21	      0.83
  matrix::scatter                                   	            335	      0.75	      0.75
  energy::calculate::eigenvalues                    	           1674	    993.53	      0.73
  compute_nvxc                                      	           3236	      0.65	      0.65
  operator()                                        	              1	   3071.48	      0.26
  integral_partial_sum                              	            112	      0.64	      0.22
  orthogonalize                                     	            112	    162.19	      0.21
  deallocate                                        	         271768	      0.19	      0.19
  spherical_grid::reextent                          	            300	      0.19	      0.19
  state_convergence                                 	            111	      0.18	      0.18
  pseudopod::filter                                 	              9	      0.17	      0.17
  projector::build                                  	             72	      0.12	      0.12
  subspace_diagonalization                          	            111	    302.88	      0.11
  spherical_grid::initialize                        	            300	      0.38	      0.10
  spherical_grid::compact                           	            300	      0.09	      0.09
  initial_guess                                     	              1	      1.20	      0.09
  atomic_electronic_density                         	              1	      0.38	      0.09
  to_fourier_array                                  	          21524	   3400.20	      0.07
  kinetic_expectation_value                         	           3348	    430.88	      0.07
  to_real_array                                     	          19850	   4135.80	      0.06
  allocate_with_hint                                	          48223	      0.02	      0.02
  nlcc_density                                      	              2	      0.03	      0.02
  etrs:save                                         	           1561	      0.02	      0.02
  least_squares                                     	            110	      0.02	      0.01
  pseudopod::pseudopotential                        	              2	      0.18	      0.01
  overlap_diagonal(1arg)                            	           2229	     31.15	      0.01
  constructor                                       	              2	      0.01	      0.01
  preconditioner_reduction                          	            555	     48.73	      0.01
  electrons                                         	              1	      0.01	      0.01
  mgga_term                                         	          14939	      0.00	      0.00
  poisson(complex)                                  	           3238	    236.41	      0.00
  update_projectors                                 	              2	      0.20	      0.00
  atomic_potential::local_potential                 	              2	      0.01	      0.00
  update_ionic_fields                               	              3	      0.27	      0.00
  mixing                                            	            111	     88.62	      0.00
  integral                                          	           1562	      0.37	      0.00
  ionic_density                                     	              2	      0.02	      0.00
  dipole                                            	              1	      0.00	      0.00
  overlap(1arg)                                     	            112	      8.01	      0.00
  reduce_nrm2                                       	            110	      0.00	      0.00
  periodic_replicas                                 	            300	      0.00	      0.00
  interaction_energy                                	              2	      0.00	      0.00
  atomic_potential                                  	              1	      0.18	      0.00
  kpoint_index                                      	            112	      0.00	      0.00
