# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  fft_backward_3d                                   	           6890	   1025.81	   1025.81
  fft_forward_3d                                    	           7477	    956.68	    956.68
  time_step                                         	            516	   2750.73	    169.97
  shift_const_factor                                	           6192	    161.91	    161.91
  scalar_potential_add                              	           4784	    130.44	    130.44
  update_hamiltonian                                	           1104	    146.45	    120.09
  exponential_2_for_1                               	            516	    944.95	    102.36
  allocate                                          	          83382	     57.73	     57.73
  laplacian                                         	           5129	     59.35	     46.93
  operations::rotate(2arg)                          	            139	     44.22	     44.13
  fft_normalize                                     	           5784	     34.30	     34.30
  overlap_diagonal(2arg)                            	           3831	     33.23	     32.92
  shift                                             	            932	     24.53	     24.53
  laplacian_expectation_value                       	            587	     19.77	     19.70
  current_density                                   	            517	    376.55	     19.66
  gradient                                          	           1034	    372.90	     17.73
  to_real                                           	           6890	   1092.63	     15.56
  to_fourier                                        	           7477	    988.17	     15.28
  steepest_descent                                  	             69	    223.33	     14.15
  scalar_potential                                  	            414	     12.24	     11.30
  exponential_in_place                              	            516	    797.97	      9.61
  density::calculate                                	           1103	      7.44	      7.13
  evaluate_functional                               	           2208	      7.73	      4.88
  energy::calculate                                 	            587	    357.52	      4.82
  projector_all::apply                              	           5198	      4.03	      4.03
  overlap_diagonal_normalized                       	            345	      3.96	      3.95
  laplacian_add                                     	            414	      3.95	      3.95
  projector::gather                                 	           6302	      3.68	      3.18
  etrs:restore                                      	            516	      3.11	      3.11
  preconditioner_apply                              	            345	      3.08	      3.08
  scf_iteration                                     	             69	    348.62	      2.33
  sum(1arg)                                         	           5588	      2.26	      2.26
  hamiltonian_real                                  	           4784	   1700.94	      2.19
  fill(field_set)                                   	           5015	      2.14	      2.14
  position_commutator_gemm_1                        	          18612	      2.14	      2.14
  overlap(2arg)                                     	            139	      2.11	      2.11
  projector_gemm_1                                  	           6302	      1.91	      1.91
  position_commutator_gemm_2                        	          18612	      1.87	      1.87
  enlarge                                           	           2212	      5.85	      1.84
  poisson_solve_0d                                  	           1106	     14.69	      1.62
  integral_product                                  	           4416	      3.33	      1.49
  poisson_apply_kernel                              	           1106	      1.47	      1.47
  normalize                                         	             70	      1.49	      1.42
  inq_environment                                   	              1	   3106.22	      1.40
  total                                             	           3313	      1.38	      1.24
  projector_gemm_2                                  	           5715	      1.16	      1.16
  multiply_by_coefficients                          	           6232	      1.24	      1.12
  etrs                                              	            516	   1890.34	      0.83
  propagate                                         	              1	   2753.18	      0.67
  poisson(real)                                     	           1106	     15.46	      0.65
  shrink                                            	           1106	      1.09	      0.60
  compute_nvxc                                      	           1104	      0.50	      0.50
  occ_sum                                           	           1174	      0.44	      0.44
  diagonalize_raw                                   	             69	      0.36	      0.36
  energy::calculate::eigenvalues                    	            587	    234.82	      0.34
  matrix::gather                                    	            348	      0.29	      0.29
  position_commutator::gather                       	            517	      0.28	      0.28
  integral_sum_absdiff                              	            585	      0.58	      0.26
  broyden_extrapolation                             	             69	      0.30	      0.25
  cuda_zpotrf                                       	             70	      0.22	      0.22
  matrix::scatter                                   	            209	      0.21	      0.21
  hamiltonian_fourier                               	            414	    146.59	      0.20
  non_local_energy                                  	            587	      0.49	      0.18
  spherical_grid::reextent                          	            300	      0.15	      0.13
  broyden_mixing                                    	             69	      0.43	      0.13
  deallocate                                        	         103948	      0.11	      0.11
  projector::build                                  	             72	      0.10	      0.10
  operations::rotate_trs                            	             70	     22.98	      0.10
  spherical_grid::compact                           	            300	      0.09	      0.09
  pseudopod::filter                                 	              9	      0.08	      0.08
  spherical_grid::initialize                        	            300	      0.31	      0.07
  to_real_array                                     	           6890	   1060.17	      0.06
  to_fourier_array                                  	           7477	    956.73	      0.05
  subspace_diagonalization                          	             69	     47.71	      0.05
  nlcc_density                                      	              2	      0.11	      0.04
  orthogonalize                                     	             70	     24.46	      0.04
  kinetic_expectation_value                         	           1174	    130.25	      0.04
  least_squares                                     	             68	      0.04	      0.03
  initial_guess                                     	              1	      0.44	      0.03
  allocate_with_hint                                	          20566	      0.03	      0.03
  integral_partial_sum                              	             70	      0.07	      0.03
  constructor                                       	              2	      0.02	      0.02
  atomic_electronic_density                         	              1	      0.04	      0.02
  state_convergence                                 	             69	      0.02	      0.02
  pseudopod::pseudopotential                        	              2	      0.11	      0.02
  atomic_potential::local_potential                 	              2	      0.13	      0.01
  preconditioner_reduction                          	            345	      7.81	      0.01
  operator()                                        	              1	    350.73	      0.01
  ionic_density                                     	              2	      0.06	      0.01
  mgga_term                                         	           5198	      0.01	      0.01
  electrons                                         	              1	      0.01	      0.00
  overlap_diagonal(1arg)                            	            932	      7.97	      0.00
  mixing                                            	             69	     11.49	      0.00
  poisson(complex)                                  	           1106	     14.69	      0.00
  update_projectors                                 	              2	      0.19	      0.00
  update_ionic_fields                               	              3	      0.58	      0.00
  etrs:save                                         	            516	      0.00	      0.00
  integral                                          	            517	      0.29	      0.00
  dipole                                            	              1	      0.00	      0.00
  overlap(1arg)                                     	             70	      1.11	      0.00
  periodic_replicas                                 	            300	      0.00	      0.00
  reduce_nrm2                                       	             68	      0.00	      0.00
  interaction_energy                                	              2	      0.00	      0.00
  kpoint_index                                      	             70	      0.00	      0.00
  atomic_potential                                  	              1	      0.11	      0.00
