# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  fft_forward_3d                                    	            566	     42.63	     42.63
  fft_backward_3d                                   	            514	     37.69	     37.69
  operations::rotate(2arg)                          	            103	     22.33	     22.26
  overlap_diagonal(2arg)                            	           1686	     16.57	     16.41
  steepest_descent                                  	             51	    117.86	      8.62
  scalar_potential                                  	            306	      7.35	      6.31
  allocate                                          	          14463	      5.95	      5.95
  shift                                             	            307	      5.42	      5.42
  laplacian                                         	            358	      5.47	      4.56
  update_hamiltonian                                	             53	      6.60	      3.94
  laplacian_add                                     	            306	      3.85	      3.85
  inq_environment                                   	              1	    188.14	      3.43
  overlap_diagonal_normalized                       	            255	      2.96	      2.94
  preconditioner_apply                              	            255	      2.84	      2.84
  scf_iteration                                     	             51	    181.11	      2.23
  fft_normalize                                     	            460	      2.19	      2.19
  laplacian_expectation_value                       	             52	      1.92	      1.91
  scalar_potential_add                              	            103	      1.90	      1.90
  to_fourier                                        	            566	     45.42	      1.58
  overlap(2arg)                                     	            103	      1.59	      1.57
  evaluate_functional                               	            106	      1.52	      1.48
  projector::gather                                 	            461	      1.12	      1.04
  to_real                                           	            514	     41.67	      0.88
  normalize                                         	             52	      0.76	      0.73
  energy::calculate                                 	             52	     21.34	      0.64
  matrix::scatter                                   	            155	      0.63	      0.63
  density::calculate                                	             52	      0.61	      0.59
  diagonalize_raw                                   	             51	      0.60	      0.58
  projector_gemm_1                                  	            461	      0.49	      0.49
  matrix::gather                                    	            258	      0.37	      0.36
  projector_all::apply                              	            409	      0.32	      0.32
  pseudopod::filter                                 	              9	      0.27	      0.27
  broyden_extrapolation                             	             51	      0.21	      0.19
  cuda_zpotrf                                       	             52	      0.19	      0.19
  poisson_solve_0d                                  	             54	      1.02	      0.15
  projector_gemm_2                                  	            409	      0.12	      0.12
  sum(1arg)                                         	            315	      0.11	      0.11
  occ_sum                                           	            104	      0.11	      0.11
  enlarge                                           	            108	      0.24	      0.11
  hamiltonian_fourier                               	            306	     67.50	      0.09
  broyden_mixing                                    	             51	      0.29	      0.08
  poisson_apply_kernel                              	             54	      0.07	      0.07
  pseudopod::pseudopotential                        	              2	      0.35	      0.06
  multiply_by_coefficients                          	            409	      0.08	      0.05
  operations::rotate_trs                            	             52	     11.22	      0.05
  spherical_grid::reextent                          	            168	      0.05	      0.05
  poisson(real)                                     	             54	      1.09	      0.04
  fill(field_set)                                   	            270	      0.03	      0.03
  atomic_electronic_density                         	              1	      0.07	      0.03
  non_local_energy                                  	             52	      0.11	      0.03
  hamiltonian_real                                  	            103	     22.40	      0.03
  initial_guess                                     	              1	      0.60	      0.02
  deallocate                                        	          21595	      0.02	      0.02
  electrons                                         	              1	      0.04	      0.02
  projector::build                                  	             36	      0.02	      0.02
  energy::calculate::eigenvalues                    	             52	     13.41	      0.02
  total                                             	            160	      0.02	      0.02
  least_squares                                     	             50	      0.02	      0.02
  shrink                                            	             54	      0.03	      0.02
  spherical_grid::compact                           	            168	      0.01	      0.01
  subspace_diagonalization                          	             51	     23.91	      0.01
  integral_product                                  	            212	      0.06	      0.01
  nlcc_density                                      	              1	      0.02	      0.01
  operator()                                        	              1	    183.12	      0.01
  preconditioner_reduction                          	            255	      6.63	      0.01
  compute_nvxc                                      	             53	      0.01	      0.01
  allocate_with_hint                                	           7132	      0.01	      0.01
  integral_partial_sum                              	             52	      0.03	      0.01
  spherical_grid::initialize                        	            168	      0.07	      0.01
  mixing                                            	             51	      6.76	      0.00
  constructor                                       	              1	      0.00	      0.00
  update_projectors                                 	              1	      0.04	      0.00
  to_real_array                                     	            514	     39.88	      0.00
  integral_sum_absdiff                              	             51	      0.06	      0.00
  to_fourier_array                                  	            566	     42.64	      0.00
  state_convergence                                 	             51	      0.00	      0.00
  orthogonalize                                     	             52	     12.81	      0.00
  kinetic_expectation_value                         	            104	      8.34	      0.00
  atomic_potential::local_potential                 	              1	      0.01	      0.00
  ionic_density                                     	              1	      0.01	      0.00
  overlap_diagonal(1arg)                            	            307	      3.02	      0.00
  dipole                                            	              1	      0.00	      0.00
  mgga_term                                         	            409	      0.00	      0.00
  overlap(1arg)                                     	             52	      0.99	      0.00
  update_ionic_fields                               	              2	      0.13	      0.00
  poisson(complex)                                  	             54	      1.02	      0.00
  reduce_nrm2                                       	             50	      0.00	      0.00
  periodic_replicas                                 	            168	      0.00	      0.00
  kpoint_index                                      	             52	      0.00	      0.00
  interaction_energy                                	              1	      0.00	      0.00
  atomic_potential                                  	              1	      0.35	      0.00
