run,t_au,N_free,N_slab,N_total
b1_eta0p50,0.0000,97.2159,64.7841,162.0000
b1_eta0p50,0.4600,97.2184,52.1531,149.3715
b1_eta0p50,0.9200,97.2190,43.0767,140.2957
b1_eta0p50,1.3800,97.2050,36.4485,133.6535
b1_eta0p50,1.8400,97.1635,31.5217,128.6853
b1_eta0p50,2.3000,97.0826,27.7910,124.8736
b1_eta0p50,2.7600,96.9520,24.9122,121.8642
b1_eta0p50,3.2200,96.7638,22.6495,119.4133
b1_eta0p50,3.6800,96.5131,20.8397,117.3529
b1_eta0p50,4.1400,96.1972,19.3695,115.5666
b1_eta0p50,4.6000,95.8149,18.1592,113.9740
b1_eta0p50,5.0600,95.3660,17.1533,112.5193
b1_eta0p50,5.5200,94.8510,16.3128,111.1638
b1_eta0p50,5.9800,94.2702,15.6103,109.8805
b1_eta0p50,6.4400,93.6240,15.0262,108.6502
b1_eta0p50,6.9000,92.9128,14.5461,107.4589
b1_eta0p50,7.3600,92.1367,14.1590,106.2958
b1_eta0p50,7.8200,91.2960,13.8561,105.1521
b1_eta0p50,8.2800,90.3909,13.6295,104.0204
b1_eta0p50,8.7400,89.4220,13.4721,102.8941
b1_eta0p50,9.2000,88.3901,13.3768,101.7669
b1_eta0p50,9.6600,87.2965,13.3365,100.6330
b1_eta0p50,10.1200,86.1431,13.3441,99.4873
b1_eta0p50,10.5800,84.9326,13.3920,98.3246
b1_eta0p50,11.0400,83.6679,13.4726,97.1405
b1_eta0p50,11.5000,82.3531,13.5781,95.9311
b1_eta0p50,11.9600,80.9928,13.7005,94.6933
b1_eta0p50,12.4200,79.5921,13.8323,93.4244
b1_eta0p50,12.8800,78.1567,13.9661,92.1227
b1_eta0p50,13.3400,76.6924,14.0951,90.7875
b1_eta0p50,13.8000,75.2061,14.2125,89.4186
b1_eta0p50,14.2600,73.7037,14.3133,88.0170
b1_eta0p50,14.7200,72.1918,14.3924,86.5842
b1_eta0p50,15.1800,70.6761,14.4466,85.1227
b1_eta0p50,15.6400,69.1627,14.4728,83.6355
b1_eta0p50,16.1000,67.6575,14.4686,82.1261
b1_eta0p50,16.5600,66.1651,14.4336,80.5987
b1_eta0p50,17.0200,64.6905,14.3669,79.0574
b1_eta0p50,17.4800,63.2376,14.2691,77.5067
b1_eta0p50,17.9400,61.8093,14.1419,75.9512
b1_eta0p50,18.4000,60.4085,13.9869,74.3954
b1_eta0p50,18.8600,59.0377,13.8059,72.8436
b1_eta0p50,19.3200,57.6986,13.6015,71.3001
b1_eta0p50,19.7800,56.3924,13.3762,69.7686
b1_eta0p50,20.2400,55.1203,13.1323,68.2527
b1_eta0p50,20.7000,53.8834,12.8722,66.7556
b1_eta0p50,21.1600,52.6817,12.5986,65.2803
b1_eta0p50,21.6200,51.5151,12.3142,63.8293
b1_eta0p50,22.0800,50.3828,12.0219,62.4048
b1_eta0p50,22.5400,49.2845,11.7243,61.0088
b1_eta0p50,23.0000,48.2193,11.4236,59.6429
b1_eta0p50,23.4600,47.1862,11.1222,58.3084
b1_eta0p50,23.9200,46.1840,10.8222,57.0062
b1_eta0p50,24.3800,45.2115,10.5254,55.7369
b1_eta0p50,24.8400,44.2677,10.2333,54.5010
b1_eta0p50,25.3000,43.3515,9.9470,53.2985
b1_eta0p50,25.7600,42.4620,9.6674,52.1294
b1_eta0p50,26.2200,41.5982,9.3951,50.9933
b1_eta0p50,26.6800,40.7589,9.1307,49.8896
b1_eta0p50,27.1400,39.9435,8.8744,48.8179
b1_eta0p50,27.6000,39.1508,8.6265,47.7774
b1_eta0p50,28.0600,38.3802,8.3870,46.7673
b1_eta0p50,28.5200,37.6308,8.1559,45.7868
b1_eta0p50,28.9800,36.9019,7.9332,44.8351
b1_eta0p50,29.4400,36.1926,7.7187,43.9113
b1_eta0p50,29.9000,35.5021,7.5125,43.0146
b1_eta0p50,30.3600,34.8298,7.3143,42.1441
b1_eta0p50,30.8200,34.1748,7.1240,41.2988
b1_eta0p50,31.2800,33.5365,6.9414,40.4778
b1_eta0p50,31.7400,32.9142,6.7662,39.6804
