# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  shift_const_factor                                	          15000	    264.59	    264.59
  scalar_potential_add                              	          11251	    207.14	    207.14
  update_hamiltonian                                	           2501	     83.73	     83.07
  shift                                             	           1251	     22.02	     22.02
  fft_forward_3d                                    	          12503	      3.14	      3.14
  fft_backward_3d                                   	          11252	      2.82	      2.82
  laplacian                                         	          11251	      2.68	      2.50
  allocate                                          	          59098	      1.11	      1.11
  fft_normalize                                     	          11251	      0.87	      0.87
  exponential_2_for_1                               	           1250	    274.68	      0.59
  to_fourier                                        	          12503	      3.87	      0.51
  energy::calculate::eigenvalues                    	           1251	     47.18	      0.51
  overlap_diagonal(2arg)                            	           3753	      0.49	      0.48
  to_real                                           	          11252	      4.35	      0.47
  exponential_in_place                              	           1250	    184.39	      0.42
  inq_environment                                   	              1	    593.29	      0.41
  occ_sum                                           	           2502	      0.32	      0.32
  density::calculate                                	           2503	      0.42	      0.29
  etrs                                              	           1250	    543.78	      0.28
  sum(1arg)                                         	           4008	      0.23	      0.23
  overlap(2arg)                                     	              1	      0.21	      0.21
  fill(field_set)                                   	           5009	      0.20	      0.20
  integral_product                                  	           2705	      0.35	      0.17
  laplacian_expectation_value                       	           1251	      0.20	      0.17
  energy::calculate                                 	           1251	     48.44	      0.17
  total                                             	           2602	      0.19	      0.16
  etrs:restore                                      	           1250	      0.13	      0.13
  hamiltonian_real                                  	          11251	    217.75	      0.09
  integral_sum_absdiff                              	           1250	      0.17	      0.08
  time_step                                         	           1250	    592.24	      0.03
  initial_guess                                     	              1	      0.27	      0.02
  normalize                                         	              1	      0.02	      0.02
  operations::rotate(2arg)                          	              1	      0.01	      0.01
  cuda_zpotrf                                       	              1	      0.01	      0.01
  deallocate                                        	          59109	      0.01	      0.01
  kinetic_expectation_value                         	           2502	      0.80	      0.01
  to_real_array                                     	          11252	      3.70	      0.01
  to_fourier_array                                  	          12503	      3.15	      0.00
  multiply_by_coefficients                          	          11251	      0.00	      0.00
  projector::gather                                 	          12502	      0.00	      0.00
  electrons                                         	              1	      0.00	      0.00
  operations::rotate_trs                            	              1	      0.01	      0.00
  projector_all::apply                              	          11251	      0.00	      0.00
  matrix::scatter                                   	              2	      0.00	      0.00
  mgga_term                                         	          11251	      0.00	      0.00
  non_local_energy                                  	           1251	      0.00	      0.00
  propagate                                         	              1	    592.33	      0.00
  overlap_diagonal(1arg)                            	           1251	      0.14	      0.00
  etrs:save                                         	           1250	      0.00	      0.00
  matrix::gather                                    	              3	      0.00	      0.00
  poisson_apply_kernel                              	              1	      0.00	      0.00
  poisson(real)                                     	              1	      0.01	      0.00
  interaction_energy                                	              1	      0.00	      0.00
  update_ionic_fields                               	              1	      0.01	      0.00
  integral_partial_sum                              	              1	      0.00	      0.00
  orthogonalize                                     	              1	      0.23	      0.00
  allocate_with_hint                                	             11	      0.00	      0.00
  integral                                          	             52	      0.00	      0.00
  ionic_density                                     	              1	      0.00	      0.00
  atomic_potential::local_potential                 	              1	      0.00	      0.00
  nlcc_density                                      	              1	      0.00	      0.00
  update_projectors                                 	              1	      0.00	      0.00
  overlap(1arg)                                     	              1	      0.21	      0.00
  poisson_solve_3d                                  	              1	      0.01	      0.00
  poisson(complex)                                  	              1	      0.01	      0.00
  constructor                                       	              1	      0.00	      0.00
  atomic_potential                                  	              1	      0.00	      0.00
