step,t_au,x,y,z
0,0,0,0,5
1,0.005,0,0,5.042866
2,0.01,0,0,5.085732
3,0.015,0,0,5.128598
4,0.02,0,0,5.171464
5,0.025,0,0,5.21433
6,0.03,0,0,5.257196
7,0.035,0,0,5.300062
8,0.04,0,0,5.342928000000001
9,0.045,0,0,5.385794000000001
10,0.05,0,0,5.428660000000001
11,0.055,0,0,5.471526000000001
12,0.06,0,0,5.514392000000001
13,0.065,0,0,5.557258000000001
14,0.07000000000000001,0,0,5.600124000000001
15,0.075,0,0,5.642990000000001
16,0.08,0,0,5.685856000000001
17,0.08500000000000001,0,0,5.728722000000001
18,0.09,0,0,5.771588000000001
19,0.095,0,0,5.814454000000001
20,0.1,0,0,5.857320000000001
