time_au,N_total_wp,N_cl_electrons,proj_norm,N_cl_total_with_proj
0.0,235.0,234.0,1.0000000000000002,235.0
0.2,234.994037294,233.99404427,0.9999999999999999,234.99404427
0.4,234.988656475,233.98871249,1.0,234.98871249
0.6,234.983700857,233.983917036,1.0,234.983917036
0.8,234.97902681,233.979580931,0.9999999999999998,234.979580931
1.0,234.974587116,233.975636804,1.0,234.975636804
1.2,234.970455989,233.972025982,1.0,234.972025982
1.4,234.966696999,233.968697645,1.0,234.968697645
1.6,234.963278117,233.965608025,1.0,234.965608025
1.8,234.960087948,233.962719626,1.0,234.962719626
2.0,234.957007363,233.960000479,1.0,234.960000479
2.2,234.953975194,233.957423437,1.0,234.957423437
2.4,234.951002777,233.954965523,1.0,234.954965523
2.6,234.948134056,233.952607349,1.0,234.952607349
2.8000000000000003,234.945388231,233.950332572,1.0,234.950332572
3.0,234.942741833,233.94812745,1.0,234.94812745
3.2,234.940154554,233.945980417,1.0,234.945980417
3.4,234.937597171,233.943881766,1.0,234.943881766
3.6,234.93505838,233.941823335,1.0,234.941823335
3.8,234.932535255,233.939798253,1.0,234.939798253
4.0,234.93002462,233.93780072,1.0,234.93780072
4.2,234.927523893,233.935825812,1.0,234.935825812
4.4,234.925031452,233.933869365,1.0,234.933869365
4.6000000000000005,234.922544785,233.931927793,1.0,234.931927793
4.8,234.920060477,233.929998024,1.0,234.929998024
5.0,234.917571537,233.92807737,1.0,234.92807737
5.2,234.915063448,233.926163475,1.0,234.926163475
5.4,234.912505654,233.924254232,1.0,234.924254232
5.6000000000000005,234.909834215,233.922347707,1.0,234.922347707
5.8,234.906927,233.920442068,1.0,234.920442068
6.0,234.903576836,233.918535519,1.0,234.918535519
6.2,234.899505226,233.916626221,1.0,234.916626221
6.4,234.894455637,233.914712194,1.0,234.914712194
6.6000000000000005,234.888355079,233.912791263,1.0,234.912791263
6.8,234.88138843,233.910860979,1.0,234.910860979
7.0,234.873807515,233.908918729,1.0,234.908918729
7.2,234.865617179,233.906961944,1.0,234.906961944
7.4,234.856554877,233.904988559,1.0,234.904988559
7.6,234.846423836,233.902997541,1.0,234.902997541
7.8,234.835305392,233.900989252,1.0,234.900989252
8.0,234.823432735,233.898965592,1.0,234.898965592
8.2,234.810983639,233.89692963,1.0,234.89692963
8.4,234.797994479,233.894885086,1.0,234.894885086
8.6,234.784428541,233.892835808,1.0,234.892835808
8.8,234.770286092,233.890785102,1.0,234.890785102
9.0,234.755623797,233.888735292,1.0,234.888735292
9.2,234.740547266,233.886687396,1.0,234.886687396
9.4,234.725158391,233.884640989,1.0,234.884640989
9.6,234.709557946,233.882594669,1.0000000000000002,234.882594669
9.8,234.693783769,233.880546384,1.0,234.880546384
10.0,234.677874187,233.878493943,0.9999999999999998,234.878493943
10.2,234.661901656,233.876435506,1.0,234.876435506
10.4,234.645911555,233.874369588,0.9999999999999999,234.874369588
10.6,234.629943669,233.872295134,1.0,234.872295134
10.8,234.614018284,233.870211619,1.0,234.870211619
11.0,234.598189116,233.868118499,0.9999999999999999,234.868118499
11.2,234.582478577,233.866015256,1.0,234.866015256
11.4,234.566930378,233.863901672,1.0,234.863901672
11.6,234.551558492,233.861776689,0.9999999999999998,234.861776689
11.8,234.536366552,233.859639103,0.9999999999999999,234.859639103
12.0,234.521368802,233.857487666,0.9999999999999999,234.857487666
12.2,234.506592314,233.855320356,1.0,234.855320356
12.4,234.49204218,233.853135345,1.0,234.853135345
12.6,234.477719634,233.850931316,1.0,234.850931316
12.8,234.463636509,233.848707064,1.0,234.848707064
13.0,234.449807409,233.846461564,1.0,234.846461564
13.2,234.436215571,233.844194116,1.0,234.844194116
13.4,234.422869058,233.841904413,1.0,234.841904413
13.6,234.409755723,233.839592546,1.0,234.839592546
13.8,234.39689027,233.837258968,1.0,234.837258968
14.0,234.384252852,233.834904342,1.0,234.834904342
14.2,234.371845273,233.832529445,1.0,234.832529445
14.4,234.359617442,233.830135117,1.0,234.830135117
14.6,234.347577345,233.827722176,1.0,234.827722176
14.8,234.335682811,233.825291435,0.9999999999999026,234.8252914349999
15.0,234.323960794,233.822843689,0.9999999989377176,234.8228436879377
15.2,234.312408805,233.820379631,0.9999981262892136,234.82037775728924
15.4,234.301033669,233.817899839,0.9994491795359955,234.817349018536
15.6,234.289876133,233.815404729,0.9714664231234604,234.78687115212347
15.8,234.278900995,233.812894601,0.7066823467885717,234.51957694778858
16.0,234.268133225,233.81036971,0.7921907854869925,234.60256049548698
16.2,234.257563255,233.807830263,0.9850155807754994,234.7928458437755
16.4,234.247133204,233.805276407,0.999788779704826,234.80506518670484
16.6,234.236883612,233.802708259,0.9999994682244432,234.80270772722446
16.8,234.226773902,233.800125948,0.9999999997698076,234.8001259477698
17.0,234.21677623,233.797529659,0.9999999999999832,234.79752965899996
17.2,234.20694336,233.79491974,1.0,234.79491974
17.400000000000002,234.197260942,233.792296673,1.0,234.792296673
17.6,234.187696295,233.789661091,1.0,234.789661091
17.8,234.178302978,233.787013687,1.0,234.787013687
18.0,234.169103075,233.7843551,1.0,234.7843551
