z_c,F_ours,F_fd
1,0.554755979713,0.553908834077
1.5,0.395351363782,0.395328806658
2,0.246645920216,0.246877281289
2.5,0.160044221435,0.160086783832
3,0.11106150123,0.111294307716
3.5,0.0817371031003,0.0818146354554
4,0.0624525674135,0.062668134915
4.5,0.0494529544518,0.0495451488139
5,0.0399630484757,0.040143243683
5.5,0.03310492054,0.0331899340188
6,0.0277523335809,0.0278867520664
6.5,0.0236985267991,0.0237634671713
7,0.0203934534193,0.0204788435717
7.5,0.0177969787999,0.0178337732926
8,0.0156252162963,0.0156581486836
8.5,0.0138524859763,0.0138606910599
9,0.0123540387536,0.0123457433614
9.5,0.0110839127327,0.011069946028
10,0.0100151235916,0.00997406908161
10.5,0.00906761585535,0.00903761096112
11,0.0082851363791,0.00822101910997
11.5,0.00755389827858,0.0075151574486
12,0.00696936468318,0.00689224163272
12.5,0.00638888650944,0.006348829231
13,0.00594536193842,0.0058647024948
13.5,0.00547358786221,0.0054388499166
14,0.00513243556225,0.00505634404797
