sigma_wp,v,half,L_slab,S,source,inv_L
5.0,2.0,classical,25.0,0.24077890880778,sigma56_sv,0.04
5.0,2.5,classical,25.0,0.1774281736145687,sigma56_sv,0.04
5.0,3.0,classical,25.0,0.1325877749023453,sigma56_sv,0.04
5.0,3.5,classical,25.0,0.1013651453758392,sigma56_sv,0.04
5.0,2.5,wp,25.0,0.4590772905847481,sigma56_sv,0.04
5.0,3.0,wp,25.0,0.3958411516661722,sigma56_sv,0.04
5.0,3.5,wp,25.0,0.3054285463258791,sigma56_sv,0.04
0.5,2.0,wp,25.0,0.2391504016424005,wp_highdensity_sv,0.04
0.5,2.5,wp,25.0,0.2001687869618763,wp_highdensity_sv,0.04
0.5,3.0,wp,25.0,0.1673254860495944,wp_highdensity_sv,0.04
0.5,3.5,wp,25.0,0.1308525414527684,wp_highdensity_sv,0.04
0.5,2.0,classical,25.0,0.7602701602906707,cl_hd_sv_cap(EPS-corr),0.04
0.5,2.5,classical,25.0,0.5257817235826167,cl_hd_sv_cap(EPS-corr),0.04
0.5,3.0,classical,25.0,0.38108563208857715,cl_hd_sv_cap(EPS-corr),0.04
0.5,3.5,classical,25.0,0.28768407885461605,cl_hd_sv_cap(EPS-corr),0.04
0.5,4.0,classical,25.0,0.22498746016172091,cl_hd_sv_cap(EPS-corr),0.04
0.5,4.5,classical,25.0,0.18077716555897616,cl_hd_sv_cap(EPS-corr),0.04
