run,label,eta,region,gap,t_au,N_total,wake_under_cap,refl_frac
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,0.0,52.99999999996728,7.03919913488922e-05,0.34895729113954277
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,0.16,52.999993122876106,6.853446987596276e-05,0.17751336966976
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,0.32,52.99998646357827,6.685679296347399e-05,0.06732686311245081
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,0.48,52.99997999191508,6.53320470538024e-05,0.017797101435906685
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,0.64,52.99997368238157,6.393186748295202e-05,0.003076495424881786
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,0.8,52.9999675132128,6.262958028309203e-05,0.00034528235678467806
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,0.96,52.99996146583881,6.140905803833871e-05,2.774466219426802e-05
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,1.12,52.99995552446596,6.025852701026485e-05,1.710061469794019e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,1.28,52.99994967568199,5.917232950489217e-05,1.3698887025610207e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,1.44,52.99994390803677,5.814540087900939e-05,1.6606198890330992e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,1.6,52.99993821161323,5.717517456365128e-05,1.9599541652141235e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,1.76,52.99993257763366,5.6255443208635885e-05,2.260995407766249e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,1.92,52.99992699814855,5.5388103137487766e-05,2.535301270959928e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,2.08,52.999921465815376,5.4574979017113e-05,2.7805675068321863e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,2.24,52.99991597374126,5.3818867648896596e-05,2.9923125577269354e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,2.4,52.999910515389345,5.3124408535095396e-05,3.1693854848284537e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,2.56,52.99990508453496,5.249239745647806e-05,3.3089494318338654e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,2.72,52.99989967527425,5.192251507786856e-05,3.4121993630590653e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,2.88,52.999894282081776,5.141360930791592e-05,3.477755570061624e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,3.04,52.99988889989724,5.096134947526009e-05,3.5081952943348963e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,3.2,52.99988352422251,5.0558320342183145e-05,3.503910667156405e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,3.36,52.99987815121612,5.0195404552639655e-05,3.4682834141629934e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,3.52,52.999872777773554,4.986337759722828e-05,3.4031366240771096e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,3.68,52.99986740158867,4.955472043741092e-05,3.312222794199494e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,3.84,52.999862021181514,4.926377400892538e-05,3.198218806207247e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,4.0,52.999856635886474,4.898590624743352e-05,3.0649932092385686e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,4.16,52.99985124579023,4.871767978992453e-05,2.9156040635934776e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,4.32,52.99984585161938,4.8457007558745805e-05,2.753938114047919e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,4.48,52.99984045458733,4.82033043685255e-05,2.5831120649114778e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,4.64,52.99983505621714,4.7957131361963416e-05,2.4068627717435115e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,4.8,52.9998296581624,4.771965772888583e-05,2.22803102574625e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,4.96,52.99982426204613,4.749252538812832e-05,2.049870080450574e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,5.12,52.999818869332636,4.727810505010114e-05,1.874628795179425e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,5.28,52.99981348123644,4.707921939646384e-05,1.7047461683846433e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,5.44,52.99980809866688,4.6899119834478006e-05,1.5417252886304757e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,5.6000000000000005,52.999802722201686,4.674015527495755e-05,1.3870460954215889e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,5.76,52.99979735208388,4.6604221999630616e-05,1.2415428980580623e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,5.92,52.999791988238364,4.6492020317459644e-05,1.1058289613702565e-06
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,6.08,52.9997866303038,4.640371751258019e-05,9.80300134049115e-07
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,6.24,52.99978127767747,4.6339733758239476e-05,8.649021634997278e-07
baseline,"baseline η=−1.0 [25,40]",-1.0,"[25,40]",12.5,6.4,52.9997759295678,4.629975510193857e-05,7.597800308172325e-07
