sigma_WP,v,half,box_Lz,t_final_au,norm_wp_final,excess_norm_lost,excess_at_t99.6
5.0,2.0,classical,105,174.4,,0.11745770180000648,0.008325265799996373
5.0,2.5,classical,105,139.52,,0.04161165620000418,0.0061576754000043366
5.0,3.0,classical,105,116.28,,0.011621559899992917,0.00465681469999879
5.0,3.5,classical,105,99.64,,0.0035646479000064346,0.00355488200000309
6.0,2.0,classical,105,174.4,,0.10446694780000598,0.00582892229999743
6.0,2.5,classical,105,139.52,,0.03604144130000009,0.004757033000004185
6.0,3.0,classical,105,116.28,,0.0097868672000061,0.0037763840999929243
6.0,3.5,classical,105,99.64,,0.0029690626000018483,0.0029608014999951138
0.5,2.0,wp,85,144.92,0.0637923253744,0.08702504207438722,0.042174028531690055
0.5,2.5,wp,85,115.92,0.046170091219,0.05888440291899144,0.04047723230669931
0.5,3.0,wp,85,96.6,0.0320851655044,0.03473186900440339,
0.5,3.5,wp,85,82.8,0.0182131679313,0.018448228731287486,
2.0,2.0,wp,85,144.92,3.42845201012e-05,0.24885644472010426,0.0950196486542012
2.0,2.5,wp,85,115.92,7.39656222054e-07,0.15697343735621416,0.09779844259070103
2.0,3.0,wp,85,96.6,1.07911622574e-08,0.07570557059116823,
2.0,3.5,wp,85,82.8,1.16408262473e-09,0.03302584416408649,
3.0,2.0,wp,85,144.92,1.37494445009e-05,0.2818416044445087,0.11057579750024615
3.0,2.5,wp,85,115.92,1.44546067976e-07,0.17035503844606126,0.10663538468270417
3.0,3.0,wp,85,96.6,6.20740410876e-09,0.07848282670740048,
3.0,3.5,wp,85,82.8,1.3819202345e-09,0.03336081368192367,
5.0,2.0,wp,105,174.4,3.06120214534e-06,0.14715797770215033,0.015078759489327354
5.0,2.5,wp,105,139.52,1.54277103555e-08,0.0896817199277109,0.01773651373596863
5.0,3.0,wp,105,116.28,5.34423611502e-10,0.04229005043443124,0.018113507179833732
5.0,3.5,wp,105,99.64,3.70074894804e-10,0.01613108467007862,0.01608691147222885
6.0,2.0,wp,105,174.4,8.12252295696e-07,0.14321513095229932,0.014070330000265585
6.0,2.5,wp,105,139.52,1.11210063068e-08,0.08720350392100329,0.016872240073738
6.0,3.0,wp,105,116.28,6.08505587986e-10,0.04080289660851122,0.017365044401657315
6.0,3.5,wp,105,99.64,3.85932198385e-10,0.015538286685938374,0.015495678187150475
