sigma_wp,v,half,cap,run,S_eV_per_Bohr,S_raw_eV_per_Bohr,E_absorbed_eV,t_final_au,steps_done,steps_target,complete,settled,plateau_drift_eV,norm_final,sigma_d_entry,sigma_d_exit,sigma_eq,e_ps_final_eV,z_proj_final,S_deposit_eV_per_Bohr
5.0,2.0,classical,True,cl_s5p0_v2p0,0.5984168578708704,0.5984168578708704,14.960421446771761,174.4,4360,4360,True,False,-1.092157833827514,,3.69120576505835,4.527692569068709,5.74142946041218,8.940948726577261,321.3,0.24077890880778
5.0,2.5,classical,True,cl_s5p0_v2p5,0.5246058265121246,0.5246058265121246,13.115145662803116,139.52,3488,3488,True,False,-1.0575641131890734,,3.6359317925395684,4.197618372363071,5.488136500681521,8.679441322438896,321.3,0.17742817361456878
5.0,3.0,classical,True,cl_s5p0_v3p0,0.4753914263967818,0.4753914263967818,11.884785659919544,116.28,2907,2907,True,False,-1.0426851043366696,,3.605551275463989,4.006938426723769,5.344643832263689,8.570091287360912,321.34000000000003,0.1325877749023453
5.0,3.0,classical,False,cl_nocap_s5p0_v3p0,0.47574150986492897,0.47574150986492897,11.893537746623224,116.28,2907,2907,True,False,-1.0434323590443455,,3.605551275463989,4.006938426723769,5.344643832263689,8.571130590910988,321.34000000000003,0.13289628622848945
5.0,3.5,classical,True,cl_s5p0_v3p5,0.44247611929917186,0.44247611929917186,11.061902982479296,99.64,2491,2491,True,False,-1.0434178601381063,,3.5871084369970627,3.8874470926250795,5.255867872957064,8.527774348083316,321.24,0.10136514537583921
6.0,2.0,classical,True,cl_s6p0_v2p0,0.5483709669048039,0.5483709669048039,13.709274172620098,174.4,4360,4360,True,False,-1.0797551016676152,,4.333733955839929,4.853406592853679,6.44728809800708,8.838833965873294,321.3,0.19481760826987218
6.0,2.5,classical,True,cl_s6p0_v2p5,0.49226855556604276,0.49226855556604276,12.30671388915107,139.52,3488,3488,True,False,-1.0522150707474793,,4.301162633521313,4.642796092394707,6.290690634347618,8.63939651527304,321.3,0.1466926949551212
6.0,3.0,classical,True,cl_s6p0_v3p0,0.4528988616901552,0.4528988616901552,11.32247154225388,116.28,2907,2907,True,False,-1.0401025848668723,,4.283365758632132,4.524282904778296,6.203629460578712,8.551136070509008,321.34000000000003,0.11085341886979486
6.0,3.0,classical,False,cl_nocap_s6p0_v3p0,0.453115257992722,0.453115257992722,11.327881449818051,116.28,2907,2907,True,False,-1.041154201378049,,4.283365758632132,4.524282904778296,6.203629460578712,8.552010951597872,321.34000000000003,0.11103481992880716
6.0,3.5,classical,True,cl_s6p0_v3p5,0.42595957013567387,0.42595957013567387,10.648989253391846,99.64,2491,2491,True,False,-1.0415681255581148,,4.27259897963948,4.451298569734016,6.150410307276884,8.517540324250106,321.24,0.08525795716566961
5.0,2.0,wp,True,s5p0_v2p0,0.38841569763793815,1.1882694670131242,9.710392440948453,78.92,1973,4360,False,True,-0.0038357970834113075,1.78154397245e-05,3.69120576505835,4.527692569068709,5.74142946041218,,130.34,
5.0,2.5,wp,True,s5p0_v2p5,0.45907709175731726,0.8225823503189895,11.476927293932931,139.52,3488,3488,True,True,-0.0026403617730466067,1.54277103555e-08,3.6359317925395684,4.197618372363071,5.488136500681521,-4.970685772267424e-06,321.3,0.45907729058474817
5.0,3.0,wp,True,s5p0_v3p0,0.39584114446315655,0.7673839282772315,9.896028611578913,116.28,2907,2907,True,True,0.008373193454644934,5.34423611502e-10,3.605551275463989,4.006938426723769,5.344643832263689,-1.8007539366736773e-07,321.34000000000003,0.39584115166617223
5.0,3.5,wp,True,s5p0_v3p5,0.30542854100280237,6.096046169063993,7.635713525070059,99.64,2491,2491,True,True,-0.004428211737831589,3.70074894804e-10,3.5871084369970627,3.8874470926250795,5.255867872957064,-1.3307691854381354e-07,321.24,0.3054285463258791
6.0,2.0,wp,True,s6p0_v2p0,0.374419572902043,0.6241894841139584,9.360489322551075,174.4,4360,4360,True,True,0.007496906520827906,8.12252295696e-07,4.333733955839929,4.853406592853679,6.44728809800708,-0.00027374045037119657,321.3,0.3744305225200579
6.0,2.5,wp,True,s6p0_v2p5,0.4420414609793079,0.669123157878821,11.051036524482697,139.52,3488,3488,True,True,-0.0013875102558813524,1.11210063068e-08,4.301162633521313,4.642796092394707,6.290690634347618,-3.64542573219889e-06,321.3,0.44204160679633714
6.0,3.0,wp,True,s6p0_v3p0,0.37967271664969304,0.5937043083568279,9.491817916242326,116.28,2907,2907,True,True,0.009018426645525324,6.08505587986e-10,4.283365758632132,4.524282904778296,6.203629460578712,-2.0693559786656006e-07,321.34000000000003,0.37967272492711696
6.0,3.5,wp,True,s6p0_v3p5,0.29256003498121574,4.870304489406007,7.314000874530393,99.64,2491,2491,True,True,-0.0039144349029811565,3.85932198385e-10,4.27259897963948,4.451298569734016,6.150410307276884,-1.289976245755207e-07,321.24,0.2925600401411207
