sigma_wp,v,half,sigma_eq,S_eV_per_Bohr,set
5.0,3.5,classical,5.0,0.10136514537583921,sigma56_sv (L_z=105)
6.0,2.0,wp,6.44728809800708,0.3744305225200579,sigma56_sv (L_z=105)
6.0,2.5,wp,6.290690634347618,0.44204160679633714,sigma56_sv (L_z=105)
6.0,3.0,wp,6.203629460578712,0.37967272492711696,sigma56_sv (L_z=105)
6.0,3.5,wp,6.150410307276884,0.2925600401411207,sigma56_sv (L_z=105)
6.0,2.0,classical,6.0,0.19481760826987218,sigma56_sv (L_z=105)
6.0,2.5,classical,6.0,0.1466926949551212,sigma56_sv (L_z=105)
6.0,3.0,classical,6.0,0.11085341886979486,sigma56_sv (L_z=105)
6.0,3.5,classical,6.0,0.08525795716566961,sigma56_sv (L_z=105)
0.5,2.0,wp,24.0057737625975,0.2391504016424005,wp_highdensity_sv (L_z=85)
0.5,2.5,wp,19.207216455981538,0.2001687869618763,wp_highdensity_sv (L_z=85)
0.5,3.0,wp,16.008658651898617,0.1673254860495944,wp_highdensity_sv (L_z=85)
0.5,3.5,wp,13.724385965849098,0.1308525414527684,wp_highdensity_sv (L_z=85)
2.0,2.0,wp,6.354093637167958,0.3552568220482499,wp_highdensity_sv (L_z=85)
2.0,2.5,wp,5.233379495126023,0.3591722314659273,wp_highdensity_sv (L_z=85)
2.0,3.0,wp,4.507917787032899,0.2915980280294388,wp_highdensity_sv (L_z=85)
2.0,3.5,wp,4.006244268928148,0.2184834913023951,wp_highdensity_sv (L_z=85)
3.0,2.0,wp,5.055107501698624,0.4317111067466612,wp_highdensity_sv (L_z=85)
3.0,2.5,wp,4.437456282389421,0.4011423331177866,wp_highdensity_sv (L_z=85)
3.0,3.0,wp,4.059539863614619,0.3052865739370827,wp_highdensity_sv (L_z=85)
3.0,3.5,wp,3.8116302116350997,0.2212570581321051,wp_highdensity_sv (L_z=85)
