sigma_WP,v,set,mean_1pct,t_end,n,hit,t_slab_exit,full
0.5,2.0,L_z=85,7.96,6.4,161,True,20.0,22.67
0.5,2.5,L_z=85,10.2,8.6,215,True,16.0,22.33
0.5,3.0,L_z=85,10.44,8.8,221,True,13.3,21.54
0.5,3.5,L_z=85,9.9,8.2,207,True,11.4,20.7
2.0,2.0,L_z=85,7.21,19.6,490,True,20.0,19.17
2.0,2.5,L_z=85,6.4,16.8,420,True,16.0,18.7
2.0,3.0,L_z=85,5.77,14.6,367,True,13.3,18.37
2.0,3.5,L_z=85,5.28,13.0,326,True,11.4,17.53
3.0,2.0,L_z=85,6.52,21.3,534,True,20.0,16.32
3.0,2.5,L_z=85,5.9,17.9,449,True,16.0,17.69
3.0,3.0,L_z=85,5.45,15.4,387,True,13.3,16.63
3.0,3.5,L_z=85,5.13,13.6,341,True,11.4,17.23
5.0,2.0,L_z=105,7.76,28.2,706,True,20.0,12.27
5.0,2.5,L_z=105,7.34,23.2,581,True,16.0,20.51
5.0,3.0,L_z=105,7.05,19.8,495,True,13.3,18.54
5.0,3.5,L_z=105,6.85,17.2,430,True,11.4,18.42
6.0,2.0,L_z=105,8.45,28.2,705,True,20.0,22.56
6.0,2.5,L_z=105,8.15,23.1,578,True,16.0,19.71
6.0,3.0,L_z=105,7.95,19.6,490,True,13.3,18.33
6.0,3.5,L_z=105,7.81,17.0,425,True,11.4,18.36
