step,time_au,energy_total,energy_kinetic,energy_hartree,energy_xc,energy_external,energy_nonlocal,energy_ion,energy_ion_kinetic,energy_exact_exchange,energy_nvxc,energy_eigenvalues,current_x,current_y,current_z,density_l2,norm_wp,correction_ev,e_total_raw_ev,e_total_corrected_ev,wp_kinetic_bare_ev,energy_total_corrected
0,0.0,209.344943291635,8.31698226730478,-229.242299067884,-13.8702521749897,444.140512267205,0,0,0,0,-18.0245317956531,-24.0516353969103,-3.83800965671372e-05,0.0001408480924495,-1.9997119835154,0.0,1.0,0.0,5696.56605905679,5696.56605905679,59.524906525333684,209.344943291635
1,0.04,209.344943301536,8.31698896960793,-229.201280002107,-13.8702445424556,444.099478876491,0,0,0,0,-18.0245218197406,-24.0106139781077,-3.83800901966321e-05,0.0001408480892815,-2.02023017509144,1.2691703066098e-05,0.999999990553,5.623329763832099e-07,5696.566059326211,5696.566058763878,59.525031591711254,209.34494328087064
2,0.08,209.34494330962,8.31700599364815,-229.160289288315,-13.8702190970977,444.058445701384,0,0,0,0,-18.0244885858423,-23.9696154680525,-3.83800840289323e-05,0.0001408480863561,-2.04074711190292,5.06819285950909e-05,0.999999983196,1.0002635063697684e-06,5696.566059546188,5696.5660585459245,59.525320839665355,209.344943272861
3,0.12,209.344943316371,8.31703333980861,-229.119326881957,-13.8701758763934,444.017412734913,0,0,0,0,-18.0244321429732,-23.928639833219,-3.83800780543961e-05,0.000140848083652,-2.06126151520698,0.0001137170741035,0.999999977424,1.3438539057745425e-06,5696.566059729892,5696.566058386038,59.525774181173404,209.3449432669853
4,0.16,209.344943322177,8.31707099974246,-229.078392712183,-13.8701149381922,443.97637997281,0,0,0,0,-18.0243525668402,-23.8876870201999,-3.83800722647111e-05,0.000140848081149,-2.08177210667089,0.0002013779322056,0.999999972855,1.6158439378604674e-06,5696.56605988788,5696.566058272037,59.526391323558705,209.34494326279582
5,0.2,209.344943327347,8.3171189565384,-229.037486681696,-13.8700363605609,443.935347413066,0,0,0,0,-18.0242499596366,-23.8467569554987,-3.83800666508199e-05,0.0001408480788272,-2.10227760839568,0.0003130848086708,0.999999969195,1.8337345826125975e-06,5696.566060028564,5696.56605819483,59.52717177094411,209.3449432599585
6,0.24,209.344943332127,8.31717718492247,-228.996608666821,-13.8699402415558,443.894315055581,0,0,0,0,-18.0241244497437,-23.8058495455065,-3.83800612044741e-05,0.0001408480766678,-2.12277674295355,0.0004481045438245,0.999999966224,2.0106216741752434e-06,5696.566060158634,5696.566058148012,59.528114828588556,209.344943258238
7,0.28,209.344943336708,8.31724565149583,-228.955758517757,-13.8698266989275,443.853282901896,0,0,0,0,-18.0239761913407,-23.7649646766493,-3.83800559175583e-05,0.0001408480746524,-2.14326823343578,0.000605559298726,0.999999963772,2.156624648727053e-06,5696.5660602832895,5696.566058126665,59.52921960798906,209.3449432574535
8,0.32,209.344943341239,8.31732431500868,-228.914936058996,-13.8696958697613,443.812250954987,0,0,0,0,-18.0238053639313,-23.7241022156808,-3.83800507823433e-05,0.0001408480727649,-2.16375080350891,0.0007844369352913,0.999999961712,2.2793032978323042e-06,5696.566060406584,5696.566058127281,59.5304850343553,209.34494325747616
9,0.36,209.344943345832,8.3174131266693,-228.874141089884,-13.8695479100579,443.771219219105,0,0,0,0,-18.0236121717922,-23.6832620101059,-3.83800457916872e-05,0.0001408480709906,-2.18422317747708,0.0009836027923068,0.999999959949,2.384312614704631e-06,5696.566060531566,5696.566058147254,59.53190985330176,209.34494325821015
10,0.4,209.344943350573,8.31751203048756,-228.83337338531,-13.8693829942615,443.730187699657,0,0,0,0,-18.0233968433513,-23.6424438887077,-3.8380040939589e-05,0.0001408480693153,-2.20468408034925,0.0012018126377632,0.999999958409,2.4760575940122786e-06,5696.566060660575,5696.566058184518,59.53349263971698,209.34494325957957
11,0.44,209.344943355523,8.31762096365156,-228.792632696502,-13.8692013147391,443.689156403112,0,0,0,0,-18.0231596305025,-23.6016476621777,-3.83800362206392e-05,0.0001408480677265,-2.22513223791014,0.0014377265625507,0.999999957038,2.5577527363089396e-06,5696.566060795271,5696.5660582375185,59.53523180831649,209.3449432615273
12,0.48,209.344943360724,8.31773985693621,-228.751918751921,-13.8690030812186,443.648125336927,0,0,0,0,-18.0229008078663,-23.5608731238259,-3.83800316299731e-05,0.0001408480662129,-2.24556637679391,0.0016899235714634,0.999999955793,2.6319578257595054e-06,5696.566060936798,5696.56605830484,59.5371256229031,209.34494326400133
13,0.52,209.344943366203,8.31786863514223,-228.711231258244,-13.8687885201908,443.607094509496,0,0,0,0,-18.0226206720024,-23.5201200503693,-3.83800271631602e-05,0.0001408480647638,-2.26598522456011,0.0019569166246106,0.999999954645,2.7003992767170387e-06,5696.5660610858895,5696.566058385491,59.539172209334914,209.34494326696517
14,0.56,209.344943371978,8.31800721756358,-228.670569901407,-13.8685578742827,443.566063930104,0,0,0,0,-18.0223195405854,-23.4793882027731,-3.83800228170091e-05,0.0001408480633707,-2.28638750977106,0.0022371678854294,0.999999953568,2.7646250014676568e-06,5696.566061243035,5696.56605847841,59.541369567387726,209.3449432703799
15,0.6,209.344943378053,8.31815551848082,-228.629934347718,-13.8683114016065,443.525033608897,0,0,0,0,-18.0219977515477,-23.4386773271608,-3.83800185889104e-05,0.000140848062026,-2.30677196207054,0.0025291039400853,0.999999952547,2.8255280680945865e-06,5696.566061408344,5696.5660585828155,59.543715583204346,209.34494327421672
16,0.64,209.344943384428,8.31831344767815,-228.58932424501,-13.8680493750918,443.484003556852,0,0,0,0,-18.0216556622007,-23.3979871557475,-3.83800144776014e-05,0.0001408480607231,-2.32713731226317,0.0028311307665082,0.999999951567,2.884001637156456e-06,5696.566061581817,5696.566058697816,59.546208044150156,209.3449432784429
17,0.68,209.344943391096,8.31848091098144,-228.548739223842,-13.8677720818039,443.44297378576,0,0,0,0,-18.0212936483383,-23.357317407829,-3.83800104815609e-05,0.0001408480594563,-2.34748229239453,0.0031416482489098,0.999999950618,2.940641194488556e-06,5696.566061763262,5696.566058822621,59.548844652172356,209.3449432830294
18,0.72,209.344943398044,8.31865781081487,-228.508178898726,-13.8674798222559,443.401944308211,0,0,0,0,-18.020912103331,-23.3166677907854,-3.83800065985249e-05,0.0001408480582208,-2.36780563583169,0.0034590640545596,0.999999949692,2.995923201901807e-06,5696.566061952327,5696.566058956404,59.55162303994812,209.34494328794585
19,0.76,209.344943405257,8.31884404677377,-228.467642869374,-13.867172909717,443.360915137574,0,0,0,0,-18.020511437216,-23.2760380011143,-3.83800028256154e-05,0.0001408480570125,-2.38810607734413,0.003781806713,0.999999948785,3.0500859636076325e-06,5696.566062148603,5696.566059098517,59.554540784609465,209.34494329316843
20,0.8,209.344943412718,8.3190395162109,-228.427130721963,-13.8668516695231,443.319886287994,0,0,0,0,-18.0200920757903,-23.2354277254705,-3.83799991596006e-05,0.0001408480558275,-2.40838235318479,0.0041083377629136,0.999999947891,3.1034869019116605e-06,5696.566062351627,5696.56605924814,59.557595424256974,209.34494329866695
21,0.84,209.344943420407,8.31924411483369,-228.386642030409,-13.8665164383926,443.278857774375,0,0,0,0,-18.0196544597105,-23.1948366417289,-3.83799955969719e-05,0.0001408480546618,-2.42863320117121,0.004437162857704,0.999999947008,3.1562452587639212e-06,5696.566062560855,5696.56605940461,59.56078447491611,209.34494330441714
22,0.88,209.344943428301,8.31945773730988,-228.346176357634,-13.866167563752,443.237829612377,0,0,0,0,-18.0191990436049,-23.154264420034,-3.83799921339791e-05,0.0001408480535111,-2.44885736076674,0.0047668417467717,0.999999946132,3.208599401940463e-06,5696.566062775662,5696.566059567063,59.56410544487398,209.34494331038718
23,0.92,209.34494343638,8.31968027787924,-228.305733256833,-13.865805403073,443.196801818406,0,0,0,0,-18.0187262952021,-23.1137107238619,-3.83799887673812e-05,0.0001408480523716,-2.46905357316165,0.0050959970747982,0.999999945262,3.260609051980591e-06,5696.566062995503,5696.566059734893,59.56755585184825,209.3449433165548
24,0.96,209.34494344462,8.31991163096954,-228.265312272732,-13.8654303232261,443.155774409609,0,0,0,0,-18.0182366944801,-23.0731752110694,-3.8379985493587e-05,0.000140848051239,-2.4892205813543,0.0054233219655387,0.999999944398,3.3122743348610428e-06,5696.566063219724,5696.56605990745,59.57113324055541,209.34494332289614
25,1.0,209.344943452998,8.32015169181495,-228.224912942826,-13.8650426998523,443.114747403862,0,0,0,0,-18.0177307328398,-23.0326575349338,-3.83799823088907e-05,0.0001408480501096,-2.50935713023219,0.0057475863791939,0.999999943536,3.3638336863589348e-06,5696.566063447702,5696.566060083868,59.57483519710713,209.3449433293794
26,1.04,209.344943461493,8.32040035707538,-228.184534798599,-13.8646429167547,443.073720819771,0,0,0,0,-18.0172089123048,-22.9921573451823,-3.83799792101636e-05,0.0001408480489804,-2.529461966653,0.0060676422530319,0.999999942677,3.4152276875071645e-06,5696.566063678862,5696.5660602636335,59.57865936777788,209.34494333598565
