# wp_state_index=73  write_every=1
step,time_au,px_mean,py_mean,pz_mean,px2_mean,py2_mean,pz2_mean,sigma_px2,sigma_py2,sigma_pz2,e_kin_ha,norm_check
0,0,1.97608208938e-11,1.83472291075e-11,2.9999999999,0.125000000014,0.125000000007,9.12500000013,0.125000000014,0.125000000007,0.125000000729,4.68750000008,29398320.8643
1,0.04,-1.76821865535e-09,-1.35358072198e-08,3.00000081816,0.125001946622,0.125001946623,9.12500695755,0.125001946622,0.125001946623,0.125002048566,4.6875054254,29398319.4281
2,0.08,-3.70352569068e-09,-2.75961897729e-08,3.00000171884,0.125007785565,0.125007785593,9.12501846499,0.125007785565,0.125007785593,0.125008151965,4.68751701807,29398318.073
3,0.12,-5.79252056511e-09,-4.21802930985e-08,3.00000271099,0.12501750881,0.125017508884,9.12503457374,0.12501750881,0.125017508884,0.125018307815,4.68753479571,29398316.7716
4,0.16,-8.04177972737e-09,-5.73061609786e-08,3.00000380465,0.125031102739,0.125031102879,9.12505533505,0.125031102739,0.125031102879,0.125032507118,4.68755877033,29398315.5058
5,0.2,-1.04581222485e-08,-7.29923942149e-08,3.00000501094,0.125048548218,0.125048548446,9.12508080096,0.125048548218,0.125048548446,0.125050735298,4.68758894881,29398314.2633
6,0.24,-1.30486277894e-08,-8.92581528636e-08,3.0000063421,0.125069820689,0.125069821029,9.12511102516,0.125069820689,0.125069821029,0.125072972498,4.68762533344,29398313.036
7,0.28,-1.58206404503e-08,-1.06123160603e-07,3.00000781167,0.125094890288,0.125094890765,9.12514606395,0.125094890288,0.125094890765,0.12509919385,4.6876679225,29398311.8187
8,0.32,-1.87817615976e-08,-1.23607716088e-07,3.00000943457,0.125123721983,0.125123722624,9.12518597725,0.125123721983,0.125123722623,0.125129369756,4.68771671093,29398310.6078
9,0.36,-2.19398408696e-08,-1.41732713168e-07,3.00001122723,0.125156275736,0.125156276568,9.12523082967,0.125156275736,0.125156276568,0.125163466167,4.68777169099,29398309.4011
10,0.4,-2.53029746339e-08,-1.60519665453e-07,3.00001320778,0.125192506689,0.125192507744,9.12528069175,0.125192506689,0.125192507744,0.125201444883,4.68783285309,29398308.197
11,0.44,-2.88795149001e-08,-1.79990729453e-07,3.00001539619,0.125232365369,0.125232366678,9.12533564126,0.125232365369,0.125232366678,0.12524326387,4.68790018665,29398306.9946
12,0.48,-3.26780843714e-08,-2.00168719812e-07,3.00001781445,0.125275797911,0.125275799509,9.12539576459,0.125275797911,0.125275799509,0.12528887759,4.687973681,29398305.7933
13,0.52,-3.67075870146e-08,-2.21077114536e-07,3.00002048675,0.125322746307,0.12532274823,9.12546115829,0.125322746307,0.12532274823,0.125338237366,4.68805332641,29398304.5926
14,0.56,-4.09772067023e-08,-2.42740053809e-07,3.00002343974,0.125373148661,0.125373150947,9.12553193077,0.125373148661,0.125373150947,0.125391291758,4.68813911519,29398303.3924
15,0.6,-4.54963935489e-08,-2.65182338479e-07,3.00002670273,0.125426939468,0.125426942157,9.12560820407,0.125426939468,0.125426942157,0.125447986969,4.68823104285,29398302.1924
16,0.64,-5.02748455653e-08,-2.88429433611e-07,3.00003030794,0.125484049903,0.125484053039,9.12569011584,0.125484049903,0.125484053039,0.125508267277,4.68832910939,29398300.9925
17,0.68,-5.53224967136e-08,-3.12507478666e-07,3.0000342908,0.125544408127,0.125544411754,9.12577782143,0.125544408127,0.125544411754,0.125572075484,4.68843332066,29398299.7928
18,0.72,-6.06495182453e-08,-3.37443301018e-07,3.00003869022,0.125607939593,0.12560794376,9.12587149621,0.125607939593,0.12560794376,0.125639353395,4.68854368978,29398298.593
19,0.76,-6.62663315278e-08,-3.63264426351e-07,3.00004354896,0.125674567373,0.125674572129,9.12597133797,0.125674567373,0.125674572129,0.125710042313,4.68866023874,29398297.3933
20,0.8,-7.21836238404e-08,-3.8999908032e-07,3.00004891394,0.12574421248,0.125744217879,9.12607756961,0.12574421248,0.125744217879,0.125784083562,4.68878299998,29398296.1935
21,0.84,-7.84123566498e-08,-4.17676179416e-07,3.00005483665,0.125816794204,0.125816800301,9.12619044196,0.125816794204,0.125816800301,0.125861419029,4.68891201823,29398294.9938
22,0.88,-8.4963763512e-08,-4.46325312843e-07,3.00006137356,0.125892230443,0.125892237297,9.12631023685,0.125892230443,0.125892237297,0.125941991726,4.68904735229,29398293.794
23,0.92,-9.18493418707e-08,-4.75976719747e-07,3.00006858655,0.125970438045,0.125970445717,9.12643727037,0.125970438045,0.125970445717,0.126025746377,4.68918907707,29398292.5942
24,0.96,-9.90808494085e-08,-5.06661266272e-07,3.00007654342,0.126051333138,0.126051341694,9.12657189641,0.126051333138,0.126051341693,0.126112630026,4.68933728562,29398291.3944
25,1,-1.06670313465e-07,-5.3841042586e-07,3.00008531841,0.12613483147,0.126134840977,9.12671451038,0.12613483147,0.126134840977,0.12620259266,4.68949209141,29398290.1946
26,1.04,-1.14630054223e-07,-5.71256263719e-07,3.00009499273,0.126220848741,0.12622085927,9.12686555328,0.126220848741,0.12622085927,0.126295587864,4.68965363065,29398288.9947
27,1.08,-1.22972713416e-07,-6.0523142422e-07,3.00010565523,0.12630930093,0.126309312557,9.127025516,0.12630930093,0.126309312556,0.126391573486,4.68982206474,29398287.7948
28,1.12,-1.31711276444e-07,-6.40369119233e-07,3.00011740296,0.126400104626,0.126400117428,9.12719494389,0.126400104626,0.126400117428,0.126490512339,4.68999758297,29398286.5949
29,1.16,-1.40859078296e-07,-6.76703114871e-07,3.00013034196,0.126493177342,0.126493191404,9.12737444169,0.126493177342,0.126493191403,0.12659237291,4.69018040522,29398285.395
30,1.2,-1.50429791448e-07,-7.14267714556e-07,3.00014458795,0.126588437838,0.126588453246,9.12756467872,0.126588437838,0.126588453245,0.126697130103,4.6903707849,29398284.1951
31,1.24,-1.60437402941e-07,-7.53097738226e-07,3.00016026713,0.126685806427,0.126685823272,9.12776639445,0.126685806427,0.126685823271,0.126804766,4.69056901208,29398282.9952
32,1.28,-1.70896190092e-07,-7.93228499132e-07,3.00017751704,0.12678520528,0.126785223658,9.12798040439,0.12678520528,0.126785223657,0.126915270646,4.69077541666,29398281.7953
33,1.32,-1.8182070153e-07,-8.34695782385e-07,3.00019648747,0.126886558727,0.126886578738,9.12820760626,0.126886558727,0.126886578737,0.127028642849,4.69099037186,29398280.5954
34,1.36,-1.93225743576e-07,-8.77535829754e-07,3.00021734139,0.126989793548,0.126989815298,9.1284489866,0.126989793548,0.126989815297,0.12714489101,4.69121429772,29398279.3955
35,1.4,-2.05126364546e-07,-9.21785333713e-07,3.000240256,0.127094839262,0.127094862861,9.12870562765,0.127094839262,0.12709486286,0.127264033952,4.69144766488,29398278.1956
36,1.44,-2.17537830025e-07,-9.67481439401e-07,3.00026542372,0.127201628406,0.127201653969,9.12897871453,0.127201628406,0.127201653968,0.127386101779,4.69169099845,29398276.9958
37,1.48,-2.30475584355e-07,-1.01466174683e-06,3.00029305337,0.127310096809,0.127310124457,9.12926954281,0.127310096809,0.127310124456,0.12751113672,4.69194488204,29398275.7959
38,1.52,-2.43955202354e-07,-1.06336430257e-06,3.00032337128,0.127420183861,0.127420213722,9.12957952624,0.127420183861,0.12742021372,0.127639193987,4.69220996191,29398274.5961
39,1.56,-2.57992341094e-07,-1.11362757066e-06,3.0003566225,0.127531832774,0.127531864979,9.12991020478,0.127531832774,0.127531864978,0.127770342605,4.69248695127,29398273.3964
40,1.6,-2.72602701296e-07,-1.16549037894e-06,3.000393072,0.127644990833,0.127645025521,9.13026325274,0.127644990833,0.12764502552,0.127904666223,4.69277663455,29398272.1966
41,1.64,-2.87802003615e-07,-1.21899184571e-06,3.00043300593,0.127759609642,0.127759646958,9.13064048698,0.127759609642,0.127759646957,0.128042263885,4.69307987179,29398270.9969
42,1.68,-3.03605976964e-07,-1.2741712993e-06,3.00047673286,0.12787564536,0.127875685455,9.13104387516,0.12787564536,0.127875685453,0.12818325073,4.69339760299,29398269.7973
43,1.72,-3.20030350934e-07,-1.33106820336e-06,3.00052458498,0.127993058923,0.127993101955,9.1314755437,0.127993058923,0.127993101953,0.128327758617,4.69373085229,29398268.5977
44,1.76,-3.3709084346e-07,-1.38972209463e-06,3.00057691935,0.12811181626,0.128111862394,9.13193778556,0.12811181626,0.128111862392,0.128475936626,4.69408073211,29398267.3981
45,1.8,-3.54803140842e-07,-1.45017252836e-06,3.00063411897,0.128231888494,0.128231937901,9.13243306732,0.128231888494,0.128231937899,0.128627951424,4.69444844686,29398266.1986
46,1.84,-3.73182872927e-07,-1.51245901973e-06,3.00069659383,0.128353252123,0.128353304983,9.13296403568,0.128353252123,0.12835330498,0.12878398743,4.69483529639,29398264.9991
47,1.88,-3.92245591227e-07,-1.57662096867e-06,3.00076478184,0.128475889195,0.128475945692,9.13353352272,0.128475889195,0.12847594569,0.128944246764,4.6952426788,29398263.7997
48,1.92,-4.12006755365e-07,-1.64269756427e-06,3.00083914948,0.128599787453,0.128599847782,9.13414454992,0.128599787453,0.12859984778,0.129108948893,4.69567209258,29398262.6003
49,1.96,-4.32481726959e-07,-1.71072767475e-06,3.00092019228,0.128724940469,0.128725004832,9.13480033039,0.128724940469,0.128725004829,0.129278329951,4.69612513784,29398261.401
50,2,-4.53685763818e-07,-1.78074973661e-06,3.00100843504,0.12885134775,0.128851416356,9.13550426885,0.128851347749,0.128851416353,0.129452641643,4.69660351648,29398260.2017
51,2.04,-4.75634001471e-07,-1.85280165285e-06,3.0011044316,0.12897901482,0.128979087887,9.13625995908,0.12897901482,0.128979087884,0.129632149677,4.69710903089,29398259.0024
52,2.08,-4.98341411855e-07,-1.92692070158e-06,3.00120876423,0.12910795328,0.129108031035,9.13707117818,0.129107953279,0.129108031031,0.129817131662,4.69764358125,29398257.8032
53,2.12,-5.21822733528e-07,-2.00314344427e-06,3.00132204251,0.129238180829,0.129238263507,9.13794187726,0.129238180828,0.129238263503,0.130007874403,4.6982091608,29398256.604
54,2.16,-5.46092377269e-07,-2.08150562017e-06,3.00144490162,0.129369721264,0.129369809111,9.13887616797,0.129369721264,0.129369809106,0.130204670532,4.69880784917,29398255.4048
55,2.2,-5.71164316704e-07,-2.16204201828e-06,3.00157799999,0.129502604444,0.129502697713,9.13987830448,0.129502604443,0.129502697709,0.130407814449,4.69944180332,29398254.2056
56,2.24,-5.97051977776e-07,-2.24478632903e-06,3.00172201627,0.129636866212,0.129636965169,9.14095266049,0.129636866211,0.129636965164,0.13061759753,4.70011324594,29398253.0064
57,2.28,-6.23768139875e-07,-2.32977098789e-06,3.00187764546,0.129772548292,0.129772653211,9.1421037009,0.129772548291,0.129772653206,0.130834302616,4.7008244512,29398251.8071
58,2.32,-6.51324855638e-07,-2.41702702487e-06,3.00204559428,0.129909698138,0.129909809306,9.14333594795,0.129909698137,0.1299098093,0.1310581978,4.7015777277,29398250.6078
59,2.36,-6.79733392907e-07,-2.50658392803e-06,3.00222657576,0.130048368749,0.130048486463,9.14465394178,0.130048368749,0.130048486457,0.131289529574,4.7023753985,29398249.4085
60,2.4,-7.09004195397e-07,-2.59846951879e-06,3.00242130289,0.130188618443,0.13018874301,9.14606219549,0.130188618442,0.130188743003,0.13152851544,4.70321977847,29398248.2091
61,2.44,-7.39146858689e-07,-2.69270982973e-06,3.00263048156,0.130330510584,0.130330642325,9.14756514491,0.130330510583,0.130330642318,0.131775336093,4.70411314891,29398247.0096
62,2.48,-7.7017011586e-07,-2.78932897332e-06,3.00285480273,0.130474113278,0.130474252526,9.14916709365,0.130474113277,0.130474252518,0.132030127358,4.70505772973,29398245.81
63,2.52,-8.02081829478e-07,-2.88834899484e-06,3.00309493388,0.130619499018,0.130619646117,9.15087215398,0.130619499018,0.130619646109,0.132292972059,4.70605564956,29398244.6102
64,2.56,-8.34888985142e-07,-2.98978970848e-06,3.00335150996,0.130766744295,0.130766899603,9.15268418445,0.130766744294,0.130766899594,0.132563892045,4.70710891418,29398243.4103
65,2.6,-8.68597682981e-07,-3.09366852112e-06,3.00362512387,0.130915929162,0.13091609305,9.15460672532,0.130915929161,0.130916093041,0.132842840605,4.70821937377,29398242.2102
66,2.64,-9.03213122734e-07,-3.20000024893e-06,3.00391631662,0.131067136768,0.131067309622,9.15664293279,0.131067136767,0.131067309611,0.133129695514,4.70938868959,29398241.01
67,2.68,-9.38739580697e-07,-3.30879693216e-06,3.00422556753,0.13122045285,0.131220635067,9.15879551355,0.131220452849,0.131220635056,0.133424252948,4.71061830073,29398239.8095
68,2.72,-9.7518037828e-07,-3.42006765032e-06,3.00455328433,0.131375965187,0.131376157182,9.16106666091,0.131375965187,0.13137615717,0.133726222514,4.71190939164,29398238.6087
69,2.76,-1.01253784809e-06,-3.53381834093e-06,3.00489979371,0.131533763036,0.131533965234,9.16345799385,0.131533763035,0.131533965222,0.134035223593,4.71326286106,29398237.4077
70,2.8,-1.05081330449e-06,-3.65005162354e-06,3.00526533228,0.131693936521,0.131694149365,9.16597050059,0.13169393652,0.131694149351,0.134350783194,4.71467929324,29398236.2064
71,2.84,-1.09000702683e-06,-3.76876663354e-06,3.00565003824,0.131856576014,0.13185679996,9.1686044878,0.131856576013,0.131856799946,0.134672335452,4.71615893189,29398235.0047
72,2.88,-1.13011826125e-06,-3.8899588679e-06,3.00605394398,0.132021771486,0.132022007005,9.17135953698,0.132021771485,0.13202200699,0.13499922289,4.71770165773,29398233.8027
73,2.92,-1.1711452434e-06,-4.01362004543e-06,3.0064769697,0.132189611844,0.132189859422,9.17423446882,0.132189611843,0.132189859406,0.135330699492,4.71930697004,29398232.6003
74,2.96,-1.21308524034e-06,-4.1397379824e-06,3.00691891829,0.132360184261,0.132360444399,9.17722731679,0.13236018426,0.132360444382,0.135665935601,4.72097397272,29398231.3975
75,3,-1.25593460794e-06,-4.26829648293e-06,3.00737947156,0.132533573494,0.132533846707,9.18033531052,0.132533573492,0.132533846689,0.136004024583,4.72270136536,29398230.1943
76,3.04,-1.29968885946e-06,-4.39927524443e-06,3.00785818788,0.132709861204,0.132710148022,9.18355486955,0.132709861202,0.132710148003,0.136343991186,4.72448743939,29398228.9907
77,3.08,-1.34434274163e-06,-4.53264977814e-06,3.00835450145,0.132889125285,0.132889426253,9.18688160781,0.132889125283,0.132889426232,0.136684801426,4.72633007967,29398227.7865
