step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
2897,115.88,-219.783367697,-5.95024364195e-11,-0.00037940523239,434.623206239,0.000380495314789,-214.717785708,-219.783747102,434.623586734,3.96525857512e-05,99.8211189448
2898,115.92,-219.774572843,-5.93657964876e-11,-0.000379176634509,434.615561079,0.000380291725387,-214.717785708,-219.77495202,434.61594137,3.96140283217e-05,99.8209505536
2899,115.96,-219.765766792,-5.92296373273e-11,-0.000378949091468,434.607914684,0.0003800890547,-214.717785708,-219.766145741,434.608294773,3.95755489072e-05,99.8207822863
2900,116,-219.756950148,-5.90939559488e-11,-0.000378722595746,434.600267357,0.000379887293729,-214.717785708,-219.757328871,434.600647244,3.95371469598e-05,99.820614144
2901,116.04,-219.748123516,-5.89587493876e-11,-0.000378497139866,434.592619397,0.000379686433531,-214.717785708,-219.748502013,434.592999083,3.94988219358e-05,99.8204461279
2902,116.08,-219.739287502,-5.88240147046e-11,-0.000378272716398,434.584971102,0.000379486465219,-214.717785708,-219.739665774,434.585350589,3.94605732952e-05,99.820278239
2903,116.12,-219.730442712,-5.86897489861e-11,-0.000378049317952,434.57732277,0.00037928737996,-214.717785708,-219.730820761,434.577702057,3.94224005023e-05,99.8201104786
2904,116.16,-219.721589754,-5.85559493442e-11,-0.000377826937188,434.569674694,0.000379089168978,-214.717785708,-219.721967581,434.570053783,3.93843030251e-05,99.8199428478
2905,116.2,-219.712729235,-5.84226129165e-11,-0.000377605566809,434.562027168,0.000378891823555,-214.717785708,-219.713106841,434.56240606,3.93462803358e-05,99.8197753477
2906,116.24,-219.703861765,-5.82897368661e-11,-0.000377385199563,434.554380485,0.000378695335026,-214.717785708,-219.70423915,434.55475918,3.93083319106e-05,99.8196079794
2907,116.28,-219.694987952,-5.81573183819e-11,-0.000377165828246,434.546734932,0.000378499694788,-214.717785708,-219.695365118,434.547113432,3.92704572299e-05,99.8194407442
2908,116.32,-219.686108405,-5.80253546787e-11,-0.000376947445699,434.539090801,0.000378304894294,-214.717785708,-219.686485353,434.539469106,3.92326557781e-05,99.8192736432
2909,116.36,-219.677223736,-5.78938429968e-11,-0.000376730044811,434.531448376,0.000378110925054,-214.717785708,-219.677600466,434.531826487,3.91949270435e-05,99.8191066775
2910,116.4,-219.668334554,-5.77627806025e-11,-0.000376513618516,434.523807944,0.000377917778638,-214.717785708,-219.668711068,434.524185862,3.91572705187e-05,99.8189398483
2911,116.44,-219.65944147,-5.76321647877e-11,-0.000376298159798,434.51616979,0.000377725446676,-214.717785708,-219.659817768,434.516547515,3.91196857004e-05,99.8187731568
2912,116.48,-219.650545094,-5.75019928702e-11,-0.000376083661684,434.508534195,0.000377533920854,-214.717785708,-219.650921178,434.508911729,3.90821720895e-05,99.818606604
2913,116.52,-219.641646039,-5.73722621933e-11,-0.000375870117252,434.500901441,0.00037734319292,-214.717785708,-219.642021909,434.501278784,3.90447291908e-05,99.8184401913
2914,116.56,-219.632744916,-5.72429701265e-11,-0.000375657519627,434.493271808,0.000377153254681,-214.717785708,-219.633120573,434.493648961,3.90073565134e-05,99.8182739197
2915,116.6,-219.623842335,-5.71141140646e-11,-0.000375445861981,434.485645575,0.000376964098004,-214.717785708,-219.624217781,434.486022539,3.89700535705e-05,99.8181077904
2916,116.64,-219.614938909,-5.69856914283e-11,-0.000375235137534,434.478023019,0.000376775714816,-214.717785708,-219.615314145,434.478399795,3.89328198794e-05,99.8179418045
2917,116.68,-219.60603525,-5.68576996639e-11,-0.000375025339553,434.470404418,0.000376588097104,-214.717785708,-219.606410276,434.470781006,3.88956549615e-05,99.8177759633
2918,116.72,-219.597131969,-5.6730136243e-11,-0.000374816461354,434.462790045,0.000376401236916,-214.717785708,-219.597506785,434.463166446,3.88585583424e-05,99.8176102679
2919,116.76,-219.588229677,-5.66029986628e-11,-0.0003746084963,434.455180175,0.000376215126359,-214.717785708,-219.588604286,434.45555639,3.88215295518e-05,99.8174447193
2920,116.8,-219.579328986,-5.64762844459e-11,-0.000374401437802,434.447575081,0.000376029757601,-214.717785708,-219.579703388,434.447951111,3.87845681234e-05,99.8172793189
2921,116.84,-219.570430508,-5.63499911401e-11,-0.000374195279319,434.439975034,0.000375845122872,-214.717785708,-219.570804703,434.44035088,3.87476735953e-05,99.8171140677
2922,116.88,-219.561534852,-5.62241163182e-11,-0.000373990014357,434.432380307,0.000375661214459,-214.717785708,-219.561908842,434.432755968,3.87108455092e-05,99.816948967
2923,116.92,-219.55264263,-5.60986575782e-11,-0.00037378563647,434.424791168,0.000375478024713,-214.717785708,-219.553016416,434.425166646,3.86740834114e-05,99.8167840177
2924,116.96,-219.543754453,-5.59736125426e-11,-0.000373582139257,434.417207886,0.000375295546043,-214.717785708,-219.544128035,434.417583182,3.86373868518e-05,99.8166192212
2925,117,-219.534870929,-5.58489788589e-11,-0.000373379516366,434.40963073,0.000375113770917,-214.717785708,-219.535244309,434.410005844,3.86007553846e-05,99.8164545785
2926,117.04,-219.525992669,-5.57247541989e-11,-0.000373177761492,434.402059967,0.000374932691867,-214.717785708,-219.526365847,434.4024349,3.85641885679e-05,99.8162900909
2927,117.08,-219.517120282,-5.56009362589e-11,-0.000372976868375,434.394495863,0.00037475230148,-214.717785708,-219.517493259,434.394870616,3.85276859639e-05,99.8161257593
2928,117.12,-219.508254376,-5.5477522759e-11,-0.000372776830802,434.386938685,0.000374572592406,-214.717785708,-219.508627153,434.387313257,3.84912471387e-05,99.815961585
2929,117.16,-219.499395559,-5.53545114435e-11,-0.000372577642605,434.379388696,0.000374393557352,-214.717785708,-219.499768136,434.379763089,3.84548716624e-05,99.8157975691
