step,time_au,energy_total,energy_kinetic,energy_hartree,energy_xc,energy_external,energy_nonlocal,energy_ion,energy_ion_kinetic,energy_exact_exchange,energy_nvxc,energy_eigenvalues,current_x,current_y,current_z,density_l2
0,0,210.351012063054,9.33781561258066,-229.30879291172,-13.8185229615966,444.14051232379,0,0,0,0,-17.9571159372858,-23.0963738243536,-3.83782124942683e-05,0.000140849584348202,-2.49971199716098,0
1,0.04,210.351014750937,9.33783053848187,-229.257386061511,-13.8185306508761,444.089100924842,0,0,0,0,-17.9571258995162,-23.0449665489496,-3.83782060209876e-05,0.000140849580959068,-2.5202116042014,2.61210669524474e-06
2,0.08,210.351017118026,9.33785093297067,-229.206007820426,-13.8185364597895,444.037710465271,0,0,0,0,-17.9571334107798,-22.9935876349572,-3.83781997717989e-05,0.000140849577802321,-2.54071297250542,1.04385745512047e-05
3,0.12,210.351019196386,9.33787687988583,-229.154654870718,-13.8185404266179,443.986337613836,0,0,0,0,-17.9571385206828,-22.9422337436827,-3.8378193737385e-05,0.000140849574858898,-2.56121434039791,2.34499335223376e-05
4,0.16,210.351021015624,9.33790846368277,-229.103324393108,-13.8185425945099,443.934979539559,0,0,0,0,-17.9571412851585,-22.8909020388276,-3.83781879083368e-05,0.000140849572109478,-2.58171401842277,4.15972951192717e-05
5,0.2,210.351022603041,9.33794576972977,-229.052013998044,-13.8185430113964,443.883633842751,0,0,0,0,-17.957141766356,-22.8395901175697,-3.837818227522e-05,0.000140849569535061,-2.60221037960356,6.48126706486157e-05
6,0.24,210.351023983756,9.3379888845957,-229.000721665579,-13.8185417299499,443.832298494689,0,0,0,0,-17.9571400325875,-22.7882959503156,-3.83781768285404e-05,0.000140849567117031,-2.62270185091462,9.30094127221389e-05
7,0.28,210.351025180795,9.33803789633328,-228.949445692914,-13.8185388075815,443.780971784958,0,0,0,0,-17.9571361583242,-22.7370178281496,-3.83781715584087e-05,0.000140849564837108,-2.64318690582005,0.000126082775628231
8,0.32,210.351026215177,9.33809289478399,-228.898184648718,-13.8185343064731,443.729652275584,0,0,0,0,-17.9571302242384,-22.6857543170761,-3.83781664556867e-05,0.000140849562678955,-2.66366405776344,0.000163910589015484
9,0.36,210.351027106022,9.33815397192059,-228.846937333468,-13.818528293639,443.678338761209,0,0,0,0,-17.9571223172828,-22.6345042182742,-3.8378161511633e-05,0.000140849560626453,-2.68413185450687,0.000206354038270128
10,0.4,210.351027870664,9.33822122222184,-228.795702745121,-13.8185208410134,443.627030234577,0,0,0,0,-17.9571125308054,-22.5832665336774,-3.83781567186429e-05,0.000140849558665435,-2.70458887322469,0.000253258543995814
11,0.44,210.351028524763,9.33829474306562,-228.744480049442,-13.8185120255618,443.575725856702,0,0,0,0,-17.9571009646934,-22.5320404362271,-3.83781520704472e-05,0.000140849556782435,-2.72503371626379,0.000304454732140816
12,0.48,210.351029082407,9.33837463513419,-228.693268554452,-13.8185019294122,443.524424931136,0,0,0,0,-17.9570877255444,-22.4808252442531,-3.83781475612224e-05,0.000140849554965789,-2.74546500748953,0.000359759485571756
13,0.52,210.351029556207,9.3384610028369,-228.642067688477,-13.8184906400042,443.473126881851,0,0,0,0,-17.9570729268601,-22.4296203994695,-3.83781431859915e-05,0.00014084955320527,-2.76588138914641,0.000418977067266652
14,0.56,210.351029957407,9.33855395475798,-228.590876981373,-13.818478250255,443.421831234277,0,0,0,0,-17.9570566892627,-22.3784254481458,-3.83781389408735e-05,0.000140849551491551,-2.78628151917181,0.000481900304795343
