# wp_state_index=73  write_every=1
step,time_au,x_mean,y_mean,z_mean,x2_mean,y2_mean,z2_mean,sigma_x2,sigma_y2,sigma_z2,norm_check,x_mean_circ,y_mean_circ,z_mean_circ,R_x,R_y,R_z,sigma_x_circ,sigma_y_circ,sigma_z_circ
0,0,-2.97521432491e-09,1.71327817211e-09,-23.9999999711,4.50000011243,4.50000010828,580.499999425,4.50000011243,4.50000010828,4.50000081164,1,-2.58580658353e-09,4.85963436855e-10,-23.9999999868,0.930055162223,0.930055162176,0.987780947957,2.12132035969,2.12132036042,2.12132047374
1,0.04,-3.00586641952e-09,1.45925936796e-09,-23.8999433635,4.50010284947,4.50010284558,575.706995468,4.50010284947,4.50010284558,4.49970268994,0.999992584379,-2.61687526121e-09,2.26173543948e-10,-23.8999457817,0.930053613412,0.930053613361,0.987781733027,2.12134471858,2.12134471938,2.12125190499
2,0.08,-3.11044957688e-09,6.72118732466e-10,-23.7998957104,4.50041106564,4.50041106246,570.934713354,4.50041106564,4.50041106246,4.49967752665,0.999986423658,-2.72213478406e-09,-5.77029578137e-10,-23.7999002031,0.930048966924,0.930048966862,0.987781783495,2.12141779472,2.12141779569,2.12124749703
3,0.12,-3.2940522461e-09,-6.64233013353e-10,-23.6998556264,4.50092477492,4.50092477293,566.183073539,4.50092477492,4.50092477293,4.49991682498,0.99998131757,-2.90672904446e-09,-1.94014221246e-09,-23.6998619096,0.9300412226,0.93004122252,0.987781122016,2.12153958627,2.12153958752,2.12130527147
4,0.16,-3.56194401406e-09,-2.56630473489e-09,-23.5998219156,4.50164399246,4.50164399213,561.45200764,4.50164399246,4.50164399213,4.50041318978,0.999977095638,-3.17598608758e-09,-3.88009666488e-09,-23.5998297448,0.930030380296,0.930030380191,0.987779768302,2.12171008835,2.12171009,2.1214235019
5,0.2,-3.91958101529e-09,-5.05103539784e-09,-23.499793548,4.50256873466,4.5025687365,556.741457005,4.50256873466,4.5025687365,4.50116020665,0.999973613104,-3.53542309822e-09,-6.41427304588e-09,-23.4998027135,0.930016439879,0.93001643974,0.987777739443,2.121929293,2.12192929518,2.12160068603
6,0.24,-4.37261023106e-09,-8.13580379118e-09,-23.3997696379,4.50369901927,4.50369902378,552.051371441,4.50369901927,4.50369902378,4.50215233225,0.999970747358,-3.99075178839e-09,-9.56050961252e-09,-23.3997799612,0.929999401225,0.929999401046,0.987775050202,2.12219718927,2.12219719209,2.12183552031
7,0.28,-4.92687437281e-09,-1.18384380333e-08,-23.2997494256,4.50503486543,4.50503487316,547.381708091,4.50503486543,4.50503487316,4.50338479492,0.999968394817,-4.54788355946e-09,-1.33371138369e-08,-23.2997607552,0.929979264221,0.929979263993,0.987771713283,2.12251376318,2.12251376676,2.12212687698
8,0.32,-5.58841660238e-09,-1.61772257899e-08,-23.1997322599,4.50657629381,4.50657630528,542.732430438,4.50657629381,4.50657630528,4.50485350501,0.999966468198,-5.21293432678e-09,-1.77628731793e-08,-23.1997444687,0.929956028761,0.929956028476,0.987767739569,2.12287899777,2.12287900225,2.12247378327
9,0.36,-6.36348618725e-09,-2.11709250773e-08,-23.0997175839,4.5083233266,4.50832334238,538.103507432,4.5083233266,4.50832334238,4.50655497411,0.999964894154,-5.99222978803e-09,-2.28570660567e-08,-23.0997305659,0.929929694747,0.929929694396,0.98776313834,2.12329287313,2.12329287865,2.12287540265
