# wp_state_index=73  write_every=1
step,time_au,x_mean,y_mean,z_mean,x2_mean,y2_mean,z2_mean,sigma_x2,sigma_y2,sigma_z2,norm_check,x_mean_circ,y_mean_circ,z_mean_circ,R_x,R_y,R_z,sigma_x_circ,sigma_y_circ,sigma_z_circ
1933,77.32,-0.268518890486,-0.265592013048,20.1065762715,104.370070258,104.369638021,538.986366709,104.297967863,104.299098904,134.711957347,1.36764793856e-08,-0.142379075556,-0.0296926040338,22.1154756211,0.010412125225,0.0104052682064,0.768941397266,16.8311310876,16.8323455564,9.80658013955
1934,77.36,-0.268481744581,-0.265532977778,20.1033535982,104.354627773,104.35420846,538.766712183,104.282545326,104.283700697,134.62188629,1.36223297325e-08,-0.14164557982,-0.0293996188849,22.1113584712,0.0105033119128,0.0104962884868,0.768895020401,16.8150480589,16.816282386,9.80770566898
1935,77.4,-0.268402962206,-0.265432188369,20.0999822777,104.339065827,104.338659574,538.53409585,104.267025677,104.268205328,134.524808287,1.35683264257e-08,-0.140924880935,-0.0291109658602,22.1069279561,0.0105947054675,0.0105875144272,0.768849378127,16.7990527922,16.8003068733,9.80881331065
1936,77.44,-0.268280818526,-0.265287884083,20.0964460469,104.323355623,104.322962509,538.288876833,104.251381026,104.252584847,134.421733118,1.35144865348e-08,-0.140215879522,-0.028826389589,22.1021951157,0.0106863556708,0.0106789959711,0.768804791735,16.7831354633,16.7844091624,9.80989527099
1937,77.48,-0.268113610354,-0.265098352827,20.0927297483,104.307469615,104.307089676,538.031505254,104.235584707,104.236812539,134.313716514,1.34608278e-08,-0.139517637928,-0.0285456714252,22.097172771,0.0107783012593,0.0107707720109,0.768761520559,16.7672884314,16.7685815841,9.81094526142
1938,77.52,-0.267899662314,-0.264861948733,20.0888187038,104.291381786,104.291015043,537.762501282,104.219611557,104.220863191,134.201864367,1.34073681013e-08,-0.13882938312,-0.0282686292746,22.0918750315,0.0108705692928,0.0108628697531,0.768719764053,16.7515062656,16.7528186825,9.81195844735
1939,77.56,-0.267637342223,-0.264577105311,20.0846985592,104.275067925,104.274714415,537.482434247,104.203438178,104.204713371,134.087318035,1.33541249829e-08,-0.138150507775,-0.027995117049,22.0863168193,0.010963174657,0.0109553042185,0.768679664983,16.7357857477,16.7371172181,9.81293137034
1940,77.6,-0.267325084474,-0.264242344118,20.0803556122,104.258505899,104.258165696,537.191902554,104.187043198,104.188341679,133.971221042,1.33011152416e-08,-0.137480569338,-0.0277250237182,22.0805134272,0.0110561197155,0.011048077891,0.768641313594,16.7201258485,16.721476145,9.81386184662
1941,77.64,-0.266961418642,-0.26385628275,20.0757771975,104.241675908,104.241349137,536.891515265,104.170407509,104.171728999,133.85468518,1.32483545918e-08,-0.13681928691,-0.0274582719433,22.074480121,0.01114939412,0.0111411805262,0.768604752585,16.7045276788,16.7058965618,9.81474884601
1942,77.68,-0.266545000274,-0.263417646917,20.0709516834,104.224560723,104.224247563,536.581875982,104.153514486,104.154858706,133.738774506,1.31958574128e-08,-0.136166535894,-0.0271948162896,22.0682317989,0.0112429747883,0.0112345891268,0.768569982718,16.688994414,16.6903816369,9.81559235564
1943,77.72,-0.266074641327,-0.262925288525,20.0658680492,104.207145892,104.206846563,536.26356937,104.136350177,104.137716856,133.624508804,1.31436365819e-08,-0.135522340415,-0.026934641035,22.0617827159,0.0113368260497,0.0113282680866,0.768536968859,16.6735311941,16.6749365081,9.81639323314
1944,77.76,-0.265549338317,-0.262378208373,20.0605154634,104.189419912,104.189134661,535.937150425,104.118903461,104.120292337,133.512869766,1.30917033951e-08,-0.134886863622,-0.0266777576021,22.0551462807,0.0114308999587,0.0114221695033,0.768505646261,16.6581450005,16.6595681598,9.81715305401
1945,77.8,-0.264968296712,-0.261775581545,20.0548833435,104.171374362,104.171103437,535.603136569,104.101166164,104.102576982,133.404790647,1.30400675719e-08,-0.134260396028,-0.0264242016558,22.0483349271,0.0115251367702,0.0115162336529,0.768475926876,16.6428445112,16.6442852784,9.81787395855
1946,77.84,-0.264330950282,-0.261116785299,20.0489619927,104.153003986,104.152747617,535.262002816,104.083133134,104.084565641,133.301125832,1.29887373382e-08,-0.133643342124,-0.026174029919,22.0413600618,0.0116194655716,0.0116103896215,0.768447705472,16.6276399387,16.629098089,9.8185585033
1947,77.88,-0.263636974066,-0.260401429167,20.0427434277,104.134306727,104.13406511,534.914180239,104.064802273,104.066256206,133.202616129,1.29377195798e-08,-0.133036205493,-0.0259273167593,22.0342320857,0.0117138050611,0.0117045560842,0.768420865366,16.6125428498,16.6140181764,9.81920952202
1948,77.92,-0.262886290133,-0.259629383345,20.0362218836,104.115283716,104.115057012,534.560057813,104.046174514,104.047649596,133.109870444,1.28870200547e-08,-0.132439572737,-0.0256841506073,22.0269604836,0.0118080644666,0.0117986422249,0.768395283584,16.597565974,16.5990582917,9.81983000052
1949,77.96,-0.262079066763,-0.258800797415,20.0293938218,104.095939201,104.095727549,534.199987299,104.027253764,104.028749696,133.023370432,1.28366436514e-08,-0.131854096496,-0.0254446302651,22.0195539744,0.0119021445931,0.0118925487846,0.768370835306,16.5827229986,16.584232148,9.8204229689
1950,78,-0.261215714009,-0.25791610277,20.0222577633,104.076280441,104.07608397,533.834290578,104.008046792,104.009563254,132.943484639,1.27865946776e-08,-0.131280477866,-0.0252088611692,22.012020712,0.0119959389925,0.0119861692335,0.76834739746,16.568028356,16.5695542067,9.82099141436
1951,78.04,-0.260296879961,-0.256975999562,20.0148144417,104.056317543,104.056136396,533.463268818,103.988563078,103.990099731,132.870471681,1.27368771662e-08,-0.130719448524,-0.0249769516667,22.004368524,0.0120893352446,0.0120793910529,0.768324851379,16.5534970033,16.5550394569,9.82153821688
1952,78.08,-0.259323451084,-0.255981437174,20.0070674575,104.036063272,104.035897617,533.08721303,103.968814619,103.970371121,132.80446478,1.26874951813e-08,-0.130171752829,-0.024749009365,21.9966051771,0.0121822163408,0.012172097122,0.768303084466,16.539144197,16.5407031892,9.82206610883
1953,78.12,-0.258296556992,-0.254933599043,19.999024102,104.015532819,104.015382859,532.706415724,103.948815708,103.950391719,132.74545069,1.26384531132e-08,-0.129638130185,-0.0245251376063,21.9887386557,0.0122744621599,0.0122641671956,0.76828199085,16.5249852639,16.5265607666,9.82257765916
1954,78.16,-0.257217577176,-0.253833897066,19.9906957972,103.994743546,103.994609515,532.321183342,103.928582664,103.930177868,132.693264888,1.25897559469e-08,-0.129119297893,-0.0243054321191,21.9807774395,0.012365951025,0.0123554794634,0.768261471067,16.5110353713,16.512627393,9.82307528114
1955,78.2,-0.256088146205,-0.252683972941,19.9820978829,103.973714697,103.973596856,531.931848861,103.908133559,103.909747666,132.647613057,1.25414094951e-08,-0.128615934731,-0.0240899778919,21.9727307689,0.0124565613267,0.0124459121758,0.768241430829,16.4973092963,16.4989178834,9.82356126224
1956,78.24,-0.254910154552,-0.251485700119,19.9732490245,103.952467089,103.952365713,531.538783801,103.887487902,103.889120655,132.608107205,1.24934205857e-08,-0.128128665479,-0.0238788463144,21.9646088864,0.0125461731969,0.0125353453207,0.768221778987,16.4838211988,16.4854464352,9.82403781362
1957,78.28,-0.253685742751,-0.250241181785,19.9641707819,103.931022779,103.93093815,531.142408937,103.866666323,103.868317501,132.574293927,1.24457971974e-08,-0.12765804658,-0.0236720926273,21.9564232429,0.0126346702121,0.0126236623286,0.768202424802,16.470584399,16.4722264055,9.8245071362
1958,78.32,-0.252417286657,-0.248952743813,19.9548876255,103.909404726,103.909337118,530.743203294,103.84569024,103.847359649,132.545663148,1.23985485404e-08,-0.127204553141,-0.0234697537164,21.9481866624,0.0127219410989,0.0127107517815,0.768183274707,16.4576111636,16.4592700969,9.82497149936
1959,78.36,-0.251107372262,-0.247622922968,19.9454271331,103.887636428,103.887586105,530.341711342,103.824581516,103.826268993,132.521647819,1.23516850813e-08,-0.12676856744,-0.0232718462846,21.9399134581,0.0128078814128,0.0127965090937,0.76816422871,16.444912503,16.4465885542,9.825433328
1960,78.4,-0.24975876095,-0.246254449295,19.9358198051,103.865741567,103.865708786,529.938548318,103.803362128,103.805067532,132.501637017,1.23052185115e-08,-0.12635036911,-0.0230783654273,21.9316194962,0.0128923951571,0.0128808381333,0.768145176641,16.4324979853,16.4341913774,9.8258952936
1961,78.44,-0.248374349091,-0.24485022019,19.9260981941,103.843743647,103.843728672,529.53440348,103.782053829,103.783777042,132.485014239,1.22591616625e-08,-0.125950127157,-0.0228892836365,21.9233222043,0.0129753963028,0.0129636527452,0.768125994424,16.4203755687,16.422086554,9.82636040461
1962,78.48,-0.246957127251,-0.243413264355,19.9162956281,103.821665656,103.821668775,529.130040886,103.760677833,103.762418758,132.47120934,1.2213528373e-08,-0.125567893953,-0.0227045502483,21.9150405237,0.013056810174,0.013044878138,0.76810654055,16.4085514577,16.4102803153,9.82683209186
1963,78.52,-0.245510142996,-0.241946696884,19.9064451446,103.79952974,103.799551277,528.726297411,103.739254509,103.741013072,132.459739117,1.21683333108e-08,-0.125203601342,-0.0225240913497,21.9067948073,0.0131365746541,0.0131244520932,0.768086652933,16.3970299886,16.39877702,9.82731428479
1964,78.56,-0.244036468719,-0.240453670179,19.8965790118,103.777356903,103.777397228,528.324077969,103.717803105,103.719579261,132.450221598,1.21235917577e-08,-0.124857058977,-0.0223478101471,21.8986066644,0.0132146411757,0.013202325957,0.768066146307,16.3858135453,16.3875790714,9.82781147443
1965,78.6,-0.242539173975,-0.238937327043,19.8867286253,103.75516675,103.75522628,527.924348276,103.696341499,103.698135233,132.442372861,1.20793193634e-08,-0.12452795497,-0.0221755877946,21.890498757,0.0132909754563,0.0132784653782,0.768044810303,16.3749025125,16.3766868689,9.82832875998
1966,78.64,-0.241021300762,-0.237400760712,19.8769242148,103.732977258,103.733056445,527.528125503,103.674885991,103.676697324,132.436009261,1.20355318739e-08,-0.124215858911,-0.0220072846691,21.8824945504,0.0133655579507,0.0133528507621,0.768022408306,16.3642952656,16.3660987983,9.82887187643
1967,78.68,-0.239485839018,-0.235846982232,19.8671940382,103.710804593,103.710903916,527.136467011,103.653451126,103.655280117,132.431068058,1.19922448412e-08,-0.123920227245,-0.0218427420707,21.8746180241,0.0134383839966,0.013425477418,0.767998677165,16.3539882018,16.3558112628,9.82944720133
1968,78.72,-0.23793569853,-0.234278891209,19.8575633308,103.688662972,103.688782917,526.750457127,103.632049576,103.633896318,132.427635691,1.194947332e-08,-0.12364041099,-0.0216817843205,21.8668933476,0.013509463639,0.0134963553846,0.767973327817,16.3439758111,16.3458187532,9.83006173961
1969,78.76,-0.236373673887,-0.232699244848,19.8480536235,103.666564568,103.666705616,526.371191972,103.610692055,103.612556678,132.42595933,1.19072315577e-08,-0.123375665723,-0.0215242212176,21.8593445278,0.0135788211271,0.0135655089274,0.767946046835,16.3342507875,16.3361139601,9.83072308575
