step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
0,0,-217.076138318,0.077262689848,-12.3099172918,431.830598261,12.3099140721,-214.717785708,-229.30879292,444.140512333,1,101
1,0.04,-217.076138165,0.0772609578321,-12.2379958309,431.83059811,12.2379894591,-214.717785708,-229.236873038,444.06858757,0.999992695919,100.999992693
2,0.08,-217.076138279,0.0772559152355,-12.1661054328,431.830598229,12.1660914905,-214.717785708,-229.164987797,443.996689719,0.999987007177,100.999987002
3,0.12,-217.076138669,0.0772475562507,-12.0942403964,431.830598626,12.09421444,-214.717785708,-229.09313151,443.924813066,0.999982589801,100.999982582
4,0.16,-217.076139345,0.0772358778305,-12.0223961691,431.830599313,12.0223537273,-214.717785708,-229.021299636,443.85295304,0.999979168363,100.999979158
5,0.2,-217.076140317,0.0772208791761,-11.9505691348,431.830600303,11.9505057054,-214.717785708,-228.949488572,443.781106009,0.999976523372,100.99997651
6,0.24,-217.076141596,0.077202561343,-11.8787564368,431.830601612,11.8786674834,-214.717785708,-228.877695471,443.709269095,0.999974480765,100.999974465
7,0.28,-217.076143195,0.0771809269379,-11.8069558324,431.830603256,11.8068367802,-214.717785708,-228.8059181,443.637440036,0.999972903198,100.999972885
8,0.32,-217.076145128,0.077155979888,-11.7351655721,431.830605254,11.7350118039,-214.717785708,-228.73415472,443.565617058,0.999971682846,100.999971662
9,0.36,-217.076147409,0.0771277252653,-11.6633843016,431.830607627,11.6631911527,-214.717785708,-228.662403985,443.49379878,0.999970735494,100.999970713
10,0.4,-217.076150056,0.0770961691538,-11.591610982,431.830610399,11.5913737343,-214.717785708,-228.590664869,443.421984134,0.999969995717,100.999969971
11,0.44,-217.076153086,0.0770613185485,-11.5198448244,431.830613595,11.519558701,-214.717785708,-228.518936592,443.350172296,0.999969412957,100.999969386
12,0.48,-217.076156519,0.0770231812783,-11.4480852388,431.830617244,11.4477453963,-214.717785708,-228.447218577,443.27836264,0.999968948355,100.999968919
13,0.52,-217.076160378,0.0769817659466,-11.376331792,431.830621376,11.375933313,-214.717785708,-228.375510404,443.206554689,0.999968572207,100.999968541
14,0.56,-217.076164685,0.076937081884,-11.3045841752,431.830626025,11.3041220593,-214.717785708,-228.303811778,443.134748084,0.999968261931,100.999968229
15,0.6,-217.076169466,0.0768891391092,-11.2328421783,431.830631227,11.2323113324,-214.717785708,-228.232122505,443.062942559,0.999968000453,100.999967966
16,0.64,-217.07617475,0.0768379482964,-11.1611056694,431.830637023,11.1605008972,-214.717785708,-228.160442472,442.99113792,0.999967774934,100.999967738
17,0.68,-217.076180568,0.0767835207456,-11.0893745807,431.830643455,11.0886905697,-214.717785708,-228.088771628,442.919334025,0.999967575775,100.999967538
18,0.72,-217.076186954,0.076725868355,-11.0176488961,431.830650571,11.0168802049,-214.717785708,-228.017109981,442.847530776,0.999967395839,100.999967356
19,0.76,-217.076193943,0.0766650035938,-10.9459286435,431.830658421,10.9450696865,-214.717785708,-227.945457583,442.775728107,0.999967229848,100.999967188
20,0.8,-217.076201576,0.0766009394754,-10.8742138886,431.830667059,10.8732589195,-214.717785708,-227.873814525,442.703925979,0.999967073921,100.999967031
21,0.84,-217.076209896,0.0765336895297,-10.8025047315,431.830676546,10.8014478251,-214.717785708,-227.802180938,442.632124371,0.999966925219,100.99996688
