step,time_au,energy_total,energy_kinetic,energy_hartree,energy_xc,energy_external,energy_nonlocal,energy_ion,energy_ion_kinetic,energy_exact_exchange,energy_nvxc,energy_eigenvalues,current_x,current_y,current_z,density_l2
0,0,212.322077568842,11.129438474604,-228.64374745588,-14.3041241827241,444.140510732842,0,0,0,0,-18.5954332512974,-20.6129789556099,-3.82435338528424e-05,0.000140983568388588,-1.99950260551382,0
1,0.04,212.322018706034,11.1325627489149,-228.613309072847,-14.2966766873822,444.099441717348,0,0,0,0,-18.58558605452,-20.5801974104017,-3.79741274406974e-05,0.000141252963814887,-2.02000262140495,0.0127680982003337
2,0.08,212.321956350743,11.1412032741138,-228.601605117903,-14.2760156338492,444.058373828381,0,0,0,0,-18.5582562987027,-20.5618850022935,-3.75389526571046e-05,0.000141688128014776,-2.04049051120638,0.0495216389283386
3,0.12,212.321907807301,11.1535242409545,-228.602762839274,-14.246160974696,444.017307380317,0,0,0,0,-18.5187839421098,-20.553471819061,-3.74156621723624e-05,0.000141811408380761,-2.06096561412549,0.103894028594009
4,0.16,212.321861889377,11.1676263578258,-228.610392063804,-14.2116149183302,443.976242513685,0,0,0,0,-18.4731314350008,-20.5500391617999,-3.75580322951922e-05,0.000141669028657843,-2.08144061260026,0.165862447112677
5,0.2,212.32181840253,11.1820186764218,-228.619395850364,-14.1759835217516,443.935179098224,0,0,0,0,-18.426070269182,-20.5476556964195,-3.77145206491766e-05,0.000141512531159968,-2.10192148019331,0.226642974350927
6,0.24,212.321778073804,11.1957545377834,-228.626515414165,-14.1415780131885,443.894116963374,0,0,0,0,-18.3806626271189,-20.5438128086686,-3.77888909928851e-05,0.000141438152029466,-2.12240484671651,0.281027663549047
7,0.28,212.321733563825,11.2083531413842,-228.630069812892,-14.1096057392587,443.853055974592,0,0,0,0,-18.3385097540171,-20.5372307297876,-3.78023197261393e-05,0.00014142471476688,-2.14288510471076,0.326944216235935
8,0.32,212.321689741152,11.2196525727875,-228.629426353359,-14.0805325501313,443.811996071855,0,0,0,0,-18.3002206208409,-20.5274149598567,-3.7791533940143e-05,0.000141435492314564,-2.16335695809496,0.364241891048568
9,0.36,212.321644076904,11.2296626629359,-228.624553548688,-14.0544022645563,443.770937227213,0,0,0,0,-18.2658493320286,-20.5143467783958,-3.77788902199724e-05,0.000141448128052507,-2.18381839701045,0.393704685545683
10,0.4,212.321599469563,11.2384766136339,-228.6157187869,-14.0310377713523,443.729879414181,0,0,0,0,-18.2351431407147,-20.4982150009951,-3.77685614857212e-05,0.000141458448916521,-2.204267492948,0.416591276711988
11,0.44,212.321553893473,11.2462264332024,-228.603310992553,-14.0101841671617,443.688822619986,0,0,0,0,-18.2077552661054,-20.4793186719209,-3.77615456625839e-05,0.000141465456819782,-2.224702747869,0.434314347842497
