step,time_au,e_ss,e_pp,e_ps,e_sb,e_pb,e_bb,e_hartree_check,e_external_check,norm_wp,norm_total
0,0,-217.076138318,0.742302391021,-12.3099121175,431.830598261,12.3099131679,-214.717785708,-228.643748045,444.140511429,1,101
1,0.04,-217.076138126,0.731694775924,-12.2585566735,431.830598072,12.2585553229,-214.717785708,-228.603000024,444.089153394,0.99999270037,100.999992698
2,0.08,-217.076138118,0.702413376038,-12.2072078987,431.830598067,12.2071998283,-214.717785708,-228.58093264,444.037797895,0.999985409269,100.999985404
3,0.12,-217.076138293,0.660272171825,-12.155866455,431.830598249,12.1558473377,-214.717785708,-228.571732576,443.986445587,0.999978126907,100.999978119
4,0.16,-217.076138652,0.611610553539,-12.1045325979,431.830598619,12.1044980976,-214.717785708,-228.569060696,443.935096717,0.999970857311,100.999970846
5,0.2,-217.076139195,0.561542893453,-12.0532060876,431.83059918,12.053151859,-214.717785708,-228.567802389,443.883751039,0.999963607516,100.999963594
6,0.24,-217.076139922,0.513353292551,-12.001886596,431.830599937,12.0018082835,-214.717785708,-228.564673226,443.83240822,0.999956384238,100.999956368
7,0.28,-217.076140834,0.468733038876,-11.9505738024,431.830600893,11.95046704,-214.717785708,-228.557981598,443.781067933,0.999949192322,100.999949174
8,0.32,-217.076141932,0.428322384044,-11.8992674761,431.830602055,11.8991278866,-214.717785708,-228.547087024,443.729729941,0.999942033737,100.999942013
9,0.36,-217.076143215,0.392153513133,-11.8479674772,431.830603428,11.847790671,-214.717785708,-228.531957179,443.678394099,0.999934908531,100.999934886
10,0.4,-217.076144684,0.359957545771,-11.7966736817,431.830605021,11.7964552561,-214.717785708,-228.51286082,443.627060277,0.999927814703,100.99992779
11,0.44,-217.076146341,0.331344358629,-11.7453860189,431.830606842,11.7451215565,-214.717785708,-228.490188001,443.575728398,0.999920749187,100.999920722
12,0.48,-217.076148186,0.305894866722,-11.6941044234,431.8306089,11.6937894906,-214.717785708,-228.464357743,443.52439839,0.999913708257,100.999913679
13,0.52,-217.076150222,0.283209768274,-11.6428288317,431.830611206,11.6424589772,-214.717785708,-228.435769286,443.473070183,0.999906687495,100.999906657
14,0.56,-217.07615245,0.26292789757,-11.5915591901,431.830613772,11.5911299425,-214.717785708,-228.404783743,443.421743715,0.999899682325,100.99989965
15,0.6,-217.076154873,0.244731960744,-11.5402954353,431.830616611,11.5398023005,-214.717785708,-228.371718348,443.370418912,0.999892687707,100.999892653
16,0.64,-217.076157494,0.228348012687,-11.4890375043,431.830619738,11.4884759624,-214.717785708,-228.336846986,443.3190957,0.999885698261,100.999885662
17,0.68,-217.076160317,0.21354100365,-11.4377853274,431.830623168,11.4371508291,-214.717785708,-228.300404641,443.267773997,0.999878708193,100.99987867
