step,time_au,energy_total,energy_kinetic,energy_hartree,energy_xc,energy_external,energy_nonlocal,energy_ion,energy_ion_kinetic,energy_exact_exchange,energy_nvxc,energy_eigenvalues,current_x,current_y,current_z,density_l2,norm_wp,correction_ev,e_total_raw_ev,e_total_corrected_ev,wp_kinetic_bare_ev,energy_total_corrected
0,0.0,213.44685783481,12.254218657127,-228.64374804492,-14.3041242062049,444.140511428808,0,0,0,0,-18.5954332820931,-19.4881992859956,-3.82435518549359e-05,0.0001409838160843,-2.49877377305727,0.0,1.0,0.0,5808.184839030139,5808.184839030139,166.66256570197217,213.44685783481
1,0.04,213.446736452735,12.2572746508196,-228.603000023804,-14.2966915686653,444.089153394384,0,0,0,0,-18.5856050980818,-19.4451721244599,-3.79752707246667e-05,0.0001412520855009,-2.51923880049302,0.0195920410787592,0.99999270037,0.0012171816713099732,5808.181536055643,5808.180318873971,166.74444955867637,213.4466917221332
2,0.08,213.446616851792,12.2658209752108,-228.580932640315,-14.2760693785294,444.037797895425,0,0,0,0,-18.5583293739987,-19.4165662942581,-3.7541574070802e-05,0.0001416857707478,-2.53966907272903,0.0734512749884927,0.999985409269,0.0024363318160449373,5808.178281548217,5808.1758452164,166.975614051745,213.44652731824834
3,0.12,213.446516018984,12.2780527234353,-228.571732575955,-14.2462497150627,443.986445586566,0,0,0,0,-18.5189045288525,-19.3978581259041,-3.74183648189503e-05,0.0001418089689816,-2.56007416512557,0.147296629521016,0.999978126907,0.0036596003686347753,5808.1755377477575,5808.171878147389,167.30694291221153,213.44638153114983
4,0.16,213.446416895157,12.2921028182191,-228.569060696181,-14.211721943461,443.935096716579,0,0,0,0,-18.4732716854717,-19.3841774029065,-3.75605778368549e-05,0.0001416667453422,-2.58048144304245,0.223977919357766,0.999970857311,0.004887010878966205,5808.172840451039,5808.16795344016,167.68763027759934,213.44623730081813
5,0.2,213.446323460064,12.3064599801213,-228.567802389146,-14.1760851701803,443.883751039269,0,0,0,0,-18.4262057690498,-19.3715813045569,-3.77177030336042e-05,0.0001415096099547,-2.60090410915369,0.291915858650437,0.999963607516,0.0061169459022384805,5808.170297952657,5808.164181006755,168.07655370219052,213.44609866644626
6,0.24,213.446227280274,12.3201656077065,-228.564673225808,-14.1416733218232,443.832408220198,0,0,0,0,-18.3807913196261,-19.3575443266834,-3.77930793929477e-05,0.0001414342236515,-2.62133960692093,0.34677134000776,0.999956384238,0.007347292214368571,5808.167680767267,5808.1603334750525,168.44763039166313,213.4459572722629
7,0.28,213.446126492664,12.3327266669848,-228.557981597937,-14.1096865093456,443.781067932962,0,0,0,0,-18.3386156011934,-19.34076373838,-3.78075660772987e-05,0.0001414197271879,-2.64178281908588,0.388866228681267,0.999949192322,0.00857613394598436,5808.164938196706,5808.15636206276,168.78744611251682,213.44581132555174
8,0.32,213.446024835102,12.3439815797137,-228.547087023662,-14.0805996620751,443.729729941125,0,0,0,0,-18.3003099727933,-19.3207516242229,-3.77977715162491e-05,0.0001414295121543,-2.66222461642391,0.420287502217706,0.999942033737,0.009802176665360983,5808.162171953547,5808.152369776882,169.0916054016657,213.44566461175043
9,0.36,213.445918709931,12.3539428387845,-228.531957178594,-14.0544610493447,443.678394099085,0,0,0,0,-18.2659265938064,-19.297483044891,-3.77860327591459e-05,0.0001414412414334,-2.68266091820072,0.443212475694775,0.999934908531,0.011024638027256933,5808.1592841405545,5808.148259502527,169.36044902241667,213.4455135619526
