# wp_state_index=73  write_every=1
step,time_au,x_mean,y_mean,z_mean,x2_mean,y2_mean,z2_mean,sigma_x2,sigma_y2,sigma_z2,norm_check,x_mean_circ,y_mean_circ,z_mean_circ,R_x,R_y,R_z,sigma_x_circ,sigma_y_circ,sigma_z_circ
0,0,-2.00586367066e-08,-1.69146336616e-08,-23.9999973261,0.125008795421,0.125008793697,576.124938863,0.125008795421,0.125008793697,0.125067211532,1,-1.44684198708e-09,9.6623472321e-10,-23.9999986705,0.99798773831,0.997987738314,0.999658428872,0.353560765333,0.353560765001,0.353615850251
1,0.04,-2.01035739742e-08,-1.71797304565e-08,-23.9000419941,0.128334759908,0.128334758164,571.340406257,0.128334759908,0.128334758164,0.128398939459,0.99999270037,-1.48736985841e-09,7.02761753048e-10,-23.9000434648,0.997934252333,0.997934252337,0.999649336849,0.35823357597,0.358233575625,0.358292072293
2,0.08,-2.02442836881e-08,-1.80215270374e-08,-23.8000894378,0.138312864978,0.138312863229,566.582647066,0.138312864978,0.138312863229,0.138389819955,0.999985409269,-1.60109057999e-09,-1.14529208139e-10,-23.8000911722,0.997773808274,0.997773808277,0.999622074645,0.37190017799,0.371900177662,0.371961601838
3,0.12,-2.05016850195e-08,-1.94734192359e-08,-23.7001409177,0.154950861442,0.154950859705,561.851729161,0.154950861442,0.154950859705,0.155049643305,0.999978126907,-1.79308630292e-09,-1.50321803542e-09,-23.7001430441,0.997506333076,0.997506333079,0.999576617959,0.393634744159,0.393634743876,0.393700755021
4,0.16,-2.08704848109e-08,-2.15429508821e-08,-23.6001968097,0.178260234772,0.178260233071,557.147682698,0.178260234772,0.178260233071,0.178393240889,0.999970857311,-2.06862982808e-09,-3.48141581422e-09,-23.6001994444,0.997131727968,0.997131727971,0.999512929886,0.422206713169,0.422206712957,0.42228211719
5,0.2,-2.13423361148e-08,-2.4235001631e-08,-23.5002564595,0.208254291931,0.208254290295,552.470489842,0.208254291931,0.208254290295,0.2084361786,0.999963607516,-2.43319314057e-09,-6.06778058851e-09,-23.5002596967,0.996649899459,0.99664989946,0.999430971899,0.456348193459,0.456348193344,0.456438961125
6,0.24,-2.19266927666e-08,-2.75725699198e-08,-23.4003190558,0.244946616186,0.244946614654,547.82012455,0.244946616186,0.244946614654,0.245192634899,0.999956384238,-2.89244726848e-09,-9.28151771777e-09,-23.4003229589,0.996060784371,0.996060784371,0.99933070955,0.494921647053,0.494921647059,0.495032892592
7,0.28,-2.26392805075e-08,-3.15851914423e-08,-23.3003838527,0.288350072807,0.288350071428,543.196562552,0.288350072807,0.288350071428,0.288674868365,0.999949192322,-3.45226109222e-09,-1.31423830618e-08,-23.3003884483,0.995364365894,0.995364365891,0.999212114099,0.536984847436,0.536984847592,0.537119959661
8,0.32,-2.34846113353e-08,-3.62915362142e-08,-23.2004503478,0.338476324189,0.338476323026,538.59978946,0.338476324189,0.338476323026,0.338893117911,0.999942033737,-4.11871050072e-09,-1.7670694681e-08,-23.2004556259,0.994560681368,0.994560681361,0.999075163234,0.581791448329,0.581791448665,0.581951845772
9,0.36,-2.44597472414e-08,-4.17032630075e-08,-23.1005182579,0.395335669488,0.39533566862,534.029800322,0.395335669488,0.39533566862,0.395856540636,0.999934908531,-4.89810238821e-09,-2.28873431753e-08,-23.1005241734,0.993649824821,0.99364982481,0.998919838804,0.628763495432,0.628763495984,0.628949347232
10,0.4,-2.55738482105e-08,-4.78444856146e-08,-23.0005873755,0.458937067915,0.458937067439,529.486592274,0.458937067915,0.458937067439,0.459572656457,0.999927814703,-5.79699070043e-09,-2.88137902161e-08,-23.0005938495,0.992631946518,0.9926319465,0.998746128178,0.677457416687,0.677457417494,0.677667776473
11,0.44,-2.68505381911e-08,-5.4753967151e-08,-22.9006576157,0.529288285204,0.529288285239,524.970167259,0.529288285204,0.529288285239,0.530048027406,0.999920749187,-6.82218186605e-09,-3.54720862217e-08,-22.9006645394,0.991507250492,0.991507250466,0.998554022682,0.72753300387,0.727533004978,0.727766206079
12,0.48,-2.83049084532e-08,-6.24621205139e-08,-22.8007289145,0.606396039721,0.60639604041,520.480527335,0.606396039721,0.60639604041,0.607288302615,0.999913708257,-7.98073910091e-09,-4.28848960551e-08,-22.8007361492,0.990275992047,0.99027599201,0.998343517162,0.778728196388,0.778728197848,0.778982139256
13,0.52,-2.99307170647e-08,-7.0978421328e-08,-22.7008012216,0.690266144319,0.690266145831,516.017674134,0.690266144319,0.690266145831,0.691298031623,0.999906687495,-9.27998157306e-09,-5.10755111999e-08,-22.7008086021,0.988938475302,0.988938475253,0.998114610599,0.830839685437,0.830839687305,0.8311118039
14,0.56,-3.17208137142e-08,-8.03119741815e-08,-22.6008745019,0.780903633449,0.780903635985,511.581609491,0.780903633449,0.780903635985,0.782081238218,0.999899682325,-1.07274729231e-08,-6.00678541263e-08,-22.6008818383,0.987495050948,0.987495050882,0.997867304574,0.883708378286,0.883708380626,0.883995866784
15,0.6,-3.36942684623e-08,-9.04984692631e-08,-22.5009487058,0.878312873424,0.878312877219,507.172333693,0.878312873424,0.878312877219,0.87964103076,0.999892687707,-1.23310044559e-08,-6.98864869815e-08,-22.5009557843,0.985946114248,0.985946114162,0.997601604079,0.937208622998,0.937208625881,0.937508376547
16,0.64,-3.58860918539e-08,-1.01589628751e-07,-22.4010237823,0.982497663238,0.982497668565,502.789846463,0.982497663238,0.982497668565,0.983979965744,0.999885698261,-1.40985916277e-08,-8.05566144549e-08,-22.401030369,0.984292103174,0.984292103064,0.997317516795,0.991240243299,0.991240246801,0.99154889284
17,0.68,-3.83100901561e-08,-1.13616086011e-07,-22.3010996676,1.09346131442,1.09346132159,498.434146424,1.09346131442,1.09346132159,1.09510003905,0.999878708193,-1.60384872754e-08,-9.21040673365e-08,-22.3011055094,0.982533496857,0.982533496718,0.997015052843,1.04572262972,1.04572263392,1.04603657276
18,0.72,-4.0951506992e-08,-1.26580320339e-07,-22.2011762836,1.211206723,1.21120673238,494.105230962,1.211206723,1.21120673238,1.21300258676,0.999871711073,-1.81592014587e-08,-1.04555278709e-07,-22.2011811121,0.980670814146,0.980670813972,0.996694225185,1.10059033648,1.10059034148,1.10090565817
19,0.76,-4.38051132386e-08,-1.40494805762e-07,-22.101253538,1.33573642831,1.3357364403,489.80309654,1.33573642831,1.3357364403,1.33768858883,0.999864699907,-2.04695203847e-08,-1.17937269142e-07,-22.1012570725,0.97870461236,0.978704612145,0.996355048813,1.1557897744,1.1557897803,1.15610228992
20,0.8,-4.69052420738e-08,-1.55411640914e-07,-22.00133132,1.46705266199,1.46705267707,485.527738249,1.46705266199,1.46705267707,1.46915839623,0.99985766691,-2.29785243787e-08,-1.32277633654e-07,-22.0013332706,0.976635486179,0.976635485916,0.995997541292,1.21127670726,1.21127671417,1.21158189008
21,0.84,-5.02979243201e-08,-1.71394289855e-07,-21.9014095001,1.6051573917,1.60515741039,481.279150055,1.6051573917,1.60515741039,1.6074119654,0.999850603559,-2.56956028035e-08,-1.47604523281e-07,-21.9014095729,0.974464066607,0.974464066287,0.995621722348,1.26701434171,1.26701434975,1.26730730947
22,0.88,-5.39922881468e-08,-1.88469140196e-07,-21.8014879285,1.75005235516,1.75005237806,477.057324683,1.75005235516,1.75005237805,1.75244878861,0.999843500591,-2.8630461274e-08,-1.63946623476e-07,-21.8014858293,0.972191020065,0.97219101968,0.99522761381,1.3229718555,1.32297186479,1.32324735298
23,0.92,-5.79659425542e-08,-2.06631341494e-07,-21.7015664347,1.90173909175,1.90173911952,472.862253587,1.90173909175,1.90173911952,1.90426786749,0.999836348051,-3.17931202168e-08,-1.81333137298e-07,-21.7015618749,0.969817047518,0.969817047057,0.994815239822,1.37912325573,1.37912326641,1.37937560082
24,0.96,-6.22223109874e-08,-2.2590212895e-07,-21.6016448276,2.06021896792,2.06021900128,468.693927155,2.06021896792,2.06021900128,2.06286789732,0.99982913553,-3.5193913577e-08,-1.99793768981e-07,-21.6016375297,0.967342883675,0.967342883128,0.994384626314,1.43544648459,1.43544649681,1.4356695829
25,1,-6.68169303739e-08,-2.46354516095e-07,-21.501722898,2.22549319928,2.22549323906,464.552334682,2.22549319928,2.22549323906,2.2282471006,0.999821852331,-3.88434892602e-08,-2.19358702946e-07,-21.5017126013,0.964769296235,0.964769295589,0.993935801309,1.4919227137,1.49192272762,1.49211002435
26,1.04,-7.18069232468e-08,-2.68062355419e-07,-21.4018004192,2.39756287061,2.39756291769,460.437464636,2.39756287061,2.39756291769,2.40040345448,0.999814487825,-4.27528081748e-08,-2.40058581664e-07,-21.4017868867,0.962097085147,0.962097084389,0.993468794488,1.54853578343,1.54853579922,1.54868033564
27,1.08,-7.71949533071e-08,-2.91044666302e-07,-21.3018771523,2.57642895165,2.57642900703,456.349304874,2.57642895165,2.57642900703,2.579334661,0.999807031814,-4.69331436561e-08,-2.61924487877e-07,-21.3018601758,0.959327081924,0.959327081039,0.992983637054,1.60527175328,1.60527177111,1.60536616993
28,1.12,-8.2955078861e-08,-3.15292083239e-07,-21.2019528502,2.76209231302,2.76209237777,452.287842911,2.76209231302,2.76209237777,2.76503824759,0.99979947499,-5.13960887604e-08,-2.84987930184e-07,-21.2019322574,0.95646014894,0.956460147912,0.992480361623,1.66211853984,1.6621185599,1.66215506383
29,1.16,-8.91098196172e-08,-3.40843775411e-07,-21.1020272637,2.95455373904,2.95455381434,448.253066417,2.95455373904,2.95455381434,2.95751177698,0.999791809592,-5.61535683381e-08,-3.09280835239e-07,-21.1020029234,0.953497178768,0.95349717758,0.991959001612,1.71906562254,1.71906564503,1.71903619984
30,1.2,-9.57450275564e-08,-3.67801510957e-07,-21.0021001531,3.15381394028,3.15381402741,444.244963707,3.15381394028,3.15381402741,3.15675286595,0.999784030143,-6.1217847178e-08,-3.34835548448e-07,-21.0020719791,0.950439093501,0.950439092134,0.991419591124,1.7761038035,1.77610382863,1.77600016121
31,1.24,-1.0293222626e-07,-3.96251664849e-07,-20.9021712963,3.35987356512,3.35987366547,440.263524429,3.35987356512,3.35987366547,3.36275952719,0.999776134372,-6.6601530527e-08,-3.61684847565e-07,-20.9021392522,0.947286844085,0.947286842519,0.990862164205,1.83322501022,1.83322503821,1.83303879331
32,1.28,-1.10670930952e-07,-4.26208240718e-07,-20.8022405033,3.57273320987,3.57273332495,436.308740249,3.57273320987,3.57273332495,3.57553029308,0.999768123979,-7.23175606632e-08,-3.89861969753e-07,-20.8022046021,0.944041409657,0.944041407868,0.990286754374,1.89042213241,1.8904221635,1.89014506297
33,1.32,-1.18943889858e-07,-4.57668898898e-07,-20.7023076215,3.79239342927,3.7923935607,432.38060532,3.79239342927,3.7923935607,3.79506446478,0.999760005002,-7.83792124005e-08,-4.19400647783e-07,-20.7022679272,0.940703796865,0.940703794832,0.989693394178,1.94768888657,1.947688921,1.94731293897
34,1.36,-1.27813853863e-07,-4.90711439519e-07,-20.6023725381,4.01885474501,4.01885489455,428.479116519,4.01885474501,4.01885489455,4.02136231899,0.999751787589,-8.48000862516e-08,-4.50335156563e-07,-20.6023291632,0.937275039218,0.937275036914,0.989082114632,2.00501970267,2.00501974071,2.00453730352
35,1.4,-1.37418295317e-07,-5.25487539211e-07,-20.5024351767,4.25211765419,4.25211782374,424.604273284,4.25211765419,4.25211782374,4.25442510792,0.999743485133,-9.15940976652e-08,-4.82700367625e-07,-20.5023882796,0.933756196412,0.933756193811,0.988452945244,2.06240962907,2.06240967098,2.06181382516
36,1.44,-1.47860646962e-07,-5.6211382163e-07,-20.4024954852,4.49218263632,4.4921828279,420.756077249,4.49218263632,4.4921828279,4.49425522423,0.999735113276,-9.87754689957e-08,-5.16531809835e-07,-20.4024452676,0.930148353681,0.930148350753,0.987805913766,2.11985425212,2.11985429819,2.11913887578
37,1.48,-1.59159706203e-07,-6.00622345287e-07,-20.302553431,4.7390501591,4.73905037489,416.934531967,4.7390501591,4.73905037489,4.74085614858,0.999726689146,-1.06358727014e-07,-5.51865732677e-07,-20.3025001333,0.926452621145,0.92645261786,0.98714104626,2.17734962791,2.17734967844,2.17650943413
38,1.52,-1.71347181815e-07,-6.41059051046e-07,-20.2026089937,4.99272068384,4.99272092616,413.139642714,4.99272068384,4.99272092616,4.99423255986,0.999718231097,-1.14358704874e-07,-5.88739170366e-07,-20.2025528927,0.922670133166,0.92267012949,0.986458367062,2.23489222418,2.23489227949,2.23392301192
39,1.56,-1.84586835814e-07,-6.83602299524e-07,-20.1026621621,5.25319466925,5.25319494059,409.371416403,5.25319466925,5.25319494059,5.25439039942,0.999709758611,-1.22790539761e-07,-6.2719000354e-07,-20.1026035665,0.918802047708,0.918802043607,0.98575789862,2.29247887039,2.2924789308,2.2913776016
40,1.6,-1.9914187988e-07,-7.28529000522e-07,-20.0027129269,5.52047257528,5.5204728783,405.62986123,5.52047257528,5.5204728783,5.52133679313,0.999701291742,-1.31669664628e-07,-6.67257013869e-07,-20.0026521747,0.914849545698,0.914849541135,0.985039661782,2.35010671502,2.35010678087,2.34887159582
41,1.64,-2.15235556895e-07,-7.76075224442e-07,-19.9027612606,5.79455486596,5.79455520348,401.91498582,5.79455486596,5.79455520348,5.7950800227,0.999692849842,-1.41011801633e-07,-7.08979932507e-07,-19.9026987185,0.91081383038,0.910813825315,0.984303676057,2.40777318869,2.40777326035,2.40640372048
42,1.68,-2.3302908161e-07,-8.2641567084e-07,-19.8028070978,6.07544201183,6.07544238684,398.226798178,6.07544201183,6.07544238684,6.0756292243,0.999684449871,-1.50832959934e-07,-7.52399485638e-07,-19.8027431619,0.906696126678,0.90669612107,0.983549960353,2.46547597223,2.46547605007,2.46397294086
43,1.72,-2.52797432295e-07,-8.79840378899e-07,-19.702850313,6.36313449187,6.36313490757,394.565304689,6.36313449187,6.36313490757,6.36299423397,0.999676105221,-1.61149433143e-07,-7.97557435635e-07,-19.7027854152,0.902497680553,0.902497674357,0.982778533636,2.52321296897,2.52321305339,2.52157838634
44,1.76,-2.75105317995e-07,-9.36929556003e-07,-19.6028907121,6.65763279426,6.65763325404,390.930509707,6.65763279426,6.65763325404,6.65718543665,0.999667825614,-1.71977788496e-07,-8.44496614485e-07,-19.602825328,0.898219758368,0.898219751539,0.981989415312,2.58098228043,2.58098237184,2.57921930501
45,1.8,-3.00785211292e-07,-9.98529946801e-07,-19.5029280356,6.95893741691,6.95893792434,387.322415638,6.95893741691,6.95893792434,6.9582136749,0.999659617791,-1.83334853321e-07,-8.93260945707e-07,-19.5028626956,0.893863646256,0.893863638745,0.981182625566,2.63878218516,2.63878228398,2.63689502678
