# wp_state_index=73  write_every=1
step,time_au,px_mean,py_mean,pz_mean,px2_mean,py2_mean,pz2_mean,sigma_px2,sigma_py2,sigma_pz2,e_kin_ha,norm_check
0,0,-1.34515623487e-07,-1.34194999056e-07,2.99625632294,2.00000778297,2.000007783,10.9976104619,2.00000778297,2.000007783,2.02005850907,7.49881301391,29398320.8643
1,0.04,-4.03140110996e-07,-4.14719125696e-07,2.99618668767,2.00207289875,2.00207289891,10.9992948689,2.00207289875,2.00207289891,2.02216020156,7.50172033329,29397867.132
2,0.08,-8.37135048193e-07,-8.60985973588e-07,2.99605473064,2.00782061986,2.00782062039,11.0044982553,2.00782061986,2.00782062039,2.02815430635,7.51006974778,29397414.0451
3,0.12,-9.62663223919e-07,-9.99170706912e-07,2.99588041346,2.0160462551,2.01604625629,11.0121126247,2.0160462551,2.01604625629,2.03681317295,7.52210256806,29396961.6988
4,0.16,-8.22645728863e-07,-8.72207257471e-07,2.99570666114,2.02545888045,2.02545888259,11.0210899838,2.02545888045,2.02545888259,2.04683158426,7.53600387344,29396510.2889
5,0.2,-6.66741559391e-07,-7.29767672215e-07,2.99555962815,2.03505483458,2.035054838,11.0303566105,2.03505483458,2.035054838,2.05697912465,7.55023314152,29396060.0504
6,0.24,-5.9249542978e-07,-6.69409779433e-07,2.99544104805,2.04420778934,2.04420779437,11.0392457382,2.04420778934,2.04420779437,2.06657866582,7.56383066093,29395611.1735
7,0.28,-5.79255249958e-07,-6.70494902757e-07,2.99535444325,2.05259944186,2.05259944888,11.0473720549,2.05259944186,2.05259944888,2.07522381426,7.57628547284,29395163.7916
8,0.32,-5.90655629284e-07,-6.9667071471e-07,2.99528887688,2.06011828611,2.06011829552,11.0545984106,2.06011828611,2.06011829552,2.08284295464,7.58741749613,29394717.9083
9,0.36,-6.04372825429e-07,-7.25626235559e-07,2.99523871856,2.06676933565,2.06676934786,11.0609595021,2.06676933565,2.06676934786,2.08950452097,7.59724909281,29394273.4619
10,0.4,-6.16103134003e-07,-7.53070493786e-07,2.99519945005,2.07261682557,2.07261684101,11.0664760866,2.07261682557,2.07261684101,2.09525634103,7.6058548766,29393830.2977
11,0.44,-6.24862996404e-07,-7.7803322445e-07,2.99516501663,2.07774814042,2.07774815956,11.0712801305,2.07774814042,2.07774815956,2.10026665367,7.61338821524,29393388.1956
12,0.48,-6.31571997786e-07,-8.0144753971e-07,2.99513524114,2.08225319908,2.08225322239,11.0754468639,2.08225319908,2.08225322239,2.10461175118,7.61997664268,29392946.8978
13,0.52,-6.37554770895e-07,-8.24651842584e-07,2.99510733485,2.08621669032,2.0862167183,11.0790631122,2.08621669032,2.0862167183,2.10839516492,7.62574826041,29392506.0841
14,0.56,-6.42551222871e-07,-8.47400393455e-07,2.99508117265,2.0897134848,2.08971351798,11.0822218949,2.0897134848,2.08971351798,2.11171066419,7.63082444886,29392065.4051
15,0.6,-6.47619772411e-07,-8.70765971455e-07,2.99505662578,2.09280879357,2.09280883253,11.0849686471,2.09280879357,2.09280883253,2.11460445545,7.6352931366,29391624.4545
16,0.64,-6.52316391938e-07,-8.94317439291e-07,2.99503309577,2.09555842066,2.095558466,11.0873780441,2.09555842066,2.095558466,2.11715479939,7.6392474654,29391182.7711
17,0.68,-6.57046461199e-07,-9.18470968195e-07,2.99501136475,2.09800961658,2.09800966896,11.0894876796,2.09800961658,2.09800966896,2.11939460458,7.64275348255,29390739.8315
18,0.72,-6.61899175989e-07,-9.43324931391e-07,2.99499110819,2.10020264782,2.10020270793,11.091339106,2.10020264782,2.10020270793,2.12136736789,7.64587223089,29390295.028
19,0.76,-6.66614884764e-07,-9.68627285889e-07,2.99497296423,2.1021714283,2.10217149686,11.09297243,2.10217142829,2.10217149686,2.1231093735,7.64865767755,29389847.6726
20,0.8,-6.71695808588e-07,-9.94885884399e-07,2.99495723323,2.10394484769,2.10394492546,11.0944071508,2.10394484769,2.10394492546,2.12463832194,7.65114846197,29389396.9789
21,0.84,-6.76689007881e-07,-1.0216513546e-06,2.9949442266,2.10554745228,2.10554754002,11.0956772462,2.10554745228,2.10554754002,2.12598632575,7.65338611926,29388942.0671
22,0.88,-6.81973764203e-07,-1.04930502089e-06,2.99493468616,2.10700014124,2.10700023975,11.0967976752,2.10700014124,2.10700023975,2.12716390083,7.65539902811,29388481.9725
23,0.92,-6.87414368921e-07,-1.07771171595e-06,2.99492886664,2.10832089899,2.10832100905,11.0977889426,2.10832089899,2.10832100905,2.12819002636,7.65721542532,29388015.6588
24,0.96,-6.92960182994e-07,-1.10681945487e-06,2.99492756762,2.10952510401,2.10952522644,11.0986691746,2.10952510401,2.10952522644,2.12907803926,7.6588597525,29387542.0553
25,1,-6.98865945787e-07,-1.13687950897e-06,2.99493125112,2.11062609855,2.11062623418,11.0994484459,2.11062609855,2.11062623417,2.12983524699,7.66035038933,29387060.0937
26,1.04,-7.04824459789e-07,-1.16757949099e-06,2.99494052015,2.11163542646,2.11163557614,11.1001452315,2.11163542646,2.11163557614,2.13047651228,7.66170811706,29386568.7637
27,1.08,-7.11158682499e-07,-1.19923552838e-06,2.99495604563,2.11256313285,2.11256329747,11.1007677917,2.11256313285,2.11256329746,2.13100607646,7.662947111,29386067.1719
28,1.12,-7.17678798458e-07,-1.23164920386e-06,2.99497822582,2.11341803579,2.11341821625,11.1013302132,2.11341803579,2.11341821625,2.13143564009,7.66408323262,29385554.603
29,1.16,-7.24468781339e-07,-1.26489460491e-06,2.99500772249,2.11420783946,2.11420803671,11.1018445094,2.11420783946,2.11420803671,2.13177325167,7.66513019281,29385030.5845
30,1.2,-7.31623957937e-07,-1.2990568459e-06,2.99504484966,2.11493937415,2.11493958916,11.1023204022,2.11493937415,2.11493958916,2.13202675077,7.66609968277,29384494.9398
31,1.24,-7.38985053184e-07,-1.33396705065e-06,2.99509003911,2.11561866808,2.11561890185,11.1027730709,2.11561866808,2.11561890184,2.13220872848,7.6670053204,29383947.8373
32,1.28,-7.46787884351e-07,-1.36985230627e-06,2.99514359751,2.11625108293,2.11625133647,11.1032120719,2.11625108293,2.11625133647,2.13232690219,7.66785724566,29383389.8172
33,1.32,-7.54857693523e-07,-1.40653023225e-06,2.99520568148,2.11684141535,2.1168416897,11.1036523157,2.11684141534,2.1168416897,2.13239524129,7.66866771035,29382821.7938
34,1.36,-7.6332989946e-07,-1.44413031387e-06,2.99527657648,2.1173939386,2.11739423483,11.1041067071,2.1173939386,2.11739423483,2.13242493747,7.66944744026,29382245.0273
35,1.4,-7.7219668562e-07,-1.48264090193e-06,2.99535631191,2.11791251102,2.11791283022,11.1045880949,2.11791251102,2.11791283022,2.13242865958,7.67020671806,29381661.0654
36,1.44,-7.81405994213e-07,-1.52200822914e-06,2.99544510886,2.11840058998,2.11840093325,11.1051123012,2.11840058998,2.11840093325,2.132420901,7.67095691222,29381071.6714
37,1.48,-7.91093949913e-07,-1.56236866599e-06,2.99554307049,2.11886129924,2.11886166772,11.1056911949,2.11886129924,2.11886166772,2.13241290772,7.67170708091,29380478.7502
38,1.52,-8.01130370544e-07,-1.60359422022e-06,2.99565033952,2.11929746432,2.11929785918,11.1063402406,2.11929746432,2.11929785918,2.13241928397,7.67246778207,29379884.2849
39,1.56,-8.11641453181e-07,-1.64581542987e-06,2.9957671842,2.11971162874,2.11971205117,11.1070719744,2.11971162874,2.11971205116,2.13245095246,7.67324782715,29379290.2805
40,1.6,-8.22567767891e-07,-1.68897922825e-06,2.9958937294,2.12010610762,2.12010655885,11.1078986166,2.12010610762,2.12010655885,2.13251937877,7.67405564154,29378698.6995
41,1.64,-8.33919435931e-07,-1.733103712e-06,2.99603035324,2.12048298437,2.12048346567,11.1088327778,2.12048298437,2.12048346567,2.13263490027,7.67489961391,29378111.3869
42,1.68,-8.45746703377e-07,-1.77824827509e-06,2.99617728882,2.12084415049,2.12084466317,11.1098828194,2.12084415049,2.12084466317,2.13280447335,7.67578581651,29377529.9909
43,1.72,-8.57972404439e-07,-1.8243455755e-06,2.99633488067,2.1211913165,2.12119186191,11.1110585288,2.1211913165,2.1211918619,2.13303581166,7.67672085358,29376955.906
44,1.76,-8.70680079781e-07,-1.87148920968e-06,2.99650350339,2.12152602072,2.12152660023,11.1123654749,2.12152602072,2.12152660023,2.13333222911,7.67770904794,29376390.256
45,1.8,-8.83801263306e-07,-1.91962046352e-06,2.996683345,2.12184965824,2.12185027329,11.1138082115,2.12184965824,2.12185027329,2.13369714132,7.67875407153,29375833.907
46,1.84,-8.97367039206e-07,-1.9687794815e-06,2.99687476762,2.12216347381,2.12216412585,11.1153902694,2.12216347381,2.12216412585,2.1341318966,7.67985893454,29375287.4884
47,1.88,-9.1137158761e-07,-2.01896863889e-06,2.99707785038,2.12246858719,2.12246927773,11.1171113191,2.12246858719,2.12246927773,2.13463567792,7.68102459203,29374751.3924
48,1.92,-9.25782674894e-07,-2.07016286529e-06,2.99729275478,2.12276599594,2.12276672651,11.1189721066,2.12276599593,2.1227667265,2.13520824877,7.68225241454,29374225.7617
49,1.96,-9.40632701452e-07,-2.1224005048e-06,2.99751959285,2.12305658071,2.12305735287,11.1209697961,2.12305658071,2.12305735287,2.13584608658,7.68354186485,29373710.4908
50,2,-9.55872313643e-07,-2.17563676045e-06,2.99775828477,2.12334112417,2.12334193952,11.1231013499,2.12334112417,2.12334193951,2.13654661596,7.68489220677,29373205.2618
51,2.04,-9.71521802749e-07,-2.22989507824e-06,2.99800895485,2.12362030491,2.12362116505,11.1253631368,2.12362030491,2.12362116504,2.13730544347,7.6863023034,29372709.6079
52,2.08,-9.87552796969e-07,-2.28514883826e-06,2.99827144754,2.12389471672,2.12389562328,11.1277488528,2.12389471672,2.12389562328,2.13811717964,7.6877695964,29372222.963
53,2.12,-1.00395681959e-06,-2.34138966283e-06,2.99854574448,2.12416487089,2.12416582551,11.1302534265,2.12416487089,2.1241658255,2.13897684474,7.68929206145,29371744.6769
54,2.16,-1.02072410923e-06,-2.39860598219e-06,2.99883179926,2.1244312014,2.12443220573,11.132868953,2.12443120139,2.12443220572,2.1398767927,7.69086618004,29371274.0064
55,2.2,-1.03783319284e-06,-2.45677263881e-06,2.99912936811,2.12469407988,2.12469513556,11.1355875539,2.12469407988,2.12469513556,2.14081058727,7.69248838469,29370810.1167
56,2.24,-1.05527493519e-06,-2.51587524822e-06,2.99943840627,2.12495381143,2.12495492009,11.1384010233,2.12495381142,2.12495492009,2.14177027029,7.69415487741,29370352.1171
57,2.28,-1.07302650829e-06,-2.5758844122e-06,2.99975853651,2.12521064928,2.12521181256,11.1412993398,2.12521064928,2.12521181256,2.14274806248,7.69586090084,29369899.1089
58,2.32,-1.09107838407e-06,-2.63678265141e-06,3.00008947302,2.12546479631,2.12546601581,11.1442740729,2.12546479631,2.1254660158,2.14373722678,7.6976024425,29369450.2123
59,2.36,-1.10939969553e-06,-2.6985297931e-06,3.0004308908,2.12571640888,2.12571768616,11.1473152272,2.12571640888,2.12571768616,2.14472969671,7.6993746611,29369004.5574
60,2.4,-1.12798908497e-06,-2.76111409114e-06,3.00078226294,2.1259656077,2.12596694431,11.1504135802,2.12596560769,2.12596694431,2.14571939063,7.70117306612,29368561.2615
61,2.44,-1.14680503286e-06,-2.82448278708e-06,3.00114329682,2.12621247463,2.12621387207,11.1535603273,2.12621247462,2.12621387207,2.14669923921,7.70299333699,29368119.4319
62,2.48,-1.16584576533e-06,-2.88862200803e-06,3.00151342784,2.12645706317,2.1264585229,11.1567457676,2.12645706317,2.12645852289,2.14766291012,7.70483067684,29367678.1968
63,2.52,-1.18508010935e-06,-2.95348746938e-06,3.00189220151,2.12669939913,2.12670092254,11.1599618304,2.12669939912,2.12670092253,2.14860504091,7.70668107604,29367236.7368
64,2.56,-1.20448038858e-06,-3.01903746934e-06,3.00227917812,2.12693948348,2.12694107192,11.1631995799,2.12693948348,2.12694107191,2.14951931648,7.70854006763,29366794.2905
65,2.6,-1.22404753304e-06,-3.08525832651e-06,3.00267373156,2.12717729976,2.12717895449,11.1664509613,2.12717729976,2.12717895448,2.15040142315,7.71040360779,29366350.1363
66,2.64,-1.2437197461e-06,-3.15207320044e-06,3.00307546355,2.127412812,2.12741453423,11.169708566,2.127412812,2.12741453422,2.15124632622,7.71226795612,29365903.5833
67,2.68,-1.26351762032e-06,-3.21948715527e-06,3.00348373909,2.12764597193,2.12764776279,11.1729646794,2.12764597193,2.12764776278,2.1520501084,7.71412920703,29365453.9869
68,2.72,-1.28337869228e-06,-3.28742172513e-06,3.00389800303,2.12787671902,2.12787857956,11.1762131523,2.12787671902,2.12787857955,2.15280993973,7.71598422546,29365000.7766
69,2.76,-1.30329674492e-06,-3.35585442646e-06,3.00431773743,2.12810498271,2.12810691389,11.1794475273,2.12810498271,2.12810691388,2.15352245989,7.71782971196,29364543.4683
