name,L_abs,eta_Ha,E_eV,k0,epsilon,absorbed_fraction,N0,tau,N_STEPS,dt,dx,Lcell_z,width_frac,mid_frac
run_cap_k0.86_L6_eta1.00,6.0,-1.0,10.0,0.857314,0.0629424,0.935943,0.0411691,60.1765,6018.0,0.01,0.3,45.5901,0.131608,0.434196
run_cap_k0.86_L6_eta0.50,6.0,-0.5,10.0,0.857314,0.0684527,0.929613,0.0411691,60.1765,6018.0,0.01,0.3,45.5901,0.131608,0.434196
run_cap_k0.86_L6_eta0.30,6.0,-0.3,10.0,0.857314,0.142876,0.852344,0.0411691,60.1765,6018.0,0.01,0.3,45.5901,0.131608,0.434196
run_cap_k0.86_L8_eta1.00,8.0,-1.0,10.0,0.857314,0.0353868,0.963424,0.0411691,64.8422,6484.0,0.01,0.3,47.5901,0.168102,0.415949
run_cap_k0.86_L8_eta0.50,8.0,-0.5,10.0,0.857314,0.02742,0.971106,0.0411691,64.8422,6484.0,0.01,0.3,47.5901,0.168102,0.415949
run_cap_k0.86_L8_eta0.30,8.0,-0.3,10.0,0.857314,0.0682457,0.926987,0.0411691,64.8422,6484.0,0.01,0.3,47.5901,0.168102,0.415949
run_cap_k0.86_L10_eta1.00,10.0,-1.0,10.0,0.857314,0.0204482,0.978331,0.0411691,69.5079,6951.0,0.01,0.3,49.5901,0.201653,0.399173
run_cap_k0.86_L10_eta0.50,10.0,-0.5,10.0,0.857314,0.0113007,0.987711,0.0411691,69.5079,6951.0,0.01,0.3,49.5901,0.201653,0.399173
run_cap_k0.86_L10_eta0.30,10.0,-0.3,10.0,0.857314,0.0316218,0.964415,0.0411691,69.5079,6951.0,0.01,0.3,49.5901,0.201653,0.399173
run_cap_k0.86_L12_eta1.00,12.0,-1.0,10.0,0.857314,0.0116565,0.987152,0.041169,74.1737,7417.0,0.01,0.3,51.5901,0.232603,0.383699
run_cap_k0.86_L12_eta0.50,12.0,-0.5,10.0,0.857314,0.00487514,0.994507,0.041169,74.1737,7417.0,0.01,0.3,51.5901,0.232603,0.383699
run_cap_k0.86_L12_eta0.30,12.0,-0.3,10.0,0.857314,0.01399,0.982977,0.041169,74.1737,7417.0,0.01,0.3,51.5901,0.232603,0.383699
run_cap_k0.86_L15_eta1.00,15.0,-1.0,10.0,0.857314,0.00492749,0.994235,0.041169,81.1723,8117.0,0.01,0.3,54.5901,0.274775,0.362612
run_cap_k0.86_L15_eta0.50,15.0,-0.5,10.0,0.857314,0.00152439,0.998219,0.041169,81.1723,8117.0,0.01,0.3,54.5901,0.274775,0.362612
run_cap_k0.86_L15_eta0.30,15.0,-0.3,10.0,0.857314,0.00390477,0.994626,0.041169,81.1723,8117.0,0.01,0.3,54.5901,0.274775,0.362612
