name,order,eta_Ha,L_abs,E_eV,epsilon,absorbed_fraction
run_mono_k0.86_L5_eta0.50_n1,1.0,-0.5,5.0,10.0,0.0833554,0.914847
run_mono_k0.86_L5_eta0.30_n1,1.0,-0.3,5.0,10.0,0.202231,0.793459
run_mono_k0.86_L5_eta0.20_n1,1.0,-0.2,5.0,10.0,0.333211,0.65974
run_mono_k0.86_L5_eta0.10_n1,1.0,-0.1,5.0,10.0,0.564125,0.423922
run_mono_k0.86_L5_eta0.50_n2,2.0,-0.5,5.0,10.0,0.196686,0.798913
run_mono_k0.86_L5_eta0.30_n2,2.0,-0.3,5.0,10.0,0.357672,0.63454
run_mono_k0.86_L5_eta0.20_n2,2.0,-0.2,5.0,10.0,0.491992,0.497375
run_mono_k0.86_L5_eta0.10_n2,2.0,-0.1,5.0,10.0,0.687471,0.297721
run_mono_k0.86_L5_eta0.50_n3,3.0,-0.5,5.0,10.0,0.31452,0.678645
run_mono_k0.86_L5_eta0.30_n3,3.0,-0.3,5.0,10.0,0.476943,0.512733
run_mono_k0.86_L5_eta0.20_n3,3.0,-0.2,5.0,10.0,0.59722,0.38987
run_mono_k0.86_L5_eta0.10_n3,3.0,-0.1,5.0,10.0,0.758305,0.225325
run_mono_k0.86_L5_eta0.50_n4,4.0,-0.5,5.0,10.0,0.412439,0.578687
run_mono_k0.86_L5_eta0.30_n4,4.0,-0.3,5.0,10.0,0.563631,0.424191
run_mono_k0.86_L5_eta0.20_n4,4.0,-0.2,5.0,10.0,0.668901,0.31664
run_mono_k0.86_L5_eta0.10_n4,4.0,-0.1,5.0,10.0,0.803545,0.179099
