name,E_eV,k0,eta_Ha,L_abs,epsilon,absorbed_fraction
run_cap_k0.27_L5_eta0.30,1.01,0.272458,-0.3,5.0,0.392087,0.607711
run_cap_k0.37_L5_eta0.30,1.87,0.370732,-0.3,5.0,0.299595,0.700068
run_cap_k0.51_L5_eta0.30,3.48,0.505742,-0.3,5.0,0.227968,0.7714
run_cap_k0.69_L5_eta0.30,6.46,0.689058,-0.3,5.0,0.197243,0.801218
run_cap_k0.72_L5_eta0.30,7.0,0.71728,-0.3,5.0,0.197088,0.800953
run_cap_k0.86_L5_eta0.30,10.0,0.857314,-0.3,5.0,0.208562,0.78783
run_cap_k1.05_L5_eta0.30,15.0,1.04999,-0.3,5.0,0.241958,0.749001
run_cap_k1.28_L5_eta0.30,22.24,1.27852,-0.3,5.0,0.287269,0.693555
run_cap_k1.74_L5_eta0.30,41.28,1.74185,-0.3,5.0,0.355041,0.592938
run_cap_k2.37_L5_eta0.30,76.62,2.37307,-0.3,5.0,0.385022,0.497002
run_cap_k2.71_L5_eta0.30,100.0,2.71106,-0.3,5.0,0.370253,0.460418
run_cap_k0.27_L5_eta0.05,1.01,0.272458,-0.05,5.0,0.531163,0.4686
run_cap_k0.37_L5_eta0.05,1.87,0.370732,-0.05,5.0,0.579499,0.419683
run_cap_k0.51_L5_eta0.05,3.48,0.505742,-0.05,5.0,0.635772,0.36151
run_cap_k0.69_L5_eta0.05,6.46,0.689058,-0.05,5.0,0.692953,0.299251
run_cap_k0.72_L5_eta0.05,7.0,0.71728,-0.05,5.0,0.699419,0.291065
run_cap_k0.86_L5_eta0.05,10.0,0.857314,-0.05,5.0,0.729298,0.255362
run_cap_k1.05_L5_eta0.05,15.0,1.04999,-0.05,5.0,0.752549,0.216942
run_cap_k1.28_L5_eta0.05,22.24,1.27852,-0.05,5.0,0.763317,0.183558
run_cap_k1.74_L5_eta0.05,41.28,1.74185,-0.05,5.0,0.746846,0.140722
run_cap_k2.37_L5_eta0.05,76.62,2.37307,-0.05,5.0,0.677555,0.109089
run_cap_k2.71_L5_eta0.05,100.0,2.71106,-0.05,5.0,0.612817,0.0984664
run_cap_k0.27_L5_eta0.01,1.01,0.272458,-0.01,5.0,0.840825,0.158721
run_cap_k0.37_L5_eta0.01,1.87,0.370732,-0.01,5.0,0.87566,0.122983
run_cap_k0.51_L5_eta0.01,3.48,0.505742,-0.01,5.0,0.902078,0.0939762
run_cap_k0.69_L5_eta0.01,6.46,0.689058,-0.01,5.0,0.918336,0.0711282
run_cap_k0.72_L5_eta0.01,7.0,0.71728,-0.01,5.0,0.91873,0.0685444
run_cap_k0.86_L5_eta0.01,10.0,0.857314,-0.01,5.0,0.922123,0.058087
run_cap_k1.05_L5_eta0.01,15.0,1.04999,-0.01,5.0,0.9143,0.0479878
run_cap_k1.28_L5_eta0.01,22.24,1.27852,-0.01,5.0,0.896982,0.0398473
run_cap_k1.74_L5_eta0.01,41.28,1.74185,-0.01,5.0,0.842358,0.029923
run_cap_k2.37_L5_eta0.01,76.62,2.37307,-0.01,5.0,0.742095,0.0228673
run_cap_k2.71_L5_eta0.01,100.0,2.71106,-0.01,5.0,0.664551,0.0205451
