name,mode,E_eV,k0,L_total,Lhalf,eta_Ha,epsilon,absorbed_fraction,z_in,Lcell_z,tau,N_STEPS,dx,sigma
run_cap_E1000_L10_eta0.50,cap,1000.0,8.57314,10.0,5.0,-0.5,0.0706304,0.573007,3.95901,17.918,3.25645,326.0,0.18,0.659835
run_cap_E1000_L16_eta0.50,cap,1000.0,8.57314,16.0,8.0,-0.5,0.0335635,0.783769,3.95901,23.918,4.65618,466.0,0.18,0.659835
run_cap_E1000_L20_eta0.50,cap,1000.0,8.57314,20.0,10.0,-0.5,0.0246217,0.8627,3.95901,27.918,5.58932,559.0,0.18,0.659835
run_cap_E1000_L26_eta0.50,cap,1000.0,8.57314,26.0,13.0,-0.5,0.0145884,0.93062,3.95901,33.918,6.98904,699.0,0.18,0.659835
run_cap_E1000_L30_eta0.50,cap,1000.0,8.57314,30.0,15.0,-0.5,0.00933066,0.955921,3.95901,37.918,7.92219,792.0,0.18,0.659835
run_cap_E100_L10_eta0.50,cap,100.0,2.71106,10.0,5.0,-0.5,0.13099,0.849647,12.5195,35.039,16.613,1661.0,0.276644,2.08658
run_cap_E100_L16_eta0.50,cap,100.0,2.71106,16.0,8.0,-0.5,0.0212621,0.963207,12.5195,41.039,21.0393,2104.0,0.276644,2.08658
run_cap_E100_L20_eta0.30,cap,100.0,2.71106,20.0,10.0,-0.3,0.0275587,0.931755,12.5195,45.039,23.9902,2399.0,0.276644,2.08658
run_cap_E100_L20_eta0.50,cap,100.0,2.71106,20.0,10.0,-0.5,0.00510813,0.987888,12.5195,45.039,23.9902,2399.0,0.276644,2.08658
run_cap_E100_L20_eta0.70,cap,100.0,2.71106,20.0,10.0,-0.7,0.000968471,0.997761,12.5195,45.039,23.9902,2399.0,0.276644,2.08658
run_cap_E100_L20_eta1.00,cap,100.0,2.71106,20.0,10.0,-1.0,8.29691e-05,0.99981,12.5195,45.039,23.9902,2399.0,0.276644,2.08658
run_cap_E100_L26_eta0.50,cap,100.0,2.71106,26.0,13.0,-0.5,0.000528805,0.998087,12.5195,51.039,28.4165,2842.0,0.276644,2.08658
run_cap_E100_L30_eta0.50,cap,100.0,2.71106,30.0,15.0,-0.5,0.000110697,0.99948,12.5195,55.039,31.3674,3137.0,0.276644,2.08658
run_cap_E10_L10_eta0.50,cap,10.0,0.857314,10.0,5.0,-0.5,0.0410291,0.958778,39.5901,89.1801,115.687,11569.0,0.3,6.59835
run_cap_E10_L16_eta0.50,cap,10.0,0.857314,16.0,8.0,-0.5,0.0149218,0.984991,39.5901,95.1801,129.684,12968.0,0.3,6.59835
run_cap_E10_L20_eta0.30,cap,10.0,0.857314,20.0,10.0,-0.3,0.00420235,0.995692,39.5901,99.1801,139.016,13902.0,0.3,6.59835
run_cap_E10_L20_eta0.50,cap,10.0,0.857314,20.0,10.0,-0.5,0.00780673,0.992116,39.5901,99.1801,139.016,13902.0,0.3,6.59835
run_cap_E10_L20_eta0.70,cap,10.0,0.857314,20.0,10.0,-0.7,0.0137304,0.986132,39.5901,99.1801,139.016,13902.0,0.3,6.59835
run_cap_E10_L20_eta1.00,cap,10.0,0.857314,20.0,10.0,-1.0,0.0230006,0.976736,39.5901,99.1801,139.016,13902.0,0.3,6.59835
run_cap_E10_L26_eta0.50,cap,10.0,0.857314,26.0,13.0,-0.5,0.00302854,0.996898,39.5901,105.18,153.013,15301.0,0.3,6.59835
run_cap_E10_L30_eta0.50,cap,10.0,0.857314,30.0,15.0,-0.5,0.00160447,0.998332,39.5901,109.18,162.344,16234.0,0.3,6.59835
