# iter time_au Jx Jy Jz
0 0 0.0004356515881472694 0.0002365386970958454 0.0001922306800774546
1 0.04 -0.109097943693671 0.0002406064436760258 0.000190198136088803
2 0.08 -0.4161769400127511 0.0002440010092270988 0.0001887492098802558
3 0.12 -0.8713802094570122 0.0002465687416263808 0.0001880128362419898
4 0.16 -1.420111722324434 0.0002483580662502214 0.0001876900399036191
5 0.2 -2.015439726223115 0.0002498181812687076 0.000187719828787553
6 0.24 -2.624371365954576 0.0002509554403449875 0.0001877275812302343
7 0.28 -3.225977974532014 0.000251797706741222 0.0001877320180117353
8 0.32 -3.806479299747303 0.0002523315907984584 0.0001879152351545602
9 0.36 -4.356220775431124 0.000252343635419761 0.0001881248154612415
10 0.4 -4.868157963997795 0.000251980144693777 0.0001884879771429164
11 0.44 -5.3372699403189 0.0002512158022012864 0.0001889896850786739
12 0.48 -5.760755605112678 0.0002501644027416894 0.0001896760714429941
13 0.52 -6.138125956692138 0.0002487530313743606 0.0001902979600430593
14 0.5600000000000001 -6.470650991985019 0.0002471500690712725 0.0001908992012949267
15 0.6 -6.760686446205878 0.0002453794270941053 0.0001914707019244364
16 0.64 -7.01108954008152 0.0002434643914918131 0.0001919307096328426
17 0.68 -7.224711244346589 0.0002414611480596828 0.000192196543205831
18 0.72 -7.404113370750419 0.0002394228367378348 0.0001923353038954464
19 0.76 -7.551564219305535 0.0002374735828950657 0.0001924996783336804
20 0.8 -7.669156615913484 0.0002356701799718862 0.0001925706707511089
21 0.84 -7.758799921158966 0.000233975944942702 0.0001923860923530315
22 0.88 -7.822462807146538 0.000232461785744117 0.0001921716819648586
23 0.92 -7.862079040729918 0.0002312135495095988 0.0001921380372961314
24 0.96 -7.879646545403557 0.000230205573927408 0.0001921110566457472
25 1 -7.876931769519488 0.0002293433412306988 0.0001918410770983835
26 1.04 -7.855922352969724 0.0002287258033852314 0.0001915061689047143
27 1.08 -7.818369914411412 0.0002283675823226602 0.000191287019625397
28 1.12 -7.765763536850215 0.0002279264520764112 0.0001908597990334636
29 1.16 -7.699505487539883 0.0002273464458943505 0.00019009022976574
30 1.2 -7.62124316360169 0.0002268070349853368 0.0001891640830001202
31 1.24 -7.532910950212135 0.0002264234614181059 0.000188272356058411
32 1.28 -7.436482937981673 0.0002259912779859249 0.0001872508295983431
33 1.32 -7.333460902974681 0.0002254495217723778 0.0001860514359958676
34 1.36 -7.225292370716532 0.0002250481835992779 0.0001849457082502555
35 1.4 -7.113214646377597 0.0002248618761838196 0.0001840381128773385
36 1.44 -6.998381456801632 0.0002246347225541833 0.0001831039412861947
37 1.48 -6.881768888304962 0.0002243701765203211 0.000182176881756552
38 1.52 -6.764070272053303 0.0002242620489742204 0.0001814612328968733
39 1.56 -6.64574864607337 0.0002243257734487101 0.0001809303247383243
40 1.6 -6.527265742124911 0.000224331135608401 0.0001802994458346239
41 1.64 -6.409319020231295 0.0002243268315586087 0.0001796325817678027
42 1.68 -6.292861917168696 0.0002245216096488028 0.0001791852329726091
43 1.72 -6.178800759403431 0.0002248003327746009 0.0001788320622771905
44 1.76 -6.067566152450632 0.0002249001814924355 0.000178266105893497
45 1.8 -5.959094284468093 0.0002249362531880763 0.0001775881835468134
46 1.84 -5.853421634180583 0.0002251880691766941 0.0001770936026866308
47 1.88 -5.751086973260347 0.0002254413514722403 0.0001765765815387725
48 1.92 -5.653309858910069 0.0002255468593419212 0.0001758732301036363
49 1.96 -5.561224870134653 0.0002257446896674772 0.0001752231598197854
50 2 -5.475681558209245 0.0002260729224146991 0.0001747164284724409
51 2.04 -5.397102965159981 0.0002265437125924303 0.0001744236988815713
52 2.08 -5.325554189304031 0.0002268238030928499 0.0001740128841102638
53 2.12 -5.261003434162022 0.0002271100083847645 0.0001736565375718849
54 2.16 -5.203568312963801 0.0002276024564887251 0.0001735757904258381
55 2.2 -5.153507047608253 0.0002280285123463675 0.0001735457179753498
56 2.24 -5.110939695026566 0.0002283329537555809 0.0001735150369434242
57 2.28 -5.07587512584047 0.000228570584343438 0.0001734966714509044
58 2.32 -5.048058041486657 0.0002289169448337202 0.0001736221757282859
59 2.36 -5.027159389786754 0.0002292797113280035 0.000173762600974231
60 2.4 -5.012861996459494 0.0002294846874738689 0.0001737257885014097
61 2.44 -5.004892279358516 0.0002296171189121491 0.0001736225687430063
62 2.48 -5.003010503404412 0.0002297936945077101 0.0001736080717795249
63 2.52 -5.007006995644701 0.0002300443882824453 0.0001737115413914531
64 2.56 -5.016691314730992 0.000230162941146993 0.0001737006267791169
65 2.6 -5.031879188103506 0.0002300656579426946 0.0001734861698199164
66 2.64 -5.052377877328253 0.0002300522927548765 0.000173394304441505
67 2.68 -5.07796647950815 0.0002301880278878876 0.0001735308676552343
68 2.72 -5.108381104148994 0.0002301944361497713 0.0001736413444843944
69 2.76 -5.143324630063602 0.0002300256410726126 0.0001736685347549249
70 2.8 -5.182494892498689 0.0002299157695443354 0.000173813199116205
71 2.84 -5.225587336211501 0.0002299742558264567 0.0001741349752189336
72 2.88 -5.272235928997749 0.0002300298838866255 0.0001744075678913125
73 2.92 -5.321973991484904 0.0002299637882130881 0.0001745160508310364
74 2.96 -5.374233897756217 0.0002299176544669985 0.0001746869210686184
75 3 -5.428386288045419 0.0002300336588538623 0.0001751391189054741
76 3.04 -5.483907863249711 0.0002301170444121551 0.0001756574019964153
77 3.08 -5.540487959458718 0.0002298680996515345 0.0001758689790678349
78 3.12 -5.597939218570884 0.0002295383798263373 0.0001759915737530965
79 3.16 -5.656095765152583 0.0002295054527247584 0.0001764096483496087
80 3.2 -5.714705437801526 0.000229406687100064 0.0001767706222405205
81 3.24 -5.77337482155117 0.0002289927840026829 0.0001768610610559814
82 3.28 -5.831642029980382 0.0002285575949157035 0.0001770326693030707
83 3.32 -5.889147418726039 0.0002283567301824178 0.0001775285689378868
84 3.36 -5.945761938589002 0.0002282414342548198 0.0001780912636753084
85 3.4 -6.001600349676114 0.0002278303127118175 0.0001782560168607675
