# iter time_au total_energy_Ha excess_energy_Ha
0 0 -389.5072579597111 -389.5472579597111
1 0.04 -389.5042517482353 -389.5442517482354
2 0.08 -389.4947062094828 -389.5347062094829
3 0.12 -389.4803701451549 -389.5203701451549
4 0.16 -389.4618843225517 -389.5018843225517
5 0.2 -389.4407004259364 -389.4807004259364
6 0.24 -389.4166310455233 -389.4566310455234
7 0.28 -389.3909716841796 -389.4309716841796
8 0.32 -389.3646694240006 -389.4046694240006
9 0.36 -389.3385967990854 -389.3785967990854
10 0.4 -389.3134295622318 -389.3534295622318
11 0.44 -389.2897294725057 -389.3297294725057
12 0.48 -389.2677530827607 -389.3077530827607
13 0.52 -389.2477002373637 -389.2877002373638
14 0.5600000000000001 -389.2297261886119 -389.269726188612
15 0.6 -389.2138363345769 -389.2538363345769
16 0.64 -389.200046261494 -389.240046261494
17 0.68 -389.1882219968517 -389.2282219968517
18 0.72 -389.1782236234492 -389.2182236234492
19 0.76 -389.1698875553064 -389.2098875553065
20 0.8 -389.163276692161 -389.203276692161
21 0.84 -389.1578889114263 -389.1978889114263
22 0.88 -389.1538653874423 -389.1938653874423
23 0.92 -389.1511075181863 -389.1911075181864
24 0.96 -389.149804182829 -389.189804182829
25 1 -389.1492947339959 -389.1892947339959
26 1.04 -389.1498188246716 -389.1898188246716
27 1.08 -389.1512309090639 -389.1912309090639
28 1.12 -389.1534630756919 -389.1934630756919
29 1.16 -389.1564800058443 -389.1964800058443
30 1.2 -389.1601656804988 -389.2001656804989
31 1.24 -389.1643995499215 -389.2043995499216
32 1.28 -389.169410975172 -389.209410975172
33 1.32 -389.1745654761301 -389.2145654761301
34 1.36 -389.1800533484429 -389.2200533484429
35 1.4 -389.1858546606405 -389.2258546606406
36 1.44 -389.1919016916133 -389.2319016916134
37 1.48 -389.1981758417244 -389.2381758417244
38 1.52 -389.2046189329795 -389.2446189329796
39 1.56 -389.2112476426624 -389.2512476426625
40 1.6 -389.2179727921234 -389.2579727921234
41 1.64 -389.2247688927614 -389.2647688927614
42 1.68 -389.2316042550248 -389.2716042550248
43 1.72 -389.2384088456308 -389.2784088456308
44 1.76 -389.2451941495001 -389.2851941495001
45 1.8 -389.2519060533308 -389.2919060533308
46 1.84 -389.2588904994163 -389.2988904994163
47 1.88 -389.2651884268136 -389.3051884268136
48 1.92 -389.2714199307335 -389.3114199307335
49 1.96 -389.277431447444 -389.317431447444
50 2 -389.2831495075367 -389.3231495075367
51 2.04 -389.2885680446122 -389.3285680446122
52 2.08 -389.2937071117071 -389.3337071117071
53 2.12 -389.2984690443552 -389.3384690443552
54 2.16 -389.3028919877982 -389.3428919877982
55 2.2 -389.3071134390098 -389.3471134390098
56 2.24 -389.310674345798 -389.350674345798
57 2.28 -389.3140453691194 -389.3540453691194
58 2.32 -389.3170483289636 -389.3570483289636
59 2.36 -389.3197171706518 -389.3597171706518
60 2.4 -389.3220014855907 -389.3620014855907
61 2.44 -389.3239730125646 -389.3639730125646
62 2.48 -389.3256108635989 -389.3656108635989
63 2.52 -389.3269150425639 -389.3669150425639
64 2.56 -389.3279177382632 -389.3679177382632
65 2.6 -389.3285578273443 -389.3685578273443
66 2.64 -389.3289459127262 -389.3689459127262
67 2.68 -389.3290272232774 -389.3690272232774
68 2.72 -389.328819034855 -389.368819034855
69 2.76 -389.328344783019 -389.368344783019
70 2.8 -389.3276192622556 -389.3676192622556
71 2.84 -389.3266708026104 -389.3666708026104
72 2.88 -389.3253489507335 -389.3653489507336
73 2.92 -389.3239593514834 -389.3639593514835
74 2.96 -389.3223859183062 -389.3623859183062
75 3 -389.3206514215975 -389.3606514215975
76 3.04 -389.3186759674066 -389.3586759674067
77 3.08 -389.3167032015698 -389.3567032015698
78 3.12 -389.3146590494264 -389.3546590494264
79 3.16 -389.312491440839 -389.3524914408391
80 3.2 -389.3102626252189 -389.3502626252189
81 3.24 -389.3079881340543 -389.3479881340543
82 3.28 -389.3056481809999 -389.3456481809999
83 3.32 -389.3032878192763 -389.3432878192763
84 3.36 -389.3008882461062 -389.3408882461063
85 3.4 -389.2985034548153 -389.3385034548153
86 3.44 -389.2960614827105 -389.3360614827105
87 3.48 -389.2937497017386 -389.3337497017387
88 3.52 -389.2916189054378 -389.3316189054378
89 3.56 -389.2891947278155 -389.3291947278155
90 3.6 -389.2867600600556 -389.3267600600556
91 3.64 -389.2843597458128 -389.3243597458128
92 3.68 -389.2820065049485 -389.3220065049485
93 3.72 -389.2797460966434 -389.3197460966434
94 3.76 -389.2776149162434 -389.3176149162434
95 3.8 -389.2755223550516 -389.3155223550517
96 3.84 -389.2733029162962 -389.3133029162962
97 3.88 -389.2712994943226 -389.3112994943227
98 3.92 -389.269550476989 -389.309550476989
99 3.96 -389.2678755013241 -389.3078755013241
100 4 -389.2663745100679 -389.3063745100679
101 4.04 -389.2649932370882 -389.3049932370882
102 4.08 -389.263747593807 -389.303747593807
103 4.12 -389.262659941369 -389.302659941369
104 4.16 -389.2617687795138 -389.3017687795138
105 4.2 -389.2610023560694 -389.3010023560694
106 4.24 -389.2603167344828 -389.3003167344828
107 4.28 -389.2597502354812 -389.2997502354812
108 4.32 -389.2593567781307 -389.2993567781307
109 4.36 -389.2588822278519 -389.2988822278519
110 4.4 -389.2584031680699 -389.2984031680699
111 4.44 -389.2578869453184 -389.2978869453185
112 4.48 -389.2572155894448 -389.2972155894448
113 4.52 -389.2569431578428 -389.2969431578429
114 4.56 -389.2563941049834 -389.2963941049834
115 4.600000000000001 -389.2558531462257 -389.2958531462257
116 4.64 -389.2553497365909 -389.2953497365909
117 4.68 -389.2548374465668 -389.2948374465668
118 4.72 -389.2544039395723 -389.2944039395723
119 4.76 -389.2539688387529 -389.293968838753
120 4.8 -389.253566216591 -389.293566216591
121 4.84 -389.2531842355269 -389.293184235527
122 4.88 -389.2527839257465 -389.2927839257466
123 4.92 -389.252365495347 -389.292365495347
124 4.96 -389.2518820822309 -389.2918820822309
125 5 -389.2513451200133 -389.2913451200133
126 5.04 -389.2507639597208 -389.2907639597208
127 5.08 -389.2500836178608 -389.2900836178608
128 5.12 -389.2495053761012 -389.2895053761012
129 5.16 -389.2485889523407 -389.2885889523407
130 5.2 -389.2478700205593 -389.2878700205593
131 5.24 -389.2471760642518 -389.2871760642518
132 5.28 -389.2466056756393 -389.2866056756394
133 5.32 -389.2461357075397 -389.2861357075397
134 5.36 -389.2457923670503 -389.2857923670503
135 5.4 -389.2455361968308 -389.2855361968308
136 5.44 -389.2454313709526 -389.2854313709527
137 5.48 -389.2453839618323 -389.2853839618323
138 5.52 -389.2450849686755 -389.2850849686756
139 5.56 -389.2451124831038 -389.2851124831038
140 5.600000000000001 -389.2451490387598 -389.2851490387599
141 5.64 -389.245184637012 -389.285184637012
142 5.68 -389.2452125738609 -389.2852125738609
143 5.72 -389.2451953240804 -389.2851953240805
144 5.76 -389.2451650729331 -389.2851650729331
145 5.8 -389.2451186861821 -389.2851186861822
146 5.84 -389.245055703823 -389.285055703823
147 5.88 -389.2449108358118 -389.2849108358118
148 5.92 -389.2447252725826 -389.2847252725826
149 5.96 -389.2444938796241 -389.2844938796242
150 6 -389.2441726703651 -389.2841726703651
151 6.04 -389.2438549868314 -389.2838549868314
152 6.08 -389.2434900488973 -389.2834900488974
153 6.12 -389.2428269445724 -389.2828269445724
154 6.16 -389.2424813430569 -389.2824813430569
155 6.2 -389.2422050132731 -389.2822050132731
156 6.24 -389.2419607618264 -389.2819607618264
157 6.28 -389.2418433947022 -389.2818433947022
158 6.32 -389.2417781897835 -389.2817781897836
159 6.36 -389.2417159851269 -389.2817159851269
160 6.4 -389.2414001491268 -389.2814001491269
161 6.44 -389.2412751207846 -389.2812751207846
162 6.48 -389.2409847185037 -389.2809847185038
163 6.52 -389.2405076807478 -389.2805076807478
164 6.56 -389.2398654115309 -389.2798654115309
165 6.600000000000001 -389.2388566928983 -389.2788566928983
166 6.640000000000001 -389.2378542570757 -389.2778542570757
167 6.68 -389.236819983973 -389.276819983973
168 6.72 -389.2358183258506 -389.2758183258507
169 6.76 -389.2349166225911 -389.2749166225911
170 6.8 -389.2340980955246 -389.2740980955247
171 6.84 -389.2332607603978 -389.2732607603978
172 6.88 -389.2322724201069 -389.272272420107
173 6.92 -389.2310407692515 -389.2710407692516
174 6.96 -389.229394637914 -389.269394637914
175 7 -389.2272686544129 -389.2672686544129
176 7.04 -389.2246636060238 -389.2646636060238
177 7.08 -389.2214468962769 -389.2614468962769
178 7.12 -389.217740209706 -389.257740209706
179 7.16 -389.2133465987361 -389.2533465987361
180 7.2 -389.209327036482 -389.249327036482
181 7.24 -389.2055218082659 -389.2455218082659
182 7.28 -389.2024215922066 -389.2424215922067
183 7.32 -389.1997196332823 -389.2397196332823
184 7.36 -389.198823764503 -389.238823764503
185 7.4 -389.1995663885379 -389.2395663885379
186 7.44 -389.2012924632125 -389.2412924632125
187 7.48 -389.2037269832171 -389.2437269832171
188 7.52 -389.2070848145634 -389.2470848145634
189 7.56 -389.210114977364 -389.250114977364
190 7.600000000000001 -389.2127119289479 -389.2527119289479
191 7.640000000000001 -389.214651009294 -389.254651009294
192 7.68 -389.2159368588665 -389.2559368588665
193 7.72 -389.2165730145999 -389.2565730146
194 7.76 -389.2167156585759 -389.256715658576
195 7.8 -389.2165327326704 -389.2565327326705
196 7.84 -389.2160441044489 -389.2560441044489
197 7.88 -389.2154946866675 -389.2554946866675
198 7.92 -389.2148568908365 -389.2548568908365
199 7.96 -389.2142309818181 -389.2542309818181
200 8 -389.2136241481244 -389.2536241481244
201 8.040000000000001 -389.2130417542363 -389.2530417542363
202 8.08 -389.2124548037654 -389.2524548037654
203 8.120000000000001 -389.2120351036979 -389.2520351036979
204 8.16 -389.2115598526536 -389.2515598526536
205 8.199999999999999 -389.2111694179478 -389.2511694179478
206 8.24 -389.2109895884514 -389.2509895884514
207 8.279999999999999 -389.211340830727 -389.251340830727
208 8.32 -389.2116356834401 -389.2516356834402
209 8.359999999999999 -389.2121560822372 -389.2521560822373
210 8.4 -389.2129378719095 -389.2529378719095
211 8.44 -389.213849691712 -389.253849691712
212 8.48 -389.2148665752865 -389.2548665752865
213 8.52 -389.2159618427727 -389.2559618427727
214 8.56 -389.2170599651548 -389.2570599651548
215 8.6 -389.2183691012099 -389.2583691012099
216 8.640000000000001 -389.2193555116379 -389.2593555116379
217 8.68 -389.2202586543132 -389.2602586543132
218 8.720000000000001 -389.2210757277954 -389.2610757277955
219 8.76 -389.2218515879493 -389.2618515879493
220 8.800000000000001 -389.2226634425786 -389.2626634425786
221 8.84 -389.2235291985071 -389.2635291985071
222 8.880000000000001 -389.2244763662242 -389.2644763662242
223 8.92 -389.2255505969014 -389.2655505969014
224 8.960000000000001 -389.2268671447291 -389.2668671447291
225 9 -389.2282624468087 -389.2682624468087
226 9.040000000000001 -389.2298725579602 -389.2698725579602
227 9.08 -389.2315602246354 -389.2715602246354
228 9.120000000000001 -389.2333428704724 -389.2733428704724
229 9.16 -389.2355113252595 -389.2755113252595
230 9.200000000000001 -389.2370809530136 -389.2770809530136
231 9.24 -389.2386513763375 -389.2786513763376
232 9.279999999999999 -389.2400712112918 -389.2800712112918
233 9.32 -389.2412809995952 -389.2812809995953
234 9.359999999999999 -389.2423305939058 -389.2823305939058
235 9.4 -389.2431236882657 -389.2831236882657
236 9.44 -389.243810455934 -389.283810455934
237 9.48 -389.2443335413489 -389.2843335413489
238 9.52 -389.2448832846884 -389.2848832846884
239 9.56 -389.2450888349471 -389.2850888349471
240 9.6 -389.2453844140315 -389.2853844140315
241 9.640000000000001 -389.2456105503032 -389.2856105503033
242 9.68 -389.2458388532493 -389.2858388532493
243 9.720000000000001 -389.2460152026747 -389.2860152026747
244 9.76 -389.2461719685525 -389.2861719685525
245 9.800000000000001 -389.2463121060762 -389.2863121060762
246 9.84 -389.2464338271863 -389.2864338271863
247 9.880000000000001 -389.2465164111204 -389.2865164111204
248 9.92 -389.2466217411678 -389.2866217411678
249 9.960000000000001 -389.2467331623892 -389.2867331623892
250 10 -389.2468296572093 -389.2868296572094
251 10.04 -389.2469547099701 -389.2869547099701
252 10.08 -389.2471072072193 -389.2871072072193
253 10.12 -389.2473004172109 -389.2873004172109
254 10.16 -389.2475325214856 -389.2875325214856
255 10.2 -389.2477617894488 -389.2877617894488
256 10.24 -389.2482377402991 -389.2882377402992
257 10.28 -389.2488941140903 -389.2888941140903
258 10.32 -389.2497515346078 -389.2897515346078
259 10.36 -389.2506471377785 -389.2906471377785
260 10.4 -389.2518612346153 -389.2918612346153
261 10.44 -389.2532723023173 -389.2932723023173
262 10.48 -389.2548417756803 -389.2948417756804
263 10.52 -389.256576760608 -389.296576760608
264 10.56 -389.2584063949795 -389.2984063949795
265 10.6 -389.2604202783265 -389.3004202783265
266 10.64 -389.2624817190815 -389.3024817190815
267 10.68 -389.2645790735498 -389.3045790735499
268 10.72 -389.2667058800546 -389.3067058800546
269 10.76 -389.2686855352325 -389.3086855352325
270 10.8 -389.2706946463666 -389.3106946463666
271 10.84 -389.2726201339217 -389.3126201339217
272 10.88 -389.2740583650227 -389.3140583650227
273 10.92 -389.2752398272748 -389.3152398272749
274 10.96 -389.2761404339338 -389.3161404339338
275 11 -389.2768134213391 -389.3168134213391
276 11.04 -389.2772107877156 -389.3172107877156
277 11.08 -389.2773756763704 -389.3173756763704
278 11.12 -389.2772674717419 -389.3172674717419
279 11.16 -389.2765814651681 -389.3165814651681
280 11.2 -389.2760666231619 -389.3160666231619
281 11.24 -389.2752027128105 -389.3152027128105
282 11.28 -389.2743982191162 -389.3143982191162
283 11.32 -389.2735400809107 -389.3135400809107
284 11.36 -389.2727005575122 -389.3127005575122
285 11.4 -389.2718704295539 -389.3118704295539
286 11.44 -389.2711920728868 -389.3111920728869
287 11.48 -389.2706164385438 -389.3106164385438
288 11.52 -389.2701598663848 -389.3101598663848
289 11.56 -389.269881331802 -389.309881331802
290 11.6 -389.2696866139375 -389.3096866139375
291 11.64 -389.2697593411944 -389.3097593411944
292 11.68 -389.2697182128836 -389.3097182128836
293 11.72 -389.2696537659293 -389.3096537659293
294 11.76 -389.2695656553266 -389.3095656553266
295 11.8 -389.2693941731357 -389.3093941731357
296 11.84 -389.2693208772498 -389.3093208772498
297 11.88 -389.2689051477221 -389.3089051477221
298 11.92 -389.2682751635355 -389.3082751635355
299 11.96 -389.2674559846573 -389.3074559846573
300 12 -389.2663263793301 -389.3063263793301
301 12.04 -389.2648551540459 -389.3048551540459
302 12.08 -389.2630759676211 -389.3030759676211
303 12.12 -389.260899544107 -389.300899544107
304 12.16 -389.2583804499105 -389.2983804499106
305 12.2 -389.2556054980902 -389.2956054980903
306 12.24 -389.2526143612553 -389.2926143612553
307 12.28 -389.249530625032 -389.289530625032
308 12.32 -389.2464102585465 -389.2864102585465
309 12.36 -389.2433527525563 -389.2833527525563
310 12.4 -389.2404455341591 -389.2804455341591
311 12.44 -389.2378986440662 -389.2778986440662
312 12.48 -389.2354709403817 -389.2754709403818
313 12.52 -389.2332459377539 -389.2732459377539
314 12.56 -389.2315047888912 -389.2715047888912
315 12.6 -389.2301785215632 -389.2701785215632
316 12.64 -389.2292337192881 -389.2692337192881
317 12.68 -389.2286607745953 -389.2686607745953
318 12.72 -389.2284227965678 -389.2684227965678
319 12.76 -389.2284932737102 -389.2684932737102
320 12.8 -389.2288015302828 -389.2688015302828
321 12.84 -389.2293843828286 -389.2693843828287
322 12.88 -389.229446903339 -389.269446903339
323 12.92 -389.2299688615072 -389.2699688615073
324 12.96 -389.2303807114213 -389.2703807114213
325 13 -389.2306671802891 -389.2706671802891
326 13.04 -389.2307879174517 -389.2707879174517
327 13.08 -389.2307049631509 -389.2707049631509
328 13.12 -389.2304864853384 -389.2704864853384
329 13.16 -389.2300977548151 -389.2700977548151
330 13.2 -389.2296343983538 -389.2696343983538
331 13.24 -389.2290757846877 -389.2690757846877
332 13.28 -389.228472237886 -389.268472237886
333 13.32 -389.2277776609699 -389.2677776609699
334 13.36 -389.2271218142798 -389.2671218142798
335 13.4 -389.2264272074379 -389.2664272074379
336 13.44 -389.2254265367683 -389.2654265367684
337 13.48 -389.2247138127499 -389.2647138127499
338 13.52 -389.2240037279793 -389.2640037279793
339 13.56 -389.2232881476674 -389.2632881476674
340 13.6 -389.2225737017084 -389.2625737017084
341 13.64 -389.2219230615974 -389.2619230615974
342 13.68 -389.2212585404897 -389.2612585404897
343 13.72 -389.2204085243649 -389.2604085243649
344 13.76 -389.2199573344328 -389.2599573344328
345 13.8 -389.2196161965815 -389.2596161965815
346 13.84 -389.219418044454 -389.259418044454
347 13.88 -389.2194208528144 -389.2594208528145
348 13.92 -389.2195189708019 -389.2595189708019
349 13.96 -389.220047332424 -389.260047332424
350 14 -389.2209456213285 -389.2609456213285
351 14.04 -389.2222082352685 -389.2622082352685
352 14.08 -389.2238654808664 -389.2638654808664
353 14.12 -389.2257981994395 -389.2657981994395
354 14.16 -389.2278962299642 -389.2678962299643
355 14.2 -389.2299897565972 -389.2699897565972
356 14.24 -389.2319400537728 -389.2719400537728
357 14.28 -389.2335422628088 -389.2735422628088
358 14.32 -389.2346656783375 -389.2746656783375
359 14.36 -389.2351709432337 -389.2751709432337
360 14.4 -389.2349781964291 -389.2749781964291
361 14.44 -389.2339871443173 -389.2739871443173
362 14.48 -389.2320279686463 -389.2720279686463
363 14.52 -389.229990835892 -389.269990835892
364 14.56 -389.2280847089327 -389.2680847089327
365 14.6 -389.2260725567302 -389.2660725567302
366 14.64 -389.2243533397718 -389.2643533397718
367 14.68 -389.2239785873793 -389.2639785873793
368 14.72 -389.2251095003111 -389.2651095003112
369 14.76 -389.2269773259112 -389.2669773259112
370 14.8 -389.2293213962774 -389.2693213962774
371 14.84 -389.2325226905124 -389.2725226905124
372 14.88 -389.235392609094 -389.275392609094
373 14.92 -389.2376992276367 -389.2776992276367
374 14.96 -389.2393930785368 -389.2793930785368
375 15 -389.2403935039302 -389.2803935039303
376 15.04 -389.2407986041194 -389.2807986041194
377 15.08 -389.2408840291276 -389.2808840291277
378 15.12 -389.2407934322802 -389.2807934322802
379 15.16 -389.2407394662649 -389.2807394662649
380 15.2 -389.2408160316338 -389.2808160316338
381 15.24 -389.2411382605165 -389.2811382605165
382 15.28 -389.2417354723449 -389.281735472345
383 15.32 -389.242551987135 -389.282551987135
384 15.36 -389.2434419351196 -389.2834419351196
385 15.4 -389.2442833341826 -389.2842833341826
386 15.44 -389.2449783300719 -389.284978330072
387 15.48 -389.2451394973215 -389.2851394973215
388 15.52 -389.2447895136579 -389.2847895136579
389 15.56 -389.243864808446 -389.283864808446
390 15.6 -389.2422865448724 -389.2822865448724
391 15.64 -389.2404728142497 -389.2804728142497
392 15.68 -389.2379647216309 -389.2779647216309
393 15.72 -389.2352962389178 -389.2752962389179
394 15.76 -389.2326159591172 -389.2726159591172
395 15.8 -389.2300639714676 -389.2700639714677
396 15.84 -389.2278558686567 -389.2678558686567
397 15.88 -389.2259305918292 -389.2659305918292
398 15.92 -389.2246337926126 -389.2646337926126
399 15.96 -389.2232725031331 -389.2632725031331
400 16 -389.2221081125616 -389.2621081125616
401 16.04 -389.221032762109 -389.261032762109
402 16.08 -389.220099766947 -389.260099766947
403 16.12 -389.2192101144026 -389.2592101144026
404 16.16 -389.2184130907987 -389.2584130907987
405 16.2 -389.217762661401 -389.257762661401
406 16.24 -389.2172528146349 -389.257252814635
407 16.28 -389.2169199344427 -389.2569199344427
408 16.32 -389.2167614654231 -389.2567614654232
409 16.36 -389.2168044700817 -389.2568044700817
410 16.4 -389.2170404417359 -389.257040441736
411 16.44 -389.217560090067 -389.257560090067
412 16.48 -389.218709116359 -389.258709116359
413 16.52 -389.2195067783042 -389.2595067783042
414 16.56 -389.2207241216913 -389.2607241216913
415 16.6 -389.2220773449424 -389.2620773449424
416 16.64 -389.2236543832412 -389.2636543832413
417 16.68 -389.2253970616909 -389.2653970616909
418 16.72 -389.2272915901952 -389.2672915901952
419 16.76 -389.2293118927864 -389.2693118927864
420 16.8 -389.2314374477979 -389.271437447798
421 16.84 -389.2337780403927 -389.2737780403928
422 16.88 -389.2360138867328 -389.2760138867328
423 16.92 -389.2381047366841 -389.2781047366841
424 16.96 -389.2403635565702 -389.2803635565702
425 17 -389.2426160835299 -389.2826160835299
426 17.04 -389.2448846079576 -389.2848846079576
427 17.08 -389.2472231719057 -389.2872231719057
428 17.12 -389.2496747502459 -389.2896747502459
429 17.16 -389.2522576588445 -389.2922576588445
430 17.2 -389.2550422108104 -389.2950422108104
431 17.24 -389.2580531967683 -389.2980531967684
432 17.28 -389.2612534502375 -389.3012534502375
433 17.32 -389.2646173104264 -389.3046173104264
434 17.36 -389.2680866113444 -389.3080866113444
435 17.4 -389.2715592510335 -389.3115592510335
436 17.44 -389.2750119891086 -389.3150119891087
437 17.48 -389.2782918500072 -389.3182918500073
438 17.52 -389.2812210307531 -389.3212210307531
439 17.56 -389.2840648358738 -389.3240648358738
440 17.6 -389.2866187075645 -389.3266187075645
441 17.64 -389.2888681061838 -389.3288681061838
442 17.68 -389.2906186221409 -389.3306186221409
443 17.72 -389.2921672825594 -389.3321672825594
444 17.76 -389.2933465004348 -389.3333465004348
445 17.8 -389.2941643598774 -389.3341643598774
446 17.84 -389.2946298648968 -389.3346298648968
447 17.88 -389.2948250192244 -389.3348250192245
448 17.92 -389.2947447924295 -389.3347447924295
449 17.96 -389.2944214559157 -389.3344214559157
450 18 -389.2938717488644 -389.3338717488645
451 18.04 -389.2931289666487 -389.3331289666487
452 18.08 -389.292202159335 -389.3322021593351
453 18.12 -389.2913204349062 -389.3313204349062
454 18.16 -389.2905015322348 -389.3305015322348
455 18.2 -389.2894321218912 -389.3294321218912
456 18.24 -389.2883724241457 -389.3283724241457
457 18.28 -389.2874048611157 -389.3274048611157
458 18.32 -389.2865771703274 -389.3265771703274
459 18.36 -389.2858900532447 -389.3258900532447
460 18.4 -389.2853422953278 -389.3253422953279
461 18.44 -389.2848428330609 -389.3248428330609
462 18.48 -389.2843714448399 -389.3243714448399
463 18.52 -389.2835959736079 -389.3235959736079
464 18.56 -389.2828717801164 -389.3228717801164
465 18.6 -389.282094311605 -389.322094311605
466 18.64 -389.2810854573289 -389.3210854573289
467 18.68 -389.2798358684195 -389.3198358684195
468 18.72 -389.2782790765567 -389.3182790765567
469 18.76 -389.27641678675 -389.31641678675
470 18.8 -389.2743288247318 -389.3143288247318
