# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  laplacian                                         	        1680704	     92.75	     85.28
  fft_forward_3d                                    	        1854898	     70.99	     70.99
  shift_const_factor                                	        2048000	     67.95	     67.95
  fft_backward_3d                                   	        1724402	     65.34	     65.34
  scalar_potential_add                              	        1668864	     55.53	     55.53
  to_fourier                                        	        1854898	    133.72	     53.66
  allocate                                          	       12197618	     52.92	     52.92
  to_real                                           	        1724402	    144.22	     51.86
  projector::gather                                 	        1826368	     57.10	     49.11
  projector_gemm_1                                  	        1826368	     44.48	     44.48
  projector_all::apply                              	        1683072	     43.93	     43.93
  laplacian_expectation_value                       	         130496	     42.82	     42.22
  overlap_diagonal(2arg)                            	         462528	     43.10	     38.56
  hamiltonian_real                                  	        1668864	    643.26	     36.83
  projector_gemm_2                                  	        1695872	     27.60	     27.60
  exponential_in_place                              	         256000	    449.21	     24.55
  multiply_by_coefficients                          	        1708672	     30.64	     23.75
  occ_sum                                           	         260992	     22.44	     22.44
  fft_normalize                                     	        1716360	     18.81	     18.81
  exponential_2_for_1                               	         128000	    248.82	     16.90
  energy::calculate                                 	           2039	    195.56	      6.91
  density::calculate                                	           6039	      6.78	      6.67
  etrs                                              	           2000	    744.53	      6.38
  non_local_energy                                  	         130496	     13.62	      6.16
  evaluate_functional                               	          12080	     11.14	      5.86
  shift                                             	         142336	      4.59	      4.59
  matrix::scatter                                   	           7232	      4.37	      4.37
  etrs:restore                                      	           2000	      4.10	      4.10
  energy::calculate::eigenvalues                    	         130496	     89.92	      3.47
  projector::build                                  	           4004	      3.33	      3.33
  update_hamiltonian                                	           6040	     18.39	      2.55
  steepest_descent                                  	           2368	     24.90	      2.28
  cuda_zpotrf                                       	           2432	      2.20	      2.20
  diagonalize_raw                                   	           2368	      2.13	      2.11
  matrix::gather                                    	          12032	      2.05	      2.05
  divergence                                        	          24160	      4.46	      1.98
  spherical_grid::initialize                        	          12014	      3.43	      1.94
  gradient                                          	          37680	      6.25	      1.78
  deallocate                                        	       15032843	      1.66	      1.66
  current_density                                   	            200	      7.43	      1.46
  scalar_potential                                  	          14208	      1.40	      1.33
  scf_iteration                                     	             37	     38.33	      1.32
  sum(1arg)                                         	          28435	      1.21	      1.21
  overlap_diagonal_normalized                       	          11840	      1.28	      1.15
  operations::rotate_trs                            	           2432	      2.49	      1.12
  interaction_energy                                	           2002	      1.19	      1.12
  constructor                                       	           2002	      1.02	      1.00
  spherical_grid::reextent                          	          12014	      0.92	      0.86
  atomic_potential::local_potential                 	           2002	      1.81	      0.81
  to_real_array                                     	        1724402	     84.83	      0.68
  kinetic_expectation_value                         	         260992	     96.63	      0.66
  position_commutator_gemm_1                        	          25600	      0.60	      0.60
  total                                             	          18121	      0.69	      0.59
  to_fourier_array                                  	        1854898	     71.52	      0.53
  spherical_grid::compact                           	          12014	      0.52	      0.52
  inq_environment                                   	              1	    984.65	      0.43
  allocate_with_hint                                	        2835225	      0.41	      0.41
  preconditioner_apply                              	          11840	      0.40	      0.40
  position_commutator_gemm_2                        	          25600	      0.40	      0.40
  laplacian_add                                     	          14208	      0.40	      0.40
  poisson(real)                                     	           8042	      1.73	      0.38
  overlap(2arg)                                     	           4800	      0.40	      0.37
  hamiltonian_fourier                               	          14208	      6.60	      0.37
  operations::rotate(2arg)                          	           4800	      1.74	      0.36
  position_commutator::gather                       	          12800	      0.32	      0.32
  integral_product                                  	          24160	      1.46	      0.32
  fill(field_set)                                   	          18326	      0.31	      0.31
  update_projectors                                 	           2002	      5.58	      0.28
  compute_nvxc                                      	           6040	      0.27	      0.27
  save_array                                        	            513	      0.23	      0.23
  poisson_apply_kernel                              	           8042	      0.13	      0.13
  periodic_replicas                                 	          16018	      0.11	      0.11
  subspace_diagonalization                          	           2368	      7.74	      0.11
  etrs:save                                         	         128000	      0.11	      0.11
  save(field_set)                                   	             65	      0.32	      0.10
  mgga_term                                         	        1683072	      0.10	      0.10
  update_ionic_fields                               	           2003	      4.73	      0.09
  orthogonalize                                     	           2432	      7.13	      0.09
  ionic_density                                     	           2002	      1.78	      0.08
  time_step                                         	           2000	    943.97	      0.07
  state_convergence                                 	             37	      0.06	      0.06
  integral_sum_absdiff                              	           4037	      0.34	      0.06
  preconditioner_reduction                          	          11840	      2.03	      0.05
  pseudopod::filter                                 	              5	      0.05	      0.05
  overlap_diagonal(1arg)                            	         142336	     12.79	      0.05
  poisson_solve_3d                                  	           8042	      1.26	      0.02
  nlcc_density                                      	           2002	      0.06	      0.02
  broyden_extrapolation                             	             37	      0.02	      0.01
  electrons                                         	              1	      0.01	      0.01
  broyden_mixing                                    	             37	      0.03	      0.01
  pseudopod::pseudopotential                        	              1	      0.06	      0.01
  poisson(complex)                                  	           8042	      1.26	      0.00
  least_squares                                     	             36	      0.00	      0.00
  initial_guess                                     	              1	      0.41	      0.00
  save(array)                                       	             64	      0.01	      0.00
  operator()                                        	              1	     39.08	      0.00
  propagate                                         	              1	    944.07	      0.00
  normalize                                         	             38	      0.00	      0.00
  integral_partial_sum                              	             38	      0.00	      0.00
  overlap(1arg)                                     	           2432	      0.25	      0.00
  atomic_electronic_density                         	              1	      0.00	      0.00
  kpoint_index                                      	           2432	      0.00	      0.00
  mixing                                            	             37	      0.21	      0.00
  dipole                                            	              1	      0.00	      0.00
  integral                                          	            200	      0.01	      0.00
  reduce_nrm2                                       	             36	      0.00	      0.00
  atomic_potential                                  	              1	      0.06	      0.00
