# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  steepest_descent                                  	             46	      3.78	      0.79
  evaluate_functional                               	             96	      1.12	      0.75
  shift                                             	            277	      0.62	      0.62
  scalar_potential                                  	            276	      0.62	      0.62
  operations::rotate(2arg)                          	             93	      0.64	      0.61
  update_hamiltonian                                	             48	      1.88	      0.48
  inq_environment                                   	              1	      7.96	      0.42
  overlap_diagonal(2arg)                            	           1521	      0.37	      0.36
  divergence                                        	            192	      0.38	      0.33
  fft_forward_3d                                    	            655	      0.32	      0.32
  allocate                                          	          10791	      0.30	      0.30
  fft_backward_3d                                   	            608	      0.26	      0.26
  laplacian                                         	            323	      0.24	      0.23
  scalar_potential_add                              	             93	      0.22	      0.22
  laplacian_add                                     	            276	      0.21	      0.21
  preconditioner_apply                              	            230	      0.20	      0.20
  gradient                                          	             96	      0.20	      0.16
  scf_iteration                                     	             46	      6.52	      0.13
  overlap(2arg)                                     	             93	      0.12	      0.12
  matrix::scatter                                   	            140	      0.09	      0.09
  matrix::gather                                    	            233	      0.07	      0.07
  normalize                                         	             47	      0.08	      0.07
  overlap_diagonal_normalized                       	            230	      0.07	      0.07
  diagonalize_raw                                   	             46	      0.05	      0.05
  pseudopod::filter                                 	              5	      0.04	      0.04
  cuda_zpotrf                                       	             47	      0.04	      0.04
  projector_gemm_1                                  	            416	      0.04	      0.04
  projector_all::apply                              	            369	      0.03	      0.03
  broyden_extrapolation                             	             46	      0.03	      0.03
  to_fourier                                        	            655	      0.36	      0.02
  to_real                                           	            608	      0.31	      0.02
  projector::gather                                 	            416	      0.02	      0.02
  fft_normalize                                     	            559	      0.02	      0.02
  orthogonalize                                     	             47	      0.57	      0.02
  occ_sum                                           	             94	      0.02	      0.02
  operations::rotate_trs                            	             47	      0.35	      0.01
  multiply_by_coefficients                          	            369	      0.02	      0.01
  laplacian_expectation_value                       	             47	      0.01	      0.01
  poisson_apply_kernel                              	             49	      0.01	      0.01
  sum(1arg)                                         	            285	      0.01	      0.01
  poisson_solve_0d                                  	             49	      0.09	      0.01
  broyden_mixing                                    	             46	      0.04	      0.01
  enlarge                                           	             98	      0.02	      0.01
  projector_gemm_2                                  	            369	      0.01	      0.01
  hamiltonian_fourier                               	            276	      1.23	      0.01
  pseudopod::pseudopotential                        	              1	      0.05	      0.01
  fill(field_set)                                   	            245	      0.01	      0.01
  density::calculate                                	             47	      0.01	      0.01
  energy::calculate                                 	             47	      0.42	      0.00
  total                                             	            146	      0.00	      0.00
  initial_guess                                     	              1	      0.13	      0.00
  integral_product                                  	            192	      0.01	      0.00
  least_squares                                     	             45	      0.00	      0.00
  hamiltonian_real                                  	             93	      0.45	      0.00
  electrons                                         	              1	      0.00	      0.00
  shrink                                            	             49	      0.00	      0.00
  spherical_grid::reextent                          	             10	      0.00	      0.00
  subspace_diagonalization                          	             46	      0.70	      0.00
  poisson(real)                                     	             49	      0.09	      0.00
  compute_nvxc                                      	             48	      0.00	      0.00
  projector::build                                  	              2	      0.00	      0.00
  deallocate                                        	          17085	      0.00	      0.00
  non_local_energy                                  	             47	      0.01	      0.00
  integral_sum_absdiff                              	             46	      0.00	      0.00
  integral_partial_sum                              	             47	      0.00	      0.00
  atomic_electronic_density                         	              1	      0.00	      0.00
  operator()                                        	              1	      7.13	      0.00
  state_convergence                                 	             46	      0.00	      0.00
  energy::calculate::eigenvalues                    	             47	      0.34	      0.00
  allocate_with_hint                                	           6294	      0.00	      0.00
  nlcc_density                                      	              1	      0.00	      0.00
  preconditioner_reduction                          	            230	      0.25	      0.00
  constructor                                       	              1	      0.00	      0.00
  spherical_grid::compact                           	             10	      0.00	      0.00
  spherical_grid::initialize                        	             10	      0.00	      0.00
  to_real_array                                     	            608	      0.28	      0.00
  atomic_potential::local_potential                 	              1	      0.00	      0.00
  mixing                                            	             46	      1.44	      0.00
  to_fourier_array                                  	            655	      0.32	      0.00
  kinetic_expectation_value                         	             94	      0.05	      0.00
  dipole                                            	              1	      0.00	      0.00
  update_ionic_fields                               	              2	      0.05	      0.00
  ionic_density                                     	              1	      0.00	      0.00
  update_projectors                                 	              1	      0.00	      0.00
  overlap_diagonal(1arg)                            	            277	      0.06	      0.00
  mgga_term                                         	            369	      0.00	      0.00
  overlap(1arg)                                     	             47	      0.11	      0.00
  poisson(complex)                                  	             49	      0.09	      0.00
  reduce_nrm2                                       	             45	      0.00	      0.00
  atomic_potential                                  	              1	      0.05	      0.00
  kpoint_index                                      	             47	      0.00	      0.00
  periodic_replicas                                 	             10	      0.00	      0.00
  interaction_energy                                	              1	      0.00	      0.00
