# Region                                                       Ncalls  TotalTime    SelfTime
#-------------------------------------------------------------------------------------------
  overlap_diagonal(2arg)                            	          32448	      3.00	      2.70
  matrix::scatter                                   	           2955	      1.66	      1.66
  matrix::gather                                    	           4924	      1.40	      1.39
  allocate                                          	         202055	      1.24	      1.24
  evaluate_functional                               	           1978	      1.36	      1.19
  scf_iteration                                     	            983	     19.28	      0.95
  steepest_descent                                  	            983	     10.61	      0.95
  inq_environment                                   	              1	     21.45	      0.93
  diagonalize_raw                                   	            983	      0.92	      0.91
  cuda_zpotrf                                       	            986	      0.80	      0.80
  overlap_diagonal_normalized                       	           4915	      0.55	      0.49
  orthogonalize                                     	            986	      3.19	      0.43
  projector::gather                                 	           8853	      0.46	      0.42
  projector_all::apply                              	           7867	      0.42	      0.42
  fft_forward_3d                                    	          10828	      0.41	      0.41
  laplacian                                         	           6884	      0.40	      0.37
  update_hamiltonian                                	            989	      2.09	      0.36
  broyden_extrapolation                             	            983	      0.48	      0.36
  fft_backward_3d                                   	           9842	      0.35	      0.35
  scalar_potential                                  	           5898	      0.37	      0.34
  to_fourier                                        	          10828	      0.81	      0.34
  to_real                                           	           9842	      0.84	      0.34
  operations::rotate_trs                            	            986	      0.91	      0.31
  projector_gemm_1                                  	           8853	      0.29	      0.29
  laplacian_expectation_value                       	            986	      0.28	      0.27
  sum(1arg)                                         	           5925	      0.23	      0.23
  occ_sum                                           	           1972	      0.21	      0.21
  overlap(2arg)                                     	           1969	      0.23	      0.21
  shift                                             	           5901	      0.19	      0.19
  laplacian_add                                     	           5898	      0.17	      0.17
  preconditioner_apply                              	           4915	      0.17	      0.17
  pseudopod::filter                                 	             21	      0.16	      0.16
  projector_gemm_2                                  	           7867	      0.14	      0.14
  hamiltonian_fourier                               	           5898	      2.63	      0.14
  broyden_mixing                                    	            983	      0.63	      0.14
  multiply_by_coefficients                          	           7867	      0.17	      0.14
  operations::rotate(2arg)                          	           1969	      0.91	      0.13
  density::calculate                                	            986	      0.14	      0.12
  least_squares                                     	            980	      0.13	      0.12
  fft_normalize                                     	           8850	      0.10	      0.10
  scalar_potential_add                              	           1969	      0.07	      0.07
  total                                             	           2970	      0.08	      0.06
  non_local_energy                                  	            986	      0.13	      0.05
  hamiltonian_real                                  	           1969	      0.99	      0.05
  subspace_diagonalization                          	            983	      3.28	      0.05
  energy::calculate                                 	            986	      1.59	      0.05
  integral_product                                  	           3956	      0.21	      0.05
  poisson(real)                                     	            992	      0.18	      0.04
  deallocate                                        	         298524	      0.04	      0.04
  compute_nvxc                                      	            989	      0.04	      0.04
  fill(field_set)                                   	           2976	      0.03	      0.03
  normalize                                         	            986	      0.12	      0.03
  pseudopod::pseudopotential                        	              3	      0.19	      0.03
  integral_partial_sum                              	            986	      0.09	      0.03
  state_convergence                                 	            983	      0.03	      0.03
  energy::calculate::eigenvalues                    	            986	      0.75	      0.03
  preconditioner_reduction                          	           4915	      0.86	      0.02
  poisson_apply_kernel                              	            992	      0.02	      0.02
  allocate_with_hint                                	          96469	      0.02	      0.02
  spherical_grid::initialize                        	             60	      0.03	      0.01
  electrons                                         	              3	      0.01	      0.01
  integral_sum_absdiff                              	            983	      0.06	      0.01
  projector::build                                  	             12	      0.01	      0.01
  mixing                                            	            983	      2.49	      0.01
  spherical_grid::reextent                          	             60	      0.01	      0.01
  to_real_array                                     	           9842	      0.46	      0.01
  atomic_electronic_density                         	              3	      0.02	      0.01
  kinetic_expectation_value                         	           1972	      0.64	      0.01
  nlcc_density                                      	              3	      0.01	      0.01
  to_fourier_array                                  	          10828	      0.42	      0.00
  interaction_energy                                	              3	      0.00	      0.00
  update_projectors                                 	              3	      0.02	      0.00
  operator()                                        	              3	     19.88	      0.00
  poisson_solve_3d                                  	            992	      0.13	      0.00
  spherical_grid::compact                           	             60	      0.00	      0.00
  constructor                                       	              3	      0.00	      0.00
  overlap_diagonal(1arg)                            	           5901	      0.54	      0.00
  initial_guess                                     	              3	      0.14	      0.00
  atomic_potential::local_potential                 	              3	      0.01	      0.00
  mgga_term                                         	           7867	      0.00	      0.00
  poisson(complex)                                  	            992	      0.13	      0.00
  overlap(1arg)                                     	            986	      0.16	      0.00
  periodic_replicas                                 	             72	      0.00	      0.00
  ionic_density                                     	              3	      0.01	      0.00
  reduce_nrm2                                       	            980	      0.00	      0.00
  dipole                                            	              3	      0.00	      0.00
  update_ionic_fields                               	              6	      0.06	      0.00
  kpoint_index                                      	            986	      0.00	      0.00
  atomic_potential                                  	              3	      0.19	      0.00
