sigma0,E_eV,v_au,spread_slab_pct,spread_farCAP_pct,fits_3sigma,fits_4sigma,tau_geom_au,wall_geom_h
1.0,100,2.71,398.9,1231.7,yes,yes,41.6,2.5
1.0,300,4.7,199.4,673.2,yes,yes,30.3,1.8
1.0,500,6.06,140.4,502.2,yes,yes,26.9,1.6
2.0,100,2.71,57.9,246.7,yes,yes,41.6,2.5
2.0,300,4.7,22.4,116.2,yes,yes,30.3,1.8
2.0,500,6.06,14.0,79.0,yes,yes,26.9,1.6
3.0,100,2.71,13.8,78.2,yes,yes,41.6,2.5
3.0,300,4.7,4.8,31.4,yes,yes,30.3,1.8
3.0,500,6.06,2.9,19.8,yes,yes,26.9,1.6
3.5,100,2.71,7.7,47.5,yes,yes,41.6,2.5
3.5,300,4.7,2.6,18.0,yes,yes,30.3,1.8
3.5,500,6.06,1.6,11.1,yes,yes,26.9,1.6
4.0,100,2.71,4.6,30.0,yes,no,41.6,2.5
4.0,300,4.7,1.5,10.9,yes,no,30.3,1.8
4.0,500,6.06,0.9,6.7,yes,no,26.9,1.6
4.5,100,2.71,2.9,19.6,yes,no,41.6,2.5
4.5,300,4.7,1.0,6.9,yes,no,30.3,1.8
4.5,500,6.06,0.6,4.2,yes,no,26.9,1.6
5.0,100,2.71,1.9,13.2,NO,no,41.6,2.5
5.0,300,4.7,0.6,4.6,NO,no,30.3,1.8
5.0,500,6.06,0.4,2.8,NO,no,26.9,1.6
