system,run_name,sim_type,run_completed,energy_ev,sigma_bohr,L_bohr,n_electrons,r_s,dt_au,n_steps,total_time_au,write_every,norm_after,max_overlap,date_finished,wall_time_s,run_path,n_observables,observables_csv,eigenvalues,wp_momentum_stats,wp_realspace_stats,state_energies,occupations,momentum_distribution,gamma_transitions,electron_track,report_md,loss_function,energy_decomposition,gs_basis_decomposition,knudsen_ke,kl_divergence,bath_energy,stopping_curve,overlap_heatmap,momentum_before_after,planewave_decomposition,momentum_2d_map,density_fourier,density_gifs,density_total_vti,density_system_vti,density_wp_vti,density_delta_vti,wp_wavefunction_vti,overlap_wp,overlap_full,overlap_proxies,leed_screens
coronene,run_35x35x40,coronene,true,200.0,1.001554773958,34.77095819023999 34.77095819023999 40,108,,0.02,430,8.6,10,1,5.773696736580089e-06,2026-04-28T01:01:56,1540.3022718,ResearchProject/systems/coronene/run_35x35x40,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
coronene,run_E30,coronene,true,30.0,1.001554773958,34.77095819023999 34.77095819023999 59.90431383862,108,,0.02,1446,28.92,10,1,0.002659843279221652,2026-04-27T22:04:58,7281.398232464,ResearchProject/systems/coronene/run_E30,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
coronene,run_E30_s3,coronene,true,30.0,3.004664321874,34.77095819023999 34.77095819023999 59.90431383862,108,,0.02,1514,30.28,10,0.9999999999999998,0.0001381262636228276,2026-04-28T00:18:10,6908.416408011,ResearchProject/systems/coronene/run_E30_s3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
coronene,run_E800,coronene,true,800.0,1.001554773958,34.77095819023999 34.77095819023999 59.90431383862,108,,0.02,280,5.600000000000001,10,1,5.203882630999201e-09,2026-04-27T20:31:25,1650.796616359,ResearchProject/systems/coronene/run_E800,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
coronene,run_E800_s0p33,coronene,true,800.0,0.3338515913193333,34.77095819023999 34.77095819023999 59.90431383862,108,,0.02,276,5.52,10,0.9999999999999998,5.917266732339124e-05,2026-04-27T22:38:48,1791.841003746,ResearchProject/systems/coronene/run_E800_s0p33,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
coronene,run_b18_35x35x80,coronene,true,200.0,1.001554773958,34.77095819023999 34.77095819023999 80,108,,0.02,769,15.38,10,1,4.900574930333398e-06,2026-04-28T00:31:50,6528.470315011,ResearchProject/systems/coronene/run_b18_35x35x80,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
coronene,run_b6_35x35x80,coronene,true,200.0,1.001554773958,34.77095819023999 34.77095819023999 80,108,,0.02,613,12.26,10,1,1.758158656674094e-05,2026-04-28T01:39:55,4658.034563463,ResearchProject/systems/coronene/run_b6_35x35x80,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
coronene,run_base,coronene,true,200.0,1.001554773958,34.77095819023999 34.77095819023999 59.90431383862,108,,0.02,560,11.2,10,1,5.111439459374274e-06,2026-04-27T18:57:12,2862.014580887,ResearchProject/systems/coronene/run_base,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
jellium,run_base_n138,coronene,true,100.0,1.001554773958,60.0,138,7.203,0.02,320,6.4,2,0.9999999999999999,0.0008386418290931132,2026-05-04T17:07:38,1510.523788304,ResearchProject/systems/jellium/run_base_n138,11,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
jellium,run_base_n138_L50_E1p5,coronene,true,1.5,5.0,50.0,138,6.002,0.02,1500,30,2,0.9999999999999999,0.1315456599481349,2026-05-05T15:00:19,638.515754945,ResearchProject/systems/jellium/run_base_n138_L50_E1p5,12,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
jellium,run_base_n162_L50_E1p5,coronene,true,1.5,5.0,50.0,162,5.69,0.02,1500,30,2,1,0.1306990261385974,2026-05-05T16:11:50,715.025002481,ResearchProject/systems/jellium/run_base_n162_L50_E1p5,12,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
coronene,run_broadening_35x35x80,coronene,true,200.0,1.001554773958,34.77095819023999 34.77095819023999 80,108,,0.02,848,16.96,1,1,4.143529813241134e-05,2026-05-31T17:55:03,8941.089630283999,/local/data/public/skcb2/tddft/ResearchProject/systems/coronene/run_broadening_35x35x80,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1
coronene,run_cc_bond,coronene,true,200.0,1.001554773958,34.77095819023999 34.77095819023999 59.90431383862,108,,0.02,560,11.2,10,1,6.024895704279552e-06,2026-05-24T05:13:46,2861.486809203,ResearchProject/systems/coronene/run_cc_bond,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
jellium,run_classical_e1500_L50_cubic,classical,true,,,50.0,162,5.69,0.005,860,4.3,4,,,2026-05-08T20:27:58,11844.325387168,ResearchProject/systems/jellium/run_classical_e1500_L50_cubic,14,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
jellium,run_classical_n162_L30_E100_highdens,classical,true,100.0,,30.0,162,3.414,0.02,508,10.16,2,,,2026-05-17T20:02:29,1759.362048596,ResearchProject/systems/jellium/run_classical_n162_L30_E100_highdens,16,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
jellium,run_classical_n162_L30_E200_highdens,classical,true,200.0,,30.0,162,3.414,0.02,215,4.3,2,,,2026-05-24T06:41:39,751.654562003,ResearchProject/systems/jellium/run_classical_n162_L30_E200_highdens,16,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
jellium,run_classical_n162_L30_E300_highdens,classical,true,300.0,,30.0,162,3.414,0.02,190,3.8,2,,,2026-05-24T06:57:11,679.32239824,ResearchProject/systems/jellium/run_classical_n162_L30_E300_highdens,16,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
jellium,run_classical_n162_L30_E300_highdens_v2,classical,true,300.0,,30.0,162,3.414,0.01,533,5.33,2,,,2026-05-26T03:40:17,4925.09287361,ResearchProject/systems/jellium/run_classical_n162_L30_E300_highdens_v2,16,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
jellium,run_classical_n162_L30_E50_highdens,classical,true,50.0,,30.0,162,3.414,0.02,320,6.4,2,,,2026-05-24T06:24:43,1132.904107712,ResearchProject/systems/jellium/run_classical_n162_L30_E50_highdens,16,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
jellium,run_classical_n162_L30_E50_highdens_v2,classical,true,50.0,,30.0,162,3.414,0.01,1305,13.05,4,,,2026-05-26T01:41:45,4613.758900494,ResearchProject/systems/jellium/run_classical_n162_L30_E50_highdens_v2,16,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
jellium,run_classical_n162_L50_E100,classical,true,100.0,,50.0,162,5.69,0.02,646,12.92,2,,,2026-05-13T20:15:32,11900.925839998,ResearchProject/systems/jellium/run_classical_n162_L50_E100,16,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
jellium,run_classical_n162_L50_E100_sigma1,classical,true,100.0,1.0,50.0,162,5.69,0.02,475,9.5,2,,,2026-05-17T23:19:10,8650.652202809,ResearchProject/systems/jellium/run_classical_n162_L50_E100_sigma1,16,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
jellium,run_classical_n162_L50_E100_v2,classical,true,100.0,,50.0,162,5.69,0.01,1660,16.6,6,,,2026-05-25T18:48:31,22715.716249585,ResearchProject/systems/jellium/run_classical_n162_L50_E100_v2,16,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
